"dataset","layerForm","learningrate","valAccuracy","testAccuracy","nlayers","nhidden"
"waveform-noise","rect",0.01,0.34973686337471,0.330399960279465,16,512
"waveform-noise","cone",0.01,0.346842116117477,0.339199990034103,32,512
"waveform-noise","rect",0.01,0.34473685324192,0.339199960231781,32,512
"waveform-noise","cone",0.01,0.340526327490807,0.339199960231781,16,512
"waveform-noise","cone",0.01,0.339473694562912,0.339199990034103,32,256
"waveform-noise","rect",0.1,0.339473694562912,0.339199960231781,32,1024
"waveform-noise","rect",0.1,0.339473694562912,0.339199960231781,32,512
"waveform-noise","rect",0.01,0.337631589174271,0.296000003814697,32,256
"waveform-noise","cone",0.1,0.336578947305679,0.330399990081787,32,256
"waveform-noise","rect",1,0.335526338219643,0.330400019884109,32,256
"waveform-noise","rect",0.01,0.335000017285347,0.359200000762939,32,1024
"waveform-noise","cone",1,0.334210568666458,0.330399990081787,32,256
"waveform-noise","rect",0.1,0.334210556745529,0.330399990081787,32,256
"waveform-noise","rect",1,0.331842112541199,0.330399960279465,32,512
"waveform-noise","cone",1,0.330263170599937,0.330400019884109,32,512
"waveform-noise","rect",1,0.329210534691811,0.330400019884109,32,1024
"waveform-noise","cone",1,0.326315796375275,0.330399990081787,32,1024
