"dataset","valAccuracy","nlayers","testAccuracy","layerForm","learningrate","nhidden"
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"rect",0.01,1024
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"cone",0.01,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"rect",0.01,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"cone",0.01,256
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"rect",0.01,256
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.666666686534882,"rect",0.1,1024
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"cone",0.1,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"rect",0.1,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"cone",0.1,256
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"rect",0.1,256
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"rect",1,1024
"oocytes_merluccius_nucleus_4d",0.705128192901611,8,0.670588254928589,"cone",1,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,4,0.670588254928589,"cone",0.01,1024
"oocytes_merluccius_nucleus_4d",0.705128192901611,4,0.670588254928589,"rect",0.01,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,4,0.658823549747467,"cone",0.01,256
"oocytes_merluccius_nucleus_4d",0.705128192901611,4,0.670588254928589,"cone",0.1,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,3,0.670588254928589,"rect",0.01,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,3,0.670588254928589,"rect",0.01,256
"oocytes_merluccius_nucleus_4d",0.705128192901611,3,0.670588254928589,"cone",0.1,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,3,0.670588254928589,"rect",0.1,512
"oocytes_merluccius_nucleus_4d",0.705128192901611,3,0.670588254928589,"cone",0.1,256
"oocytes_merluccius_nucleus_4d",0.705128192901611,3,0.65490198135376,"rect",0.1,256
"oocytes_merluccius_nucleus_4d",0.705128192901611,2,0.670588254928589,"cone",0.01,1024
"oocytes_merluccius_nucleus_4d",0.705128192901611,2,0.670588254928589,"rect",0.01,512
"oocytes_merluccius_nucleus_4d",0.69487179517746,4,0.643137276172638,"rect",1,1024
"oocytes_merluccius_nucleus_4d",0.691025674343109,3,0.690196096897125,"rect",1,512
"oocytes_merluccius_nucleus_4d",0.685897445678711,2,0.674509823322296,"rect",1,256
"oocytes_merluccius_nucleus_4d",0.671794903278351,8,0.745098054409027,"cone",1,1024
"oocytes_merluccius_nucleus_4d",0.670512872934342,4,0.721568644046783,"cone",1,512
"oocytes_merluccius_nucleus_4d",0.669230800867081,3,0.674509823322296,"rect",1,1024
"oocytes_merluccius_nucleus_4d",0.664102554321289,32,0.329411774873734,"rect",0.1,256
"oocytes_merluccius_nucleus_4d",0.660256403684616,16,0.329411774873734,"rect",1,512
"oocytes_merluccius_nucleus_4d",0.657692313194275,8,0.34901961684227,"rect",1,512
"oocytes_merluccius_nucleus_4d",0.651282051205635,16,0.337254911661148,"rect",0.1,1024
"oocytes_merluccius_nucleus_4d",0.646153861284256,2,0.623529434204102,"rect",1,1024
"oocytes_merluccius_nucleus_4d",0.637179502844811,2,0.670588254928589,"rect",1,512
"oocytes_merluccius_nucleus_4d",0.626923072338104,16,0.356862753629684,"rect",1,256
"oocytes_merluccius_nucleus_4d",0.623076915740967,32,0.329411774873734,"rect",1,1024
"oocytes_merluccius_nucleus_4d",0.623076915740967,8,0.670588254928589,"rect",1,256
"oocytes_merluccius_nucleus_4d",0.582051277160645,32,0.670588254928589,"rect",0.1,1024
"oocytes_merluccius_nucleus_4d",0.571794903278351,32,0.435294151306152,"rect",0.01,1024
"oocytes_merluccius_nucleus_4d",0.294871807098389,16,0.329411774873734,"cone",1,512
