"dataset","layerForm","learningrate","nlayers","valAccuracy","testAccuracy","nhidden"
"spectf","cone",0.01,8,0.620000022649765,0.2299465239048,1024
"spectf","cone",0.01,8,0.620000022649765,0.245989292860031,512
"spectf","rect",0.01,8,0.620000022649765,0.48128342628479,512
"spectf","rect",0.1,8,0.620000022649765,0.51871657371521,256
"spectf","cone",0.01,4,0.620000022649765,0.663101613521576,512
"spectf","rect",0.01,3,0.620000022649765,0.48128342628479,1024
"spectf","cone",0.01,32,0.600000023841858,0.0802139043807983,512
"spectf","rect",0.01,32,0.600000023841858,0.0802139043807983,512
"spectf","cone",1,32,0.600000023841858,0.0802139043807983,512
"spectf","cone",0.01,16,0.600000023841858,0.203208565711975,256
"spectf","cone",0.1,16,0.600000023841858,0.0802139043807983,1024
"spectf","rect",0.01,8,0.600000023841858,0.385026752948761,1024
"spectf","rect",0.01,8,0.600000023841858,0.112299472093582,256
"spectf","cone",0.1,8,0.600000023841858,0.44385027885437,1024
"spectf","rect",0.1,8,0.600000023841858,0.331550806760788,1024
"spectf","rect",0.1,8,0.600000023841858,0.272727280855179,512
"spectf","cone",0.1,8,0.600000023841858,0.219251334667206,256
"spectf","cone",1,8,0.600000023841858,0.406417101621628,512
"spectf","rect",1,8,0.600000023841858,0.149732634425163,512
"spectf","rect",1,8,0.600000023841858,0.0855614989995956,256
"spectf","cone",0.01,4,0.600000023841858,0.25133690237999,1024
"spectf","rect",0.01,4,0.600000023841858,0.390374362468719,1024
"spectf","rect",0.01,4,0.600000023841858,0.55614972114563,512
"spectf","cone",0.01,4,0.600000023841858,0.17647060751915,256
"spectf","rect",0.01,4,0.600000023841858,0.256684482097626,256
"spectf","cone",0.1,4,0.600000023841858,0.513368964195251,1024
"spectf","rect",0.1,4,0.600000023841858,0.331550806760788,1024
"spectf","cone",0.1,4,0.600000023841858,0.513369023799896,512
"spectf","rect",0.1,4,0.600000023841858,0.454545438289642,512
"spectf","cone",0.1,4,0.600000023841858,0.433155059814453,256
"spectf","rect",0.1,4,0.600000023841858,0.411764681339264,256
"spectf","cone",1,4,0.600000023841858,0.0855614989995956,1024
"spectf","rect",1,4,0.600000023841858,0.0855614989995956,1024
"spectf","cone",1,4,0.600000023841858,0.310160428285599,512
"spectf","rect",1,4,0.600000023841858,0.101604282855988,512
"spectf","rect",1,4,0.600000023841858,0.106951877474785,256
"spectf","cone",0.01,3,0.600000023841858,0.187165781855583,1024
"spectf","cone",0.01,3,0.600000023841858,0.331550806760788,512
"spectf","rect",0.01,3,0.600000023841858,0.657754004001617,512
"spectf","cone",0.01,3,0.600000023841858,0.395721912384033,256
"spectf","rect",0.01,3,0.600000023841858,0.422459870576859,256
"spectf","cone",0.1,3,0.600000023841858,0.352941155433655,1024
"spectf","rect",0.1,3,0.600000023841858,0.208556175231934,1024
"spectf","cone",0.1,3,0.600000023841858,0.390374302864075,512
"spectf","rect",0.1,3,0.600000023841858,0.48128342628479,512
"spectf","cone",0.1,3,0.600000023841858,0.422459900379181,256
"spectf","rect",0.1,3,0.600000023841858,0.40641713142395,256
"spectf","cone",1,3,0.600000023841858,0.117647066712379,1024
"spectf","rect",1,3,0.600000023841858,0.0802139043807983,1024
"spectf","cone",1,3,0.600000023841858,0.566844940185547,512
"spectf","rect",1,3,0.600000023841858,0.0802139043807983,512
"spectf","cone",1,3,0.600000023841858,0.34224596619606,256
"spectf","rect",1,3,0.600000023841858,0.294117659330368,256
"spectf","cone",0.01,2,0.600000023841858,0.21390375494957,1024
"spectf","rect",0.01,2,0.600000023841858,0.374331563711166,1024
"spectf","cone",0.01,2,0.600000023841858,0.122994661331177,512
"spectf","rect",0.01,2,0.600000023841858,0.262032061815262,512
"spectf","cone",0.01,2,0.600000023841858,0.449197888374329,256
"spectf","rect",0.01,2,0.600000023841858,0.620320856571198,256
"spectf","cone",0.1,2,0.600000023841858,0.422459900379181,1024
"spectf","rect",0.1,2,0.600000023841858,0.411764711141586,1024
"spectf","cone",0.1,2,0.600000023841858,0.363636344671249,512
"spectf","rect",0.1,2,0.600000023841858,0.561497330665588,512
"spectf","cone",0.1,2,0.600000023841858,0.240641728043556,256
"spectf","rect",0.1,2,0.600000023841858,0.673796772956848,256
"spectf","cone",1,2,0.600000023841858,0.283422470092773,1024
"spectf","rect",1,2,0.600000023841858,0.518716514110565,1024
"spectf","cone",1,2,0.600000023841858,0.272727280855179,512
"spectf","rect",1,2,0.600000023841858,0.0802139043807983,512
"spectf","cone",1,2,0.600000023841858,0.181818202137947,256
"spectf","rect",1,2,0.600000023841858,0.0855614989995956,256
"spectf","rect",0.1,32,0.580000022053719,0.0802139043807983,1024
"spectf","rect",1,32,0.580000022053719,0.0802139043807983,256
"spectf","cone",1,8,0.580000022053719,0.106951877474785,1024
"spectf","cone",1,4,0.580000022053719,0.44385027885437,256
"spectf","rect",0.1,16,0.560000020265579,0.0802139043807983,512
"spectf","cone",0.1,16,0.560000020265579,0.0802139043807983,256
"spectf","cone",1,16,0.560000020265579,0.919786214828491,1024
"spectf","cone",1,8,0.560000020265579,0.278074860572815,256
"spectf","cone",1,32,0.54000001847744,0.0802139043807983,1024
"spectf","rect",1,32,0.54000001847744,0.0802139043807983,1024
"spectf","rect",0.1,16,0.520000016689301,0.0802139043807983,1024
"spectf","rect",1,16,0.480000013113022,0.919786214828491,512
"spectf","cone",1,16,0.480000013113022,0.919786214828491,256
"spectf","rect",0.1,32,0.480000013113022,0.0802139043807983,512
"spectf","cone",1,32,0.480000013113022,0.919786214828491,256
"spectf","rect",0.1,32,0.480000013113022,0.919786214828491,256
"spectf","cone",1,16,0.460000011324883,0.919786214828491,512
"spectf","rect",1,16,0.460000011324883,0.919786095619202,256
"spectf","rect",1,8,0.460000011324883,0.25133690237999,1024
"spectf","rect",0.01,32,0.46000000834465,0.919786214828491,1024
"spectf","cone",0.1,32,0.440000009536743,0.919786214828491,256
"spectf","rect",0.1,16,0.440000009536743,0.919786214828491,256
"spectf","rect",1,16,0.440000009536743,0.919786214828491,1024
"spectf","cone",0.01,16,0.440000006556511,0.919786214828491,512
"spectf","cone",0.1,32,0.420000007748604,0.919786095619202,1024
"spectf","cone",0.01,32,0.400000005960465,0.919786214828491,1024
"spectf","cone",0.01,32,0.400000005960465,0.919786214828491,256
"spectf","rect",0.01,32,0.400000005960465,0.919786214828491,256
"spectf","cone",0.1,32,0.400000005960465,0.919786214828491,512
"spectf","rect",1,32,0.400000005960465,0.919786214828491,512
"spectf","cone",0.01,16,0.400000005960465,0.919786214828491,1024
"spectf","rect",0.01,16,0.400000005960465,0.898395776748657,1024
"spectf","rect",0.01,16,0.400000005960465,0.919786214828491,512
"spectf","rect",0.01,16,0.400000005960465,0.919786214828491,256
"spectf","cone",0.1,16,0.400000005960465,0.919786214828491,512
"spectf","cone",0.01,8,0.400000005960465,0.919786214828491,256
"spectf","cone",0.1,8,0.400000005960465,0.919786214828491,512
