"dataset","valAccuracy","nhidden","learningrate","nlayers","testAccuracy","layerForm"
"miniboone",0.932262742519379,256,0.1,3,0.926191031932831,"cone"
"miniboone",0.931284445524216,256,1,2,0.924807071685791,"cone"
"miniboone",0.93124327659607,256,1,2,0.930650353431702,"rect"
"miniboone",0.931037300825119,512,1,2,0.923699975013733,"rect"
"miniboone",0.930944639444351,512,0.1,4,0.926344811916351,"cone"
"miniboone",0.930893141031265,256,0.01,3,0.928251564502716,"cone"
"miniboone",0.930728369951248,256,0.1,2,0.927974700927734,"cone"
"miniboone",0.930707776546478,512,1,4,0.927021384239197,"cone"
"miniboone",0.930707776546478,256,0.01,2,0.927390456199646,"rect"
"miniboone",0.930522453784943,256,0.01,2,0.926683068275452,"cone"
"miniboone",0.930100244283676,512,0.1,3,0.930158317089081,"cone"
"miniboone",0.930079638957977,1024,0.1,2,0.926898300647736,"rect"
"miniboone",0.929894286394119,1024,0.1,2,0.929789364337921,"cone"
"miniboone",0.929791301488876,512,1,2,0.927144408226013,"cone"
"miniboone",0.929698622226715,1024,0.01,3,0.92898964881897,"cone"
"miniboone",0.929636824131012,256,1,4,0.922408282756805,"cone"
"miniboone",0.929389697313309,256,0.1,8,0.924069046974182,"cone"
"miniboone",0.929327923059463,512,0.1,2,0.923177123069763,"rect"
"miniboone",0.929276406764984,256,0.1,2,0.928805112838745,"rect"
"miniboone",0.929224961996079,512,0.1,2,0.925821959972382,"cone"
"miniboone",0.929132241010666,256,0.1,3,0.927359640598297,"rect"
"miniboone",0.929101353883743,1024,1,4,0.927851796150208,"cone"
"miniboone",0.928813034296036,1024,1,3,0.925821959972382,"cone"
"miniboone",0.928792452812195,256,1,4,0.926621556282043,"rect"
"miniboone",0.928658562898636,1024,0.01,2,0.928374588489532,"cone"
"miniboone",0.928596770763397,1024,0.1,4,0.925791263580322,"cone"
"miniboone",0.928565889596939,512,1,3,0.930496573448181,"cone"
"miniboone",0.928349632024765,512,0.1,8,0.92330014705658,"cone"
"miniboone",0.928308433294296,256,1,3,0.919056057929993,"cone"
"miniboone",0.928123092651367,512,0.01,2,0.928374528884888,"cone"
"miniboone",0.927989232540131,256,1,16,0.922623515129089,"cone"
"miniboone",0.92776266336441,512,0.01,3,0.924960851669312,"cone"
"miniboone",0.927742063999176,256,0.01,4,0.927113652229309,"cone"
"miniboone",0.927700883150101,512,0.01,2,0.923792123794556,"rect"
"miniboone",0.927690571546555,1024,1,2,0.923023343086243,"cone"
"miniboone",0.92763911485672,512,1,16,0.930158257484436,"cone"
"miniboone",0.927618515491486,512,1,4,0.927636504173279,"rect"
"miniboone",0.927608186006546,256,0.1,4,0.924192070960999,"cone"
"miniboone",0.927546417713165,1024,1,8,0.925945043563843,"cone"
"miniboone",0.927494931221008,1024,1,3,0.926221787929535,"rect"
"miniboone",0.927361077070236,256,0.01,3,0.923730671405792,"rect"
"miniboone",0.927278679609299,256,0.1,16,0.919640362262726,"cone"
"miniboone",0.927258092164993,512,1,8,0.91087543964386,"cone"
"miniboone",0.926949149370193,512,1,3,0.927698016166687,"rect"
"miniboone",0.926712328195572,512,1,8,0.927298188209534,"rect"
"miniboone",0.926681417226792,256,0.01,8,0.924930095672607,"cone"
"miniboone",0.926496076583862,256,1,3,0.914565920829773,"rect"
"miniboone",0.926423978805542,256,1,8,0.925944924354553,"rect"
"miniboone",0.926351892948151,256,1,8,0.918656229972839,"cone"
"miniboone",0.9259605884552,512,0.1,3,0.930066049098969,"rect"
"miniboone",0.925950294733048,1024,0.1,3,0.921085774898529,"cone"
"miniboone",0.925878220796585,512,0.01,4,0.924191951751709,"cone"
"miniboone",0.92574434876442,512,0.01,3,0.926775336265564,"rect"
"miniboone",0.925363314151764,1024,0.01,3,0.918533205986023,"rect"
