"dataset","nhidden","valAccuracy","learningrate","nlayers","layerForm","testAccuracy"
"vertebral-column-2clases",256,0.984615397453308,1,8,"cone",0.831168830394745
"vertebral-column-2clases",256,0.976923096179962,1,4,"cone",0.831168830394745
"vertebral-column-2clases",512,0.973076945543289,1,16,"cone",0.779220759868622
"vertebral-column-2clases",256,0.96153849363327,1,4,"rect",0.818181812763214
"vertebral-column-2clases",512,0.957692342996597,1,2,"rect",0.818181812763214
"vertebral-column-2clases",512,0.953846192359925,1,3,"cone",0.844155848026276
"vertebral-column-2clases",256,0.953846192359925,1,3,"rect",0.766233801841736
"vertebral-column-2clases",1024,0.95384618639946,1,4,"cone",0.831168830394745
"vertebral-column-2clases",256,0.946153873205185,1,2,"rect",0.818181812763214
"vertebral-column-2clases",1024,0.934615421295166,1,3,"cone",0.805194795131683
"vertebral-column-2clases",512,0.930769288539887,1,2,"cone",0.831168830394745
"vertebral-column-2clases",512,0.911538517475128,1,3,"rect",0.766233742237091
"vertebral-column-2clases",512,0.911538511514664,1,4,"rect",0.727272748947144
"vertebral-column-2clases",512,0.907692360877991,1,8,"cone",0.74025970697403
"vertebral-column-2clases",512,0.900000047683716,1,8,"rect",0.805194795131683
"vertebral-column-2clases",1024,0.89230774641037,1,2,"rect",0.753246784210205
"vertebral-column-2clases",512,0.869230824708939,1,4,"cone",0.766233801841736
"vertebral-column-2clases",1024,0.861538523435593,1,2,"cone",0.779220819473267
"vertebral-column-2clases",1024,0.861538511514664,1,4,"rect",0.753246784210205
"vertebral-column-2clases",256,0.853846204280853,1,8,"rect",0.818181812763214
"vertebral-column-2clases",256,0.846153903007507,1,2,"cone",0.818181872367859
"vertebral-column-2clases",256,0.823076987266541,0.01,2,"cone",0.792207837104797
"vertebral-column-2clases",1024,0.811538511514664,0.1,3,"rect",0.688311696052551
"vertebral-column-2clases",512,0.800000047683716,0.01,2,"cone",0.701298713684082
"vertebral-column-2clases",1024,0.784615433216095,0.01,3,"cone",0.688311696052551
"vertebral-column-2clases",1024,0.776923131942749,0.1,4,"rect",0.701298713684082
"vertebral-column-2clases",512,0.776923125982285,0.1,2,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.776923125982285,0.1,3,"cone",0.688311696052551
"vertebral-column-2clases",512,0.769230824708939,0.1,3,"cone",0.675324678421021
"vertebral-column-2clases",256,0.761538517475128,1,3,"cone",0.701298713684082
"vertebral-column-2clases",1024,0.761538511514664,0.01,2,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.761538505554199,0.1,2,"cone",0.675324678421021
"vertebral-column-2clases",256,0.761538499593735,0.01,2,"rect",0.701298713684082
"vertebral-column-2clases",512,0.757692360877991,0.1,4,"cone",0.688311696052551
"vertebral-column-2clases",256,0.753846210241318,0.01,4,"rect",0.675324678421021
"vertebral-column-2clases",256,0.753846204280853,0.1,2,"cone",0.688311696052551
"vertebral-column-2clases",256,0.75000005364418,0.01,3,"rect",0.675324678421021
"vertebral-column-2clases",512,0.750000047683716,0.01,4,"cone",0.66233766078949
"vertebral-column-2clases",512,0.750000047683716,0.01,3,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.750000047683716,0.1,2,"rect",0.688311696052551
"vertebral-column-2clases",256,0.746153897047043,0.1,3,"rect",0.675324678421021
"vertebral-column-2clases",512,0.746153891086578,0.1,3,"rect",0.688311696052551
"vertebral-column-2clases",512,0.746153891086578,0.1,2,"cone",0.675324678421021
"vertebral-column-2clases",512,0.74230774641037,0.01,2,"rect",0.675324678421021
"vertebral-column-2clases",512,0.742307740449906,0.01,3,"cone",0.688311696052551
"vertebral-column-2clases",512,0.738461589813233,1,16,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.738461589813233,0.01,4,"cone",0.675324678421021
