"dataset","nlayers","layerForm","learningrate","valAccuracy","testAccuracy","nhidden"
"led-display",32,"cone",0.01,0.0966666698455811,0.100000008940697,256
"led-display",16,"rect",1,0.0933333404362202,0.100000001490116,512
"led-display",32,"rect",0.01,0.0916666753590107,0.096000000834465,256
"led-display",32,"cone",1,0.090000007301569,0.100000008940697,512
"led-display",16,"rect",0.01,0.0883333407342434,0.175999999046326,512
"led-display",32,"cone",0.1,0.0866666749119759,0.0960000082850456,1024
"led-display",16,"cone",0.01,0.0850000068545342,0.172000005841255,1024
"led-display",32,"cone",0.01,0.0833333432674408,0.0960000082850456,512
"led-display",32,"rect",0.01,0.0833333373069763,0.0999999940395355,512
"led-display",32,"rect",0.1,0.0800000071525574,0.0840000063180923,256
"led-display",16,"rect",0.01,0.0733333371579647,0.108000010251999,256
"led-display",32,"rect",1,0.0733333364129067,0.100000008940697,512
