"dataset","learningrate","nhidden","testAccuracy","valAccuracy","layerForm","nlayers"
"cardiotocography-10clases",1,1024,0.790960431098938,0.83271604180336,"cone",4
"cardiotocography-10clases",1,512,0.781544268131256,0.819753080606461,"cone",4
"cardiotocography-10clases",1,1024,0.751412391662598,0.812345665693283,"cone",2
"cardiotocography-10clases",1,256,0.726930320262909,0.805555564165116,"cone",3
"cardiotocography-10clases",1,1024,0.757062196731567,0.801851856708527,"cone",3
"cardiotocography-10clases",1,512,0.760828614234924,0.801851838827133,"cone",8
"cardiotocography-10clases",1,512,0.72504711151123,0.799999982118607,"rect",3
"cardiotocography-10clases",0.01,512,0.751412391662598,0.798148149251938,"rect",2
"cardiotocography-10clases",1,512,0.787193953990936,0.796913570165634,"cone",2
"cardiotocography-10clases",0.1,1024,0.772128105163574,0.792592579126358,"rect",2
"cardiotocography-10clases",1,256,0.804143190383911,0.791358023881912,"rect",4
"cardiotocography-10clases",1,512,0.738229751586914,0.791358017921448,"cone",3
"cardiotocography-10clases",0.1,1024,0.775894522666931,0.791358011960983,"rect",3
"cardiotocography-10clases",0.1,256,0.741996228694916,0.790740758180618,"rect",2
"cardiotocography-10clases",0.1,512,0.768361628055573,0.788271600008011,"rect",2
"cardiotocography-10clases",1,256,0.760828614234924,0.788271594047546,"rect",3
"cardiotocography-10clases",1,256,0.770244836807251,0.785185164213181,"cone",2
"cardiotocography-10clases",0.01,1024,0.760828614234924,0.783950620889664,"rect",2
"cardiotocography-10clases",0.1,512,0.81167608499527,0.782098799943924,"cone",2
"cardiotocography-10clases",1,256,0.783427536487579,0.782098770141602,"rect",2
"cardiotocography-10clases",1,256,0.732580065727234,0.774691343307495,"cone",4
"cardiotocography-10clases",0.1,1024,0.728813588619232,0.773456794023514,"rect",4
"cardiotocography-10clases",0.1,256,0.745762705802917,0.770987683534622,"cone",2
"cardiotocography-10clases",0.1,256,0.745762765407562,0.768518513441086,"rect",3
"cardiotocography-10clases",0.01,256,0.758945345878601,0.759876549243927,"rect",2
"cardiotocography-10clases",1,512,0.745762705802917,0.759876525402069,"rect",2
"cardiotocography-10clases",1,1024,0.787194013595581,0.756790113449097,"cone",8
"cardiotocography-10clases",0.01,256,0.681732535362244,0.754320991039276,"rect",3
