"dataset","layerForm","testAccuracy","nhidden","valAccuracy","nlayers","learningrate"
"statlog-image","rect",0.967071056365967,512,0.971176505088806,2,1
"statlog-image","rect",0.967071056365967,256,0.962941217422486,2,1
"statlog-image","cone",0.961871683597565,256,0.961176514625549,4,1
"statlog-image","cone",0.96187162399292,512,0.96117650270462,3,1
"statlog-image","cone",0.942807614803314,256,0.958823573589325,3,1
"statlog-image","rect",0.948006927967072,256,0.958235341310501,4,1
"statlog-image","rect",0.939341425895691,256,0.957058846950531,3,1
"statlog-image","cone",0.939341425895691,256,0.95529415011406,2,1
"statlog-image","cone",0.948006868362427,512,0.952352982759476,4,1
"statlog-image","cone",0.937608301639557,1024,0.950588274002075,4,1
"statlog-image","rect",0.954939305782318,256,0.949411821365356,2,0.01
"statlog-image","rect",0.961871743202209,1024,0.949411803483963,3,1
"statlog-image","rect",0.934142112731934,512,0.948823577165604,2,0.01
"statlog-image","rect",0.970537185668945,1024,0.948823577165604,2,1
"statlog-image","cone",0.956672430038452,1024,0.942941206693649,8,1
"statlog-image","rect",0.956672370433807,512,0.941764748096466,3,1
"statlog-image","rect",0.965337932109833,512,0.938235318660736,4,1
"statlog-image","cone",0.958405554294586,512,0.932352966070175,8,1
"statlog-image","cone",0.927209615707397,256,0.93000003695488,8,1
"statlog-image","cone",0.894280791282654,1024,0.922941213846207,2,0.01
"statlog-image","rect",0.9012131690979,256,0.922352957725525,2,0.1
"statlog-image","cone",0.897746920585632,512,0.921176517009735,2,1
"statlog-image","cone",0.93067592382431,1024,0.921176511049271,2,0.1
"statlog-image","rect",0.928942799568176,1024,0.913529449701309,4,1
"statlog-image","cone",0.915077984333038,256,0.913529449701309,3,0.1
"statlog-image","rect",0.935875117778778,512,0.910000044107437,2,0.1
"statlog-image","cone",0.889081418514252,256,0.908235329389572,2,0.01
"statlog-image","rect",0.876949727535248,512,0.905294138193131,3,0.01
"statlog-image","cone",0.890814542770386,1024,0.902352970838547,3,1
"statlog-image","cone",0.824956655502319,1024,0.885294145345688,2,1
"statlog-image","rect",0.861351788043976,1024,0.881176501512527,2,0.01
"statlog-image","cone",0.828422844409943,512,0.87823531627655,2,0.1
"statlog-image","cone",0.852686285972595,256,0.877647078037262,3,0.01
"statlog-image","cone",0.885615170001984,512,0.87647060751915,2,0.01
"statlog-image","rect",0.894280672073364,1024,0.871176517009735,3,0.01
"statlog-image","rect",0.837088406085968,512,0.870000016689301,3,0.1
"statlog-image","rect",0.833622217178345,256,0.866470634937287,3,0.01
"statlog-image","rect",0.837088406085968,256,0.862941217422486,3,0.1
"statlog-image","cone",0.882149040699005,256,0.862941217422485,2,0.1
"statlog-image","cone",0.861351788043976,1024,0.85647064447403,3,0.1
"statlog-image","cone",0.86308491230011,256,0.851764732599258,16,0.1
"statlog-image","cone",0.845753908157349,256,0.849411809444428,4,0.01
"statlog-image","rect",0.844020783901215,256,0.847647100687027,4,0.1
"statlog-image","cone",0.847486913204193,512,0.842941218614578,3,0.1
"statlog-image","cone",0.776429772377014,256,0.837058860063553,4,0.1
"statlog-image","cone",0.776429772377014,512,0.832941228151321,4,0.1
"statlog-image","cone",0.805892586708069,1024,0.827647089958191,4,0.1
"statlog-image","rect",0.830155909061432,1024,0.817647099494934,3,0.1
"statlog-image","rect",0.798960149288177,512,0.812352973222732,4,0.01
"statlog-image","cone",0.738301634788513,512,0.802352976799011,8,0.1
"statlog-image","rect",0.781629085540771,1024,0.790588283538818,4,0.1
"statlog-image","rect",0.781629085540771,1024,0.786470621824265,2,0.1
"statlog-image","rect",0.859618663787842,512,0.784705913066864,4,0.1
"statlog-image","rect",0.816291093826294,1024,0.77000002861023,4,0.01
"statlog-image","cone",0.743500888347626,1024,0.742352974414826,3,0.01
"statlog-image","cone",0.69670706987381,512,0.734117656946182,16,0.1
"statlog-image","rect",0.781629145145416,256,0.725294154882431,8,1
"statlog-image","cone",0.65684574842453,512,0.72411767244339,4,0.01
"statlog-image","rect",0.634315490722656,256,0.7029412150383,4,0.01
"statlog-image","cone",0.63778167963028,1024,0.682941204309464,8,0.1
"statlog-image","cone",0.641247868537903,1024,0.671176505088806,4,0.01
"statlog-image","rect",0.610051989555359,1024,0.662352979183197,16,0.1
"statlog-image","cone",0.70537257194519,256,0.642941224575043,16,1
"statlog-image","cone",0.5684574842453,256,0.639411801099777,8,0.1
"statlog-image","rect",0.575389981269836,256,0.636470633745194,8,0.1
"statlog-image","rect",0.582322418689728,1024,0.631176507472992,8,0.1
"statlog-image","cone",0.637781620025635,512,0.62352944612503,3,0.01
"statlog-image","rect",0.625649929046631,512,0.614117681980133,8,0.1
"statlog-image","rect",0.590987861156464,512,0.595882385969162,16,0.1
"statlog-image","rect",0.604852676391602,256,0.580588263273239,16,0.1
"statlog-image","rect",0.620450615882874,512,0.552941220998764,8,1
"statlog-image","cone",0.280762553215027,256,0.354705899953842,8,0.01
"statlog-image","rect",0.268630832433701,1024,0.334117665886879,8,0.01
"statlog-image","cone",0.305025994777679,512,0.297058835625649,8,0.01
"statlog-image","cone",0.296360492706299,1024,0.286470597982407,32,0.01
"statlog-image","cone",0.214904680848122,512,0.267058837413788,16,0.01
"statlog-image","rect",0.256499141454697,256,0.258235304057598,8,0.01
"statlog-image","rect",0.211438477039337,512,0.251176485419273,32,0.01
"statlog-image","rect",0.280762553215027,1024,0.237647069990635,8,1
"statlog-image","rect",0.19064125418663,256,0.224117658287287,16,1
"statlog-image","rect",0.142114371061325,256,0.22058824300766,16,0.01
"statlog-image","cone",0.173310220241547,1024,0.212352949380875,8,0.01
"statlog-image","rect",0.195840537548065,1024,0.204117655754089,32,0.01
"statlog-image","rect",0.162911608815193,512,0.199411769211292,8,0.01
"statlog-image","rect",0.16117849946022,256,0.191764709353447,32,0.01
"statlog-image","rect",0.142114371061325,1024,0.18823529779911,16,0.01
"statlog-image","cone",0.142114371061325,256,0.18823529779911,16,0.01
"statlog-image","cone",0.142114385962486,512,0.185882362723351,16,1
"statlog-image","cone",0.142114385962486,256,0.182352946698666,32,0.01
"statlog-image","rect",0.142114385962486,1024,0.177058830857277,32,0.1
"statlog-image","rect",0.142114385962486,512,0.174117651581764,32,1
"statlog-image","rect",0.142114385962486,512,0.173529417812824,16,0.01
"statlog-image","rect",0.142114385962486,512,0.17235295176506,16,1
"statlog-image","rect",0.142114385962486,256,0.170588248968124,32,1
"statlog-image","cone",0.142114385962486,256,0.170588247478008,32,0.1
"statlog-image","cone",0.142114385962486,1024,0.170588245987892,16,0.01
"statlog-image","cone",0.142114385962486,1024,0.169411769509315,32,0.1
"statlog-image","rect",0.142114385962486,256,0.167647063732147,32,0.1
"statlog-image","rect",0.142114385962486,512,0.158235298842192,32,0.1
"statlog-image","cone",0.142114385962486,256,0.151176477968693,32,1
"statlog-image","cone",0.142114385962486,512,0.132352945953608,32,1
"statlog-image","rect",0.142114371061325,1024,0.130000007152557,16,1
"statlog-image","cone",0.142114385962486,512,0.12352941930294,32,0.1
"statlog-image","cone",0.081455796957016,512,0.123529416322708,32,0.01
"statlog-image","cone",0.147313699126244,1024,0.122352945804596,16,1
"statlog-image","cone",0.142114385962486,1024,0.105294122546911,32,1
"statlog-image","cone",0.147313684225082,1024,0.100000002235174,16,0.1
"statlog-image","rect",0.142114385962486,1024,0.0964705936610699,32,1
