"dataset","learningrate","testAccuracy","layerForm","nlayers","valAccuracy","nhidden"
"ilpd-indian-liver",0.01,0.719178080558777,"cone",8,0.625,1024
"ilpd-indian-liver",0.01,0.719178080558777,"rect",8,0.625,1024
"ilpd-indian-liver",0.01,0.719178020954132,"cone",8,0.625,512
"ilpd-indian-liver",0.01,0.719178080558777,"rect",8,0.625,512
"ilpd-indian-liver",0.01,0.719178080558777,"cone",8,0.625,256
"ilpd-indian-liver",0.01,0.719178080558777,"rect",8,0.625,256
"ilpd-indian-liver",0.1,0.719178020954132,"cone",8,0.625,1024
"ilpd-indian-liver",0.1,0.719178080558777,"rect",8,0.625,1024
"ilpd-indian-liver",0.1,0.719178020954132,"cone",8,0.625,512
"ilpd-indian-liver",0.1,0.719178020954132,"rect",8,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"cone",8,0.625,256
"ilpd-indian-liver",0.1,0.719178080558777,"rect",8,0.625,256
"ilpd-indian-liver",0.01,0.719178080558777,"cone",4,0.625,1024
"ilpd-indian-liver",0.01,0.719178020954132,"cone",4,0.625,512
"ilpd-indian-liver",0.01,0.719178020954132,"rect",4,0.625,512
"ilpd-indian-liver",0.01,0.719178080558777,"cone",4,0.625,256
"ilpd-indian-liver",0.01,0.719178020954132,"rect",4,0.625,256
"ilpd-indian-liver",0.1,0.719178020954132,"cone",4,0.625,1024
"ilpd-indian-liver",0.1,0.719178020954132,"rect",4,0.625,1024
"ilpd-indian-liver",0.1,0.719178020954132,"cone",4,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"rect",4,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"cone",4,0.625,256
"ilpd-indian-liver",0.1,0.719178080558777,"rect",4,0.625,256
"ilpd-indian-liver",1,0.719178080558777,"cone",4,0.625,256
"ilpd-indian-liver",0.01,0.719178080558777,"rect",3,0.625,1024
"ilpd-indian-liver",0.01,0.719178020954132,"cone",3,0.625,512
"ilpd-indian-liver",0.01,0.719178080558777,"rect",3,0.625,512
"ilpd-indian-liver",0.01,0.719178020954132,"cone",3,0.625,256
"ilpd-indian-liver",0.1,0.719178080558777,"cone",3,0.625,1024
"ilpd-indian-liver",0.1,0.719178020954132,"cone",3,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"rect",3,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"cone",3,0.625,256
"ilpd-indian-liver",0.1,0.719178020954132,"rect",3,0.625,256
"ilpd-indian-liver",1,0.719178080558777,"cone",3,0.625,512
"ilpd-indian-liver",0.01,0.719178080558777,"cone",2,0.625,1024
"ilpd-indian-liver",0.01,0.719178020954132,"cone",2,0.625,512
"ilpd-indian-liver",0.01,0.719178020954132,"rect",2,0.625,512
"ilpd-indian-liver",0.01,0.719178080558777,"cone",2,0.625,256
"ilpd-indian-liver",0.01,0.719178020954132,"rect",2,0.625,256
"ilpd-indian-liver",0.1,0.719178080558777,"cone",2,0.625,1024
"ilpd-indian-liver",0.1,0.719178020954132,"cone",2,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"cone",2,0.625,256
"ilpd-indian-liver",1,0.726027369499207,"cone",2,0.625,256
"ilpd-indian-liver",1,0.636986255645752,"rect",3,0.622916692495346,256
"ilpd-indian-liver",1,0.712328791618347,"rect",2,0.622916668653488,256
"ilpd-indian-liver",1,0.698630094528198,"cone",4,0.620833361148834,512
"ilpd-indian-liver",1,0.698630154132843,"rect",2,0.62083335518837,1024
"ilpd-indian-liver",1,0.452054798603058,"rect",8,0.61875,512
"ilpd-indian-liver",1,0.513698637485504,"rect",8,0.610416674613953,256
"ilpd-indian-liver",1,0.623287677764893,"rect",4,0.610416668653488,256
"ilpd-indian-liver",1,0.719178020954132,"rect",8,0.604166668653488,1024
"ilpd-indian-liver",1,0.719178020954132,"rect",32,0.600000002980232,256
"ilpd-indian-liver",1,0.547945201396942,"rect",4,0.591666680574417,1024
"ilpd-indian-liver",1,0.67123281955719,"rect",3,0.589583349227905,1024
"ilpd-indian-liver",1,0.527397274971008,"cone",8,0.583333361148834,256
"ilpd-indian-liver",1,0.273972600698471,"rect",16,0.54166667163372,1024
"ilpd-indian-liver",0.1,0.280821919441223,"rect",32,0.525000011920929,256
"ilpd-indian-liver",1,0.280821919441223,"rect",16,0.525000011920929,256
