"dataset","valAccuracy","testAccuracy","learningrate","nlayers","nhidden","layerForm"
"pittsburg-bridges-SPAN",0.600000023841858,0.695652186870575,0.01,2,512,"rect"
"pittsburg-bridges-SPAN",0.600000023841858,0.7826087474823,0.01,2,256,"rect"
"pittsburg-bridges-SPAN",0.600000023841858,0.7826087474823,0.1,2,1024,"cone"
"pittsburg-bridges-SPAN",0.600000023841858,0.608695685863495,0.1,2,512,"rect"
"pittsburg-bridges-SPAN",0.600000020861626,0.695652186870575,1,2,1024,"cone"
"pittsburg-bridges-SPAN",0.580000022053719,0.260869562625885,0.1,8,1024,"rect"
"pittsburg-bridges-SPAN",0.580000022053719,0.56521737575531,1,4,256,"cone"
"pittsburg-bridges-SPAN",0.580000019073486,0.69565224647522,0.1,3,1024,"rect"
"pittsburg-bridges-SPAN",0.580000008642674,0.56521737575531,0.01,32,1024,"rect"
"pittsburg-bridges-SPAN",0.560000020265579,0.56521737575531,0.01,2,1024,"rect"
"pittsburg-bridges-SPAN",0.560000020265579,0.60869562625885,0.1,2,1024,"rect"
"pittsburg-bridges-SPAN",0.560000012814999,0.56521737575531,1,16,256,"cone"
"pittsburg-bridges-SPAN",0.56000000834465,0.347826093435287,1,8,1024,"rect"
"pittsburg-bridges-SPAN",0.56000000834465,0.56521737575531,0.1,32,256,"rect"
"pittsburg-bridges-SPAN",0.54000001847744,0.39130437374115,1,3,512,"rect"
"pittsburg-bridges-SPAN",0.54000001847744,0.695652186870575,0.1,4,512,"rect"
"pittsburg-bridges-SPAN",0.54000001847744,0.56521737575531,1,2,512,"cone"
"pittsburg-bridges-SPAN",0.520000018179417,0.52173912525177,0.1,4,1024,"rect"
"pittsburg-bridges-SPAN",0.500000016391277,0.43478262424469,1,2,256,"cone"
"pittsburg-bridges-SPAN",0.500000013411045,0.608695685863495,1,4,256,"rect"
"pittsburg-bridges-SPAN",0.480000007152557,0.347826093435287,1,16,1024,"cone"
"pittsburg-bridges-SPAN",0.460000014305115,0.39130437374115,1,3,256,"rect"
"pittsburg-bridges-SPAN",0.460000012814999,0.39130437374115,1,4,512,"rect"
"pittsburg-bridges-SPAN",0.460000011324882,0.47826087474823,1,8,256,"rect"
"pittsburg-bridges-SPAN",0.460000006854534,0.217391312122345,1,16,512,"rect"
"pittsburg-bridges-SPAN",0.440000014007092,0.347826093435287,1,3,512,"cone"
"pittsburg-bridges-SPAN",0.440000011026859,0.47826087474823,1,2,512,"rect"
"pittsburg-bridges-SPAN",0.440000006556511,0.217391312122345,1,16,256,"rect"
"pittsburg-bridges-SPAN",0.420000012218952,0.47826087474823,1,2,256,"rect"
"pittsburg-bridges-SPAN",0.420000010728836,0.39130437374115,1,4,512,"cone"
"pittsburg-bridges-SPAN",0.42000000923872,0.47826087474823,0.1,8,512,"rect"
"pittsburg-bridges-SPAN",0.400000008940697,0.39130437374115,1,3,1024,"rect"
"pittsburg-bridges-SPAN",0.400000005960465,0.43478262424469,1,3,1024,"cone"
"pittsburg-bridges-SPAN",0.380000008642674,0.39130437374115,1,2,1024,"rect"
"pittsburg-bridges-SPAN",0.360000012814999,0.217391312122345,1,8,512,"rect"
"pittsburg-bridges-SPAN",0.360000009834766,0.217391312122345,1,16,512,"cone"
"pittsburg-bridges-SPAN",0.360000005364418,0.56521737575531,0.1,16,1024,"rect"
"pittsburg-bridges-SPAN",0.340000005066395,0.56521737575531,0.1,32,256,"cone"
"pittsburg-bridges-SPAN",0.320000004768372,0.217391312122345,1,8,1024,"cone"
"pittsburg-bridges-SPAN",0.280000004172325,0.217391312122345,0.01,32,512,"rect"
"pittsburg-bridges-SPAN",0.280000004172325,0.56521737575531,0.1,16,512,"rect"
"pittsburg-bridges-SPAN",0.260000003874302,0.39130437374115,0.01,32,256,"rect"
"pittsburg-bridges-SPAN",0.260000003874302,0.56521737575531,1,16,1024,"rect"
"pittsburg-bridges-SPAN",0.200000004470348,0.47826087474823,1,4,1024,"cone"
"pittsburg-bridges-SPAN",0.200000002980232,0.260869562625885,1,8,256,"cone"
"pittsburg-bridges-SPAN",0.140000002086163,0.217391312122345,0.1,16,256,"rect"
"pittsburg-bridges-SPAN",0.0200000002980232,0.217391312122345,0.01,32,256,"cone"
