dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
abalone,4177,8,CLASSIFICATION,snn_abalone,1.0382553699294157,0.6267942576126999,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
acute-inflammation,120,6,CLASSIFICATION,snn_acute-inflammation,0.5131175518035889,0.9722222089767456,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
acute-nephritis,120,6,CLASSIFICATION,snn_acute-nephritis,0.0005455908831208943,1.0,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
adult,48842,14,CLASSIFICATION,snn_adult,0.3649429975943626,0.8486420090159144,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
annealing,898,31,CLASSIFICATION,snn_annealing,0.8841452607402095,0.7925925930341085,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
arrhythmia,452,262,CLASSIFICATION,snn_arrhythmia,1.7553812475765451,0.6323529411764706,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
audiology-std,196,59,CLASSIFICATION,snn_audiology-std,1.4302518367767334,0.6000000238418579,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
balance-scale,625,4,CLASSIFICATION,snn_balance-scale,0.053405458667374985,0.9893617021276596,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
balloons,16,4,CLASSIFICATION,snn_balloons,0.2322354912757873,1.0,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
bank,4521,16,CLASSIFICATION,snn_bank,2.053948211740148,0.8718703977313765,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 1.0, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
blood,748,4,CLASSIFICATION,snn_blood,0.3658438596577771,0.8938053107894628,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
breast-cancer-wisc-diag,569,30,CLASSIFICATION,snn_breast-cancer-wisc-diag,0.11658449913916548,0.9767441860465116,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
breast-cancer-wisc-prog,198,33,CLASSIFICATION,snn_breast-cancer-wisc-prog,0.365482896566391,0.8500000238418579,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
breast-cancer-wisc,699,9,CLASSIFICATION,snn_breast-cancer-wisc,0.021144225610242717,1.0,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
breast-cancer,286,9,CLASSIFICATION,snn_breast-cancer,0.8102294830388801,0.7325581381487292,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
breast-tissue,106,9,CLASSIFICATION,snn_breast-tissue,1.3445783853530884,0.375,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
cardiotocography-10clases,2126,21,CLASSIFICATION,snn_cardiotocography-10clases,1.0349909212895696,0.8213166125515785,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
cardiotocography-3clases,2126,21,CLASSIFICATION,snn_cardiotocography-3clases,0.3013871422381984,0.9278996839044984,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
car,1728,6,CLASSIFICATION,snn_car,1.4170460114112269,0.6,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
chess-krvkp,3196,36,CLASSIFICATION,snn_chess-krvkp,0.015282005980060374,0.9958333333333332,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
chess-krvk,28056,6,CLASSIFICATION,snn_chess-krvk,3.144591439617136,0.09242100261521753,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
congressional-voting,435,16,CLASSIFICATION,snn_congressional-voting,1.050277854457046,0.6363636363636364,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
conn-bench-sonar-mines-rocks,208,60,CLASSIFICATION,snn_conn-bench-sonar-mines-rocks,1.0021458864212036,0.796875,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
conn-bench-vowel-deterding,990,11,CLASSIFICATION,snn_conn-bench-vowel-deterding,2.521047798579171,0.1006711411896168,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
connect-4,67557,42,CLASSIFICATION,snn_connect-4,0.4072613870342361,0.8833629366371414,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
contrac,1473,9,CLASSIFICATION,snn_contrac,1.1348907815385187,0.5475113089807433,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
credit-approval,690,15,CLASSIFICATION,snn_credit-approval,0.7023782042356638,0.8269230769230769,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
cylinder-bands,512,35,CLASSIFICATION,snn_cylinder-bands,0.7450243846162573,0.7597402620625187,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
dermatology,366,34,CLASSIFICATION,snn_dermatology,1.7591820586811413,0.2727272754365748,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
echocardiogram,131,10,CLASSIFICATION,snn_echocardiogram,0.8957260251045227,0.8249999880790709,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
ecoli,336,7,CLASSIFICATION,snn_ecoli,0.6865136062397676,0.7450980438905603,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
energy-y1,768,8,CLASSIFICATION,snn_energy-y1,0.17739831758984204,0.8879310344827587,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
energy-y2,768,8,CLASSIFICATION,snn_energy-y2,0.19453246326282106,0.8965517282485962,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
fertility,100,9,CLASSIFICATION,snn_fertility,0.6273429989814758,0.8000000119209291,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
flags,194,28,CLASSIFICATION,snn_flags,1.963294506072998,0.6000000238418579,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
glass,214,9,CLASSIFICATION,snn_glass,1.7408402507955378,0.42424242424242425,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
haberman-survival,306,3,CLASSIFICATION,snn_haberman-survival,0.5151694481787474,0.7608695574428724,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hayes-roth,160,3,CLASSIFICATION,snn_hayes-roth,0.7669618725776672,0.7916666865348816,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
heart-cleveland,303,13,CLASSIFICATION,snn_heart-cleveland,2.137353218120077,0.5652173990788667,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
heart-hungarian,294,12,CLASSIFICATION,snn_heart-hungarian,1.7790152178870309,0.6444444451067183,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
heart-switzerland,123,12,CLASSIFICATION,snn_heart-switzerland,4.105503559112549,0.2631579041481018,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
heart-va,200,12,CLASSIFICATION,snn_heart-va,4.663726806640625,0.3333333432674408,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hepatitis,155,19,CLASSIFICATION,snn_hepatitis,1.4505668878555298,0.7083333134651184,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hill-valley,1212,100,CLASSIFICATION,snn_hill-valley,0.977463058062962,0.5439560439560439,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
horse-colic,368,25,CLASSIFICATION,snn_horse-colic,0.8638965913227626,0.7053571428571429,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
ilpd-indian-liver,583,9,CLASSIFICATION,snn_ilpd-indian-liver,0.5233113765716553,0.7159090909090909,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
image-segmentation,2310,18,CLASSIFICATION,snn_image-segmentation,1.94030228815436,0.11527377528055258,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
ionosphere,351,33,CLASSIFICATION,snn_ionosphere,0.16507241867904393,0.9622641509433962,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
iris,150,4,CLASSIFICATION,snn_iris,0.2642537951469421,0.8260869383811951,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
led-display,1000,7,CLASSIFICATION,snn_led-display,1.9383315722147625,0.44666666666666666,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
lenses,24,4,CLASSIFICATION,snn_lenses,2.8138489723205566,0.75,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
letter,20000,16,CLASSIFICATION,snn_letter,0.10026981574312473,0.9793333331743876,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
libras,360,90,CLASSIFICATION,snn_libras,2.65790119877568,0.0740740751778638,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
low-res-spect,531,100,CLASSIFICATION,snn_low-res-spect,0.3588396499399096,0.875,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
lung-cancer,32,56,CLASSIFICATION,snn_lung-cancer,1.7317310571670532,0.4000000059604645,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
lymphography,148,18,CLASSIFICATION,snn_lymphography,0.9268669486045836,0.782608687877655,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
magic,19020,10,CLASSIFICATION,snn_magic,0.35061259124306604,0.8696109358987765,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
mammographic,961,5,CLASSIFICATION,snn_mammographic,0.5190285838883498,0.8000000016442661,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
miniboone,130064,50,CLASSIFICATION,snn_miniboone,0.1817069021002535,0.9301127626674716,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
molec-biol-promoter,106,57,CLASSIFICATION,snn_molec-biol-promoter,0.4545057713985443,0.8125,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
molec-biol-splice,3190,60,CLASSIFICATION,snn_molec-biol-splice,1.1420912070662592,0.8622129438814391,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
monks-1,556,6,CLASSIFICATION,snn_monks-1,0.12148341179514925,0.9642857142857144,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
