dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
abalone,4177,8,CLASSIFICATION,snn_abalone,0.9352521143461529,0.6539074963930122,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
acute-inflammation,120,6,CLASSIFICATION,snn_acute-inflammation,0.014400471001863481,1.0,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
acute-nephritis,120,6,CLASSIFICATION,snn_acute-nephritis,0.0012187991524115205,1.0,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
adult,48842,14,CLASSIFICATION,snn_adult,0.6930525805951141,0.7589736591017359,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
annealing,898,31,CLASSIFICATION,snn_annealing,0.4834885234082187,0.8888888888888888,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
arrhythmia,452,262,CLASSIFICATION,snn_arrhythmia,1.8875636844074024,0.5294117647058824,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
audiology-std,196,59,CLASSIFICATION,snn_audiology-std,1.1665269136428833,0.7333333492279053,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
balance-scale,625,4,CLASSIFICATION,snn_balance-scale,0.16562892452992026,0.9680850975056912,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
balloons,16,4,CLASSIFICATION,snn_balloons,0.7082800269126892,0.6666666865348816,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
bank,4521,16,CLASSIFICATION,snn_bank,0.6921263472321108,0.898379970544919,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 1.0, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
