dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
abalone,4177,8,CLASSIFICATION,snn_abalone,0.8067664410889244,0.6459330162553316,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
acute-inflammation,120,6,CLASSIFICATION,snn_acute-inflammation,0.09221459925174713,1.0,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
acute-nephritis,120,6,CLASSIFICATION,snn_acute-nephritis,0.0006902703316882253,1.0,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
adult,48842,14,CLASSIFICATION,snn_adult,0.6930525805951141,0.7571993993756162,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
annealing,898,31,CLASSIFICATION,snn_annealing,0.8531172928986726,0.7481481490311799,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
arrhythmia,452,262,CLASSIFICATION,snn_arrhythmia,1.5994503007215612,0.5588235294117647,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
audiology-std,196,59,CLASSIFICATION,snn_audiology-std,0.8616967797279358,0.8666666746139526,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
balance-scale,625,4,CLASSIFICATION,snn_balance-scale,0.055591932042165004,0.9787234042553192,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
balloons,16,4,CLASSIFICATION,snn_balloons,0.09397133439779283,1.0,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
bank,4521,16,CLASSIFICATION,snn_bank,0.6921263455642339,0.8807069227340821,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 1.0, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
blood,748,4,CLASSIFICATION,snn_blood,0.7001825644906643,0.7699114949302336,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
breast-cancer-wisc-diag,569,30,CLASSIFICATION,snn_breast-cancer-wisc-diag,0.2283465016719907,0.9418604609578156,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
breast-cancer-wisc-prog,198,33,CLASSIFICATION,snn_breast-cancer-wisc-prog,0.9457383751869202,0.7666666507720947,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
breast-cancer-wisc,699,9,CLASSIFICATION,snn_breast-cancer-wisc,0.1547588314328875,0.9619047567957923,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
