"dataset","nlayers","nhidden","valAccuracy","layerForm","learningrate","testAccuracy"
"cardiotocography-10clases",3,256,0.885135149955749,"rect",0.01,0.860640287399292
"cardiotocography-10clases",3,1024,0.882432478666306,"rect",0.01,0.836158156394958
"cardiotocography-10clases",3,1024,0.871621650457382,"cone",0.01,0.828625202178955
"cardiotocography-10clases",3,512,0.865540558099747,"rect",0.01,0.843691110610962
"cardiotocography-10clases",4,1024,0.863513553142548,"rect",0.01,0.822975516319275
"cardiotocography-10clases",2,1024,0.86148653626442,"cone",0.1,0.832391619682312
"cardiotocography-10clases",4,512,0.855405455827713,"rect",0.01,0.826741933822632
"cardiotocography-10clases",4,256,0.855405449867249,"rect",0.01,0.821092188358307
"cardiotocography-10clases",2,1024,0.850675708055496,"rect",0.01,0.783427476882935
"cardiotocography-10clases",3,1024,0.847973018884659,"rect",0.1,0.83427494764328
"cardiotocography-10clases",2,512,0.846621668338776,"cone",0.1,0.824858725070953
"cardiotocography-10clases",2,1024,0.845945996046066,"rect",0.1,0.809792816638947
"cardiotocography-10clases",2,1024,0.844594639539719,"cone",0.01,0.815442502498627
"cardiotocography-10clases",2,256,0.843243288993835,"rect",0.1,0.813559353351593
"cardiotocography-10clases",3,512,0.843243277072906,"rect",0.1,0.826742053031921
"cardiotocography-10clases",2,512,0.841891914606094,"cone",0.01,0.813559293746948
"cardiotocography-10clases",8,512,0.841216242313385,"cone",0.01,0.802259802818298
"cardiotocography-10clases",4,256,0.839864897727966,"cone",0.1,0.81167608499527
"cardiotocography-10clases",2,512,0.839189213514328,"rect",0.1,0.821092307567596
"cardiotocography-10clases",8,256,0.835810852050781,"rect",0.01,0.794726967811584
"cardiotocography-10clases",3,512,0.835135167837143,"cone",0.01,0.81732577085495
"cardiotocography-10clases",3,512,0.832432478666306,"cone",0.1,0.809792876243591
"cardiotocography-10clases",2,256,0.831756794452667,"rect",0.01,0.798493385314941
"cardiotocography-10clases",3,256,0.831081122159958,"cone",0.1,0.81732577085495
"cardiotocography-10clases",4,512,0.829729777574539,"cone",0.01,0.807909607887268
"cardiotocography-10clases",4,1024,0.827702754735947,"cone",0.1,0.796610176563263
"cardiotocography-10clases",3,256,0.827027058601379,"cone",0.01,0.81167608499527
"cardiotocography-10clases",2,256,0.824324363470078,"cone",0.1,0.819209039211273
"cardiotocography-10clases",4,256,0.823648691177368,"cone",0.01,0.775894522666931
"cardiotocography-10clases",2,512,0.821621680259705,"rect",0.01,0.813559353351593
"cardiotocography-10clases",4,1024,0.818243271112442,"cone",0.01,0.796610116958618
"cardiotocography-10clases",3,1024,0.817567604780197,"cone",0.1,0.798493385314941
"cardiotocography-10clases",2,256,0.81621624827385,"cone",0.01,0.807909548282623
"cardiotocography-10clases",4,512,0.813513553142548,"cone",0.1,0.792843699455261
"cardiotocography-10clases",3,256,0.80608115196228,"rect",0.1,0.807909607887268
"cardiotocography-10clases",8,512,0.796621650457382,"rect",0.01,0.787193953990936
"cardiotocography-10clases",4,256,0.791216248273849,"rect",0.1,0.755178928375244
"cardiotocography-10clases",8,1024,0.782432478666305,"rect",0.01,0.747645914554596
"cardiotocography-10clases",8,256,0.708108127117157,"cone",0.01,0.72504711151123
"cardiotocography-10clases",8,1024,0.668243277072907,"cone",0.01,0.72504711151123
"cardiotocography-10clases",4,512,0.633783811330795,"rect",0.1,0.602636456489563
"cardiotocography-10clases",32,1024,0.27027028799057,"cone",0.1,0.274952918291092
"cardiotocography-10clases",16,512,0.27027028799057,"cone",0.01,0.274952918291092
"cardiotocography-10clases",16,512,0.27027028799057,"rect",0.1,0.274952918291092
"cardiotocography-10clases",8,1024,0.27027028799057,"cone",0.1,0.274952918291092
"cardiotocography-10clases",8,512,0.27027028799057,"rect",0.1,0.274952918291092
"cardiotocography-10clases",8,256,0.27027028799057,"cone",1,0.274952918291092
"cardiotocography-10clases",4,1024,0.27027028799057,"rect",0.1,0.274952918291092
"cardiotocography-10clases",3,1024,0.27027028799057,"cone",1,0.274952918291092
"cardiotocography-10clases",3,1024,0.27027028799057,"rect",1,0.274952918291092
"cardiotocography-10clases",3,512,0.27027028799057,"cone",1,0.274952918291092
"cardiotocography-10clases",3,512,0.27027028799057,"rect",1,0.274952918291092
"cardiotocography-10clases",4,512,0.189189197123051,"rect",1,0.180790960788727
"cardiotocography-10clases",4,256,0.189189197123051,"cone",1,0.180790960788727
"cardiotocography-10clases",4,256,0.189189197123051,"rect",1,0.180790960788727
"cardiotocography-10clases",2,1024,0.189189197123051,"cone",1,0.180790960788727
"cardiotocography-10clases",2,512,0.189189197123051,"rect",1,0.180790960788727
"cardiotocography-10clases",4,1024,0.189189197123051,"rect",1,0.180790945887566
"cardiotocography-10clases",32,1024,0.189189195632935,"cone",0.01,0.180790960788727
"cardiotocography-10clases",32,1024,0.189189195632935,"rect",0.01,0.180790960788727
"cardiotocography-10clases",32,512,0.189189195632935,"cone",0.01,0.180790960788727
"cardiotocography-10clases",32,512,0.189189195632935,"rect",0.01,0.180790960788727
"cardiotocography-10clases",32,256,0.189189195632935,"cone",0.01,0.180790960788727
"cardiotocography-10clases",32,256,0.189189195632935,"rect",0.01,0.180790960788727
"cardiotocography-10clases",32,1024,0.189189195632935,"rect",0.1,0.180790960788727
"cardiotocography-10clases",32,512,0.189189195632935,"cone",0.1,0.180790960788727
"cardiotocography-10clases",32,512,0.189189195632935,"rect",0.1,0.180790960788727
"cardiotocography-10clases",32,256,0.189189195632935,"cone",0.1,0.180790960788727
"cardiotocography-10clases",32,256,0.189189195632935,"rect",0.1,0.180790960788727
"cardiotocography-10clases",32,1024,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",32,1024,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",32,512,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",32,512,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",32,256,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",32,256,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",16,1024,0.189189195632935,"cone",0.01,0.180790945887566
"cardiotocography-10clases",16,1024,0.189189195632935,"rect",0.01,0.180790960788727
"cardiotocography-10clases",16,512,0.189189195632935,"rect",0.01,0.180790960788727
"cardiotocography-10clases",16,256,0.189189195632935,"cone",0.01,0.180790960788727
"cardiotocography-10clases",16,256,0.189189195632935,"rect",0.01,0.180790960788727
"cardiotocography-10clases",16,1024,0.189189195632935,"cone",0.1,0.180790960788727
"cardiotocography-10clases",16,1024,0.189189195632935,"rect",0.1,0.180790960788727
"cardiotocography-10clases",16,512,0.189189195632935,"cone",0.1,0.180790960788727
"cardiotocography-10clases",16,256,0.189189195632935,"cone",0.1,0.180790960788727
"cardiotocography-10clases",16,256,0.189189195632935,"rect",0.1,0.180790960788727
"cardiotocography-10clases",16,1024,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",16,1024,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",16,512,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",16,512,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",16,256,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",16,256,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",8,1024,0.189189195632935,"rect",0.1,0.180790960788727
"cardiotocography-10clases",8,512,0.189189195632935,"cone",0.1,0.180790960788727
"cardiotocography-10clases",8,256,0.189189195632935,"cone",0.1,0.180790960788727
"cardiotocography-10clases",8,256,0.189189195632935,"rect",0.1,0.180790960788727
"cardiotocography-10clases",8,1024,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",8,1024,0.189189195632935,"rect",1,0.180790960788727
