"dataset","layerForm","valAccuracy","nhidden","nlayers","testAccuracy","learningrate"
"cardiotocography-3clases","cone",0.77777773141861,1024,8,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,1024,8,0.779660940170288,1
"cardiotocography-3clases","cone",0.77777773141861,512,8,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,512,8,0.779661059379578,1
"cardiotocography-3clases","cone",0.77777773141861,256,8,0.779661059379578,1
"cardiotocography-3clases","rect",0.77777773141861,256,8,0.779661059379578,1
"cardiotocography-3clases","cone",0.77777773141861,512,4,0.779660940170288,0.01
"cardiotocography-3clases","cone",0.77777773141861,256,4,0.779660999774933,0.01
"cardiotocography-3clases","cone",0.77777773141861,1024,4,0.779661059379578,0.1
"cardiotocography-3clases","rect",0.77777773141861,256,4,0.779660940170288,0.1
"cardiotocography-3clases","cone",0.77777773141861,1024,4,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,1024,4,0.779660940170288,1
"cardiotocography-3clases","cone",0.77777773141861,512,4,0.779660999774933,1
"cardiotocography-3clases","rect",0.77777773141861,512,4,0.779660940170288,1
"cardiotocography-3clases","cone",0.77777773141861,256,4,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,256,4,0.779660940170288,1
"cardiotocography-3clases","cone",0.77777773141861,1024,3,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,1024,3,0.779660940170288,1
"cardiotocography-3clases","cone",0.77777773141861,512,3,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,512,3,0.779660940170288,1
"cardiotocography-3clases","cone",0.77777773141861,256,3,0.779661059379578,1
"cardiotocography-3clases","rect",0.77777773141861,256,3,0.779661059379578,1
"cardiotocography-3clases","cone",0.77777773141861,1024,2,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,1024,2,0.779660940170288,1
"cardiotocography-3clases","cone",0.77777773141861,512,2,0.779660940170288,1
"cardiotocography-3clases","rect",0.77777773141861,512,2,0.779661059379578,1
"cardiotocography-3clases","rect",0.77777773141861,256,2,0.779660940170288,1
