"dataset","layerForm","nhidden","valAccuracy","nlayers","learningrate","testAccuracy"
"thyroid","rect",512,0.989130485057831,3,0.01,0.980746924877167
"thyroid","cone",512,0.985597836971283,2,1,0.980455160140991
"thyroid","cone",256,0.983423936367035,2,0.01,0.978996515274048
"thyroid","cone",256,0.982608687877655,2,1,0.98395574092865
"thyroid","cone",512,0.98233699798584,3,0.01,0.973453998565674
"thyroid","rect",256,0.982336956262589,2,0.01,0.976079404354095
"thyroid","cone",512,0.982065254449844,2,0.01,0.981621980667114
"thyroid","rect",512,0.982065236568451,2,0.01,0.978996574878693
"thyroid","cone",1024,0.982065218687058,3,0.1,0.977246284484863
"thyroid","cone",256,0.981793504953384,2,0.1,0.978704869747162
"thyroid","cone",1024,0.981521731615067,2,0.01,0.976662933826447
"thyroid","rect",512,0.98097825050354,4,0.1,0.973745763301849
"thyroid","cone",1024,0.980434811115265,3,0.01,0.976371049880981
"thyroid","cone",512,0.980434787273407,2,0.1,0.97607946395874
"thyroid","rect",256,0.980163043737412,4,0.01,0.978704869747162
"thyroid","rect",1024,0.979891300201416,4,0.01,0.976662874221802
"thyroid","rect",512,0.979891288280487,4,0.01,0.976954579353333
"thyroid","cone",512,0.979891282320023,4,0.1,0.98395574092865
"thyroid","cone",1024,0.979619562625885,2,0.1,0.980455219745636
"thyroid","rect",512,0.979076087474823,3,0.1,0.971703708171844
"thyroid","rect",1024,0.977717399597168,2,0.1,0.981038570404053
"thyroid","rect",1024,0.97744562625885,2,0.01,0.977246344089508
"thyroid","rect",256,0.976902174949646,3,0.01,0.973453998565674
"thyroid","cone",1024,0.976902168989182,4,0.01,0.954492509365082
"thyroid","rect",256,0.974184775352478,2,0.1,0.976954579353333
"thyroid","rect",512,0.973369562625885,8,0.01,0.964702546596527
"thyroid","rect",256,0.97309781908989,4,0.1,0.973453998565674
"thyroid","rect",256,0.972826093435288,3,0.1,0.983080625534058
"thyroid","cone",256,0.971467357873917,3,0.01,0.976662874221802
"thyroid","rect",1024,0.970108687877655,3,0.01,0.974912643432617
"thyroid","rect",512,0.966576057672501,2,0.1,0.974329113960266
"thyroid","cone",512,0.963858652114868,8,0.01,0.969078302383423
"thyroid","rect",1024,0.962228214740753,3,0.1,0.972870588302612
"thyroid","rect",256,0.961413013935089,8,0.01,0.973453938961029
"thyroid","cone",512,0.960869538784027,3,0.1,0.957701444625854
"thyroid","cone",256,0.96059781908989,3,0.1,0.952742218971252
"thyroid","rect",1024,0.960054314136505,8,0.01,0.964119136333466
"thyroid","rect",1024,0.957880401611328,4,0.1,0.96586948633194
"thyroid","cone",512,0.957336950302124,4,0.01,0.961785435676575
"thyroid","cone",1024,0.937499994039536,8,0.01,0.93378072977066
"thyroid","cone",256,0.935054332017899,4,0.01,0.939614951610565
"thyroid","cone",1024,0.923913049697876,32,0.01,0.927071332931519
"thyroid","cone",256,0.923913049697876,16,0.1,0.927071273326874
"thyroid","cone",256,0.923913049697876,8,0.1,0.927071273326874
"thyroid","cone",1024,0.923913049697876,4,0.1,0.927071332931519
"thyroid","cone",256,0.923913049697876,4,1,0.927071332931519
"thyroid","cone",512,0.923913043737412,16,0.01,0.927071332931519
"thyroid","rect",1024,0.923913043737412,4,1,0.927071332931519
"thyroid","cone",512,0.923913043737412,3,1,0.927071332931519
"thyroid","cone",1024,0.923913037776947,32,1,0.927071273326874
"thyroid","cone",256,0.923913037776947,32,1,0.927071332931519
"thyroid","cone",512,0.923913037776947,16,1,0.927071332931519
"thyroid","cone",256,0.923913031816483,16,0.01,0.927071332931519
"thyroid","cone",256,0.923913031816483,16,1,0.927071332931519
"thyroid","rect",512,0.923913025856018,8,0.1,0.927071332931519
"thyroid","cone",256,0.923913025856018,3,1,0.927071332931519
"thyroid","rect",512,0.923913025856018,2,1,0.927071332931519
"thyroid","cone",256,0.923913025856018,8,0.01,0.927071332931519
"thyroid","cone",512,0.923913025856018,8,0.1,0.927071332931519
"thyroid","cone",1024,0.923913019895554,32,0.1,0.927071332931519
"thyroid","cone",256,0.923913019895554,32,0.1,0.927071332931519
"thyroid","cone",256,0.923913019895554,4,0.1,0.927071273326874
"thyroid","cone",1024,0.923913013935089,16,0.01,0.927071273326874
"thyroid","cone",1024,0.923913013935089,4,1,0.927071332931519
"thyroid","rect",1024,0.92391300201416,16,0.1,0.927071273326874
"thyroid","cone",256,0.92391300201416,8,1,0.927071332931519
"thyroid","rect",1024,0.0190217401832342,32,0.01,0.021295215934515
"thyroid","cone",512,0.0190217401832342,32,0.01,0.021295215934515
"thyroid","rect",512,0.0190217401832342,32,0.01,0.021295215934515
"thyroid","cone",256,0.0190217401832342,32,0.01,0.021295215934515
"thyroid","rect",256,0.0190217401832342,32,0.01,0.021295215934515
"thyroid","rect",1024,0.0190217401832342,32,0.1,0.021295215934515
"thyroid","cone",512,0.0190217401832342,32,0.1,0.021295215934515
"thyroid","rect",512,0.0190217401832342,32,0.1,0.021295215934515
"thyroid","rect",256,0.0190217401832342,32,0.1,0.0212952177971601
"thyroid","rect",1024,0.0190217401832342,32,1,0.0212952177971601
"thyroid","cone",512,0.0190217401832342,32,1,0.0212952177971601
"thyroid","rect",512,0.0190217401832342,32,1,0.0212952177971601
"thyroid","rect",256,0.0190217401832342,32,1,0.0212952177971601
"thyroid","rect",1024,0.0190217401832342,16,0.01,0.021295215934515
"thyroid","rect",512,0.0190217401832342,16,0.01,0.0212952177971601
"thyroid","rect",256,0.0190217401832342,16,0.01,0.021295215934515
"thyroid","cone",1024,0.0190217401832342,16,0.1,0.021295215934515
"thyroid","cone",512,0.0190217401832342,16,0.1,0.0212952177971601
"thyroid","rect",512,0.0190217401832342,16,0.1,0.021295215934515
"thyroid","rect",256,0.0190217401832342,16,0.1,0.021295215934515
"thyroid","cone",1024,0.0190217401832342,16,1,0.021295215934515
"thyroid","rect",1024,0.0190217401832342,16,1,0.021295215934515
"thyroid","rect",512,0.0190217401832342,16,1,0.0212952177971601
"thyroid","rect",256,0.0190217401832342,16,1,0.021295215934515
"thyroid","cone",1024,0.0190217401832342,8,0.1,0.021295215934515
"thyroid","rect",1024,0.0190217401832342,8,0.1,0.021295215934515
"thyroid","rect",256,0.0190217401832342,8,0.1,0.0212952177971601
"thyroid","cone",1024,0.0190217401832342,8,1,0.021295215934515
"thyroid","rect",1024,0.0190217401832342,8,1,0.021295215934515
"thyroid","cone",512,0.0190217401832342,8,1,0.0212952177971601
"thyroid","rect",512,0.0190217401832342,8,1,0.021295215934515
"thyroid","rect",256,0.0190217401832342,8,1,0.021295215934515
"thyroid","cone",512,0.0190217401832342,4,1,0.021295215934515
"thyroid","rect",512,0.0190217401832342,4,1,0.0212952177971601
"thyroid","rect",256,0.0190217401832342,4,1,0.021295215934515
