"dataset","nhidden","learningrate","nlayers","layerForm","testAccuracy","valAccuracy"
"hepatitis",1024,0.1,8,"rect",0.205128207802773,0.200000002980232
"hepatitis",512,0.1,8,"cone",0.205128207802773,0.200000002980232
"hepatitis",512,0.1,8,"rect",0.205128207802773,0.200000002980232
"hepatitis",256,0.1,8,"rect",0.205128207802773,0.200000002980232
"hepatitis",1024,1,8,"rect",0.205128207802773,0.200000002980232
"hepatitis",512,1,8,"rect",0.205128207802773,0.200000002980232
"hepatitis",256,1,8,"rect",0.205128207802773,0.200000002980232
"hepatitis",1024,1,4,"cone",0.205128207802773,0.200000002980232
"hepatitis",1024,1,4,"rect",0.205128207802773,0.200000002980232
"hepatitis",512,1,4,"rect",0.205128207802773,0.200000002980232
"hepatitis",256,1,4,"rect",0.205128207802773,0.200000002980232
"hepatitis",512,1,3,"rect",0.205128207802773,0.200000002980232
"hepatitis",256,1,3,"cone",0.205128207802773,0.200000002980232
"hepatitis",256,1,3,"rect",0.205128207802773,0.200000002980232
"hepatitis",1024,1,2,"cone",0.205128207802773,0.200000002980232
"hepatitis",512,1,2,"rect",0.205128207802773,0.200000002980232
