"dataset","nlayers","nhidden","layerForm","learningrate","testAccuracy","valAccuracy"
"statlog-landsat",32,1024,"cone",1,0.230499997735023,0.219148932397366
"statlog-landsat",32,512,"rect",1,0.230500012636185,0.219148932397366
"statlog-landsat",32,256,"cone",1,0.230500012636185,0.219148932397366
"statlog-landsat",16,512,"rect",0.01,0.230500012636185,0.219148932397366
"statlog-landsat",16,512,"cone",0.1,0.230500012636185,0.219148932397366
"statlog-landsat",4,1024,"rect",0.1,0.230500012636185,0.219148932397366
"statlog-landsat",4,256,"rect",0.1,0.230499997735023,0.219148932397366
"statlog-landsat",4,512,"cone",1,0.230499997735023,0.219148932397366
"statlog-landsat",3,1024,"rect",0.1,0.230500012636185,0.219148932397366
"statlog-landsat",2,1024,"rect",1,0.230500012636185,0.219148932397366
"statlog-landsat",2,512,"cone",1,0.230500012636185,0.219148932397366
"statlog-landsat",32,512,"rect",0.1,0.230499997735023,0.219148930907249
"statlog-landsat",32,1024,"rect",1,0.230499997735023,0.219148930907249
"statlog-landsat",16,512,"cone",0.01,0.230499997735023,0.219148930907249
"statlog-landsat",8,256,"rect",0.01,0.230500012636185,0.219148930907249
"statlog-landsat",2,256,"rect",1,0.230499997735023,0.219148930907249
"statlog-landsat",3,1024,"cone",1,0.230499997735023,0.219148929417133
"statlog-landsat",32,1024,"rect",0.01,0.230499997735023,0.219148927927017
"statlog-landsat",32,1024,"rect",0.1,0.230499997735023,0.219148927927017
"statlog-landsat",16,1024,"cone",0.01,0.230500012636185,0.219148927927017
"statlog-landsat",32,512,"cone",0.01,0.198499992489815,0.204255326092243
"statlog-landsat",32,1024,"cone",0.01,0.198500007390976,0.204255321621895
