"dataset","nlayers","layerForm","valAccuracy","nhidden","testAccuracy","learningrate"
"acute-inflammation",4,"cone",1,1024,1,0.01
"acute-inflammation",4,"rect",1,1024,1,0.01
"acute-inflammation",4,"cone",1,512,1,0.01
"acute-inflammation",4,"rect",1,256,1,0.01
"acute-inflammation",4,"cone",1,512,1,0.1
"acute-inflammation",3,"cone",1,1024,1,0.01
"acute-inflammation",3,"rect",1,1024,1,0.01
"acute-inflammation",3,"rect",1,512,1,0.01
"acute-inflammation",3,"rect",1,256,1,0.01
"acute-inflammation",3,"cone",1,256,1,0.1
"acute-inflammation",2,"cone",1,1024,1,0.01
"acute-inflammation",2,"rect",1,1024,1,0.01
"acute-inflammation",2,"cone",1,512,1,0.01
"acute-inflammation",2,"rect",1,512,1,0.01
"acute-inflammation",2,"cone",1,256,1,0.01
"acute-inflammation",2,"rect",1,256,1,0.01
"acute-inflammation",2,"cone",1,1024,0.766666769981384,0.1
"acute-inflammation",2,"rect",1,1024,1,0.1
"acute-inflammation",2,"cone",1,512,1,0.1
"acute-inflammation",2,"rect",1,512,1,0.1
"acute-inflammation",2,"cone",1,256,1,0.1
"acute-inflammation",2,"rect",1,256,1,0.1
"acute-inflammation",4,"rect",0.988888889551163,512,0.866666734218597,0.01
"acute-inflammation",3,"cone",0.911111116409302,1024,0.73333340883255,0.1
"acute-inflammation",3,"cone",0.888888895511627,512,0.833333373069763,0.1
"acute-inflammation",3,"cone",0.777777791023254,256,0.966666698455811,0.01
"acute-inflammation",32,"cone",0.666666686534881,512,0.466666698455811,0.01
"acute-inflammation",16,"cone",0.666666686534881,1024,0.466666698455811,0.01
"acute-inflammation",4,"cone",0.666666686534881,256,0.466666698455811,0.1
"acute-inflammation",32,"cone",0.633333352208137,512,0.466666698455811,1
"acute-inflammation",3,"rect",0.633333352208137,256,0.466666698455811,0.1
"acute-inflammation",32,"cone",0.566666683554649,256,0.466666698455811,1
"acute-inflammation",32,"rect",0.533333349227905,1024,0.466666698455811,1
"acute-inflammation",32,"rect",0.533333349227905,256,0.533333420753479,1
"acute-inflammation",32,"rect",0.500000014901161,512,0.533333420753479,1
"acute-inflammation",32,"cone",0.500000014901161,1024,0.466666698455811,1
"acute-inflammation",16,"cone",0.500000014901161,256,0.533333420753479,1
"acute-inflammation",8,"cone",0.466666680574417,512,0.466666698455811,1
"acute-inflammation",8,"cone",0.466666680574417,256,0.466666698455811,1
"acute-inflammation",4,"cone",0.466666680574417,256,0.466666698455811,1
"acute-inflammation",16,"cone",0.466666680574417,256,0.533333420753479,0.1
"acute-inflammation",16,"cone",0.466666680574417,1024,0.533333420753479,1
"acute-inflammation",32,"cone",0.433333346247673,512,0.533333420753479,0.1
"acute-inflammation",4,"rect",0.433333346247673,1024,0.533333420753479,1
"acute-inflammation",3,"rect",0.366666677594185,1024,0.533333420753479,0.1
"acute-inflammation",3,"rect",0.366666677594185,512,0.533333420753479,0.1
"acute-inflammation",2,"cone",0.366666677594185,256,0.533333420753479,1
"acute-inflammation",2,"rect",0.344444453716278,1024,0.533333420753479,1
"acute-inflammation",32,"cone",0.333333343267441,1024,0.533333420753479,0.01
"acute-inflammation",32,"rect",0.333333343267441,1024,0.533333420753479,0.01
"acute-inflammation",32,"rect",0.333333343267441,512,0.533333420753479,0.01
"acute-inflammation",32,"cone",0.333333343267441,256,0.533333420753479,0.01
"acute-inflammation",32,"rect",0.333333343267441,256,0.533333420753479,0.01
"acute-inflammation",32,"cone",0.333333343267441,1024,0.533333420753479,0.1
"acute-inflammation",32,"rect",0.333333343267441,1024,0.533333420753479,0.1
"acute-inflammation",32,"rect",0.333333343267441,512,0.533333420753479,0.1
"acute-inflammation",32,"cone",0.333333343267441,256,0.533333420753479,0.1
"acute-inflammation",32,"rect",0.333333343267441,256,0.533333420753479,0.1
"acute-inflammation",16,"rect",0.333333343267441,1024,0.533333420753479,0.01
"acute-inflammation",16,"cone",0.333333343267441,512,0.533333420753479,0.01
"acute-inflammation",16,"rect",0.333333343267441,512,0.533333420753479,0.01
"acute-inflammation",16,"cone",0.333333343267441,256,0.533333420753479,0.01
"acute-inflammation",16,"rect",0.333333343267441,256,0.533333420753479,0.01
"acute-inflammation",16,"cone",0.333333343267441,1024,0.533333420753479,0.1
"acute-inflammation",16,"rect",0.333333343267441,1024,0.533333420753479,0.1
"acute-inflammation",16,"cone",0.333333343267441,512,0.533333420753479,0.1
"acute-inflammation",16,"rect",0.333333343267441,512,0.533333420753479,0.1
"acute-inflammation",16,"rect",0.333333343267441,256,0.533333420753479,0.1
