"dataset","valAccuracy","layerForm","nhidden","nlayers","testAccuracy","learningrate"
"monks-1",0.941176474094391,"rect",256,2,0.500000059604645,0.01
"monks-1",0.911764711141586,"cone",512,2,0.500000059604645,0.01
"monks-1",0.900000005960464,"cone",1024,2,0.543981492519379,0.01
"monks-1",0.876470595598221,"cone",512,4,0.502314805984497,0.01
"monks-1",0.876470595598221,"cone",256,3,0.525462985038757,0.1
"monks-1",0.864705890417099,"cone",256,3,0.502314865589142,0.01
"monks-1",0.84117648601532,"rect",512,3,0.564814805984497,0.01
"monks-1",0.794117659330368,"cone",256,2,0.592592597007751,0.01
"monks-1",0.776470601558685,"cone",1024,3,0.488425940275192,0.01
"monks-1",0.764705896377563,"cone",1024,4,0.5,0.01
"monks-1",0.652941197156906,"rect",1024,4,0.500000059604645,0.01
"monks-1",0.582352957129479,"rect",512,2,0.481481492519379,0.01
"monks-1",0.56470590531826,"rect",256,2,0.4375,0.1
"monks-1",0.564705896377563,"rect",256,3,0.5,0.01
"monks-1",0.529411792755127,"rect",1024,32,0.5,0.01
"monks-1",0.529411792755127,"cone",512,32,0.5,0.01
"monks-1",0.529411792755127,"rect",512,32,0.5,0.01
"monks-1",0.529411792755127,"cone",256,32,0.5,0.01
"monks-1",0.529411792755127,"rect",256,32,0.5,0.01
"monks-1",0.529411792755127,"cone",1024,32,0.5,0.1
"monks-1",0.529411792755127,"rect",1024,32,0.5,0.1
"monks-1",0.529411792755127,"rect",256,32,0.5,0.1
"monks-1",0.529411792755127,"rect",512,32,0.5,1
"monks-1",0.529411792755127,"rect",256,32,0.5,1
"monks-1",0.529411792755127,"rect",1024,16,0.5,0.01
"monks-1",0.529411792755127,"rect",512,16,0.5,0.01
"monks-1",0.529411792755127,"rect",256,16,0.5,0.01
"monks-1",0.529411792755127,"cone",1024,16,0.5,0.1
"monks-1",0.529411792755127,"rect",1024,16,0.5,0.1
"monks-1",0.529411792755127,"cone",512,16,0.5,0.1
"monks-1",0.529411792755127,"rect",512,16,0.5,0.1
"monks-1",0.529411792755127,"cone",256,16,0.5,0.1
"monks-1",0.529411792755127,"rect",256,16,0.5,0.1
"monks-1",0.529411792755127,"cone",1024,16,0.5,1
"monks-1",0.529411792755127,"rect",1024,16,0.5,1
"monks-1",0.529411792755127,"cone",512,16,0.5,1
"monks-1",0.529411792755127,"rect",512,16,0.5,1
"monks-1",0.529411792755127,"cone",256,16,0.5,1
"monks-1",0.529411792755127,"rect",256,16,0.5,1
"monks-1",0.529411792755127,"cone",1024,8,0.5,0.01
"monks-1",0.529411792755127,"rect",1024,8,0.5,0.01
"monks-1",0.529411792755127,"rect",512,8,0.5,0.01
"monks-1",0.529411792755127,"rect",256,8,0.5,0.01
"monks-1",0.529411792755127,"rect",1024,8,0.5,0.1
"monks-1",0.529411792755127,"cone",512,8,0.5,0.1
"monks-1",0.529411792755127,"rect",512,8,0.5,0.1
"monks-1",0.529411792755127,"rect",256,8,0.5,0.1
"monks-1",0.529411792755127,"rect",1024,8,0.5,1
"monks-1",0.529411792755127,"rect",512,8,0.5,1
"monks-1",0.529411792755127,"rect",256,8,0.5,1
"monks-1",0.529411792755127,"rect",512,4,0.5,0.01
"monks-1",0.529411792755127,"cone",1024,4,0.5,0.1
"monks-1",0.529411792755127,"rect",1024,4,0.5,0.1
"monks-1",0.529411792755127,"rect",512,4,0.5,0.1
"monks-1",0.529411792755127,"cone",256,4,0.5,0.1
"monks-1",0.529411792755127,"rect",256,4,0.5,0.1
"monks-1",0.529411792755127,"cone",1024,4,0.5,1
"monks-1",0.529411792755127,"cone",1024,3,0.5,0.1
"monks-1",0.529411792755127,"rect",1024,3,0.5,0.1
"monks-1",0.529411792755127,"rect",512,3,0.5,0.1
"monks-1",0.529411792755127,"rect",256,3,0.5,0.1
"monks-1",0.529411792755127,"cone",1024,3,0.5,1
"monks-1",0.529411792755127,"rect",1024,3,0.5,1
"monks-1",0.529411792755127,"rect",512,3,0.5,1
"monks-1",0.529411792755127,"rect",256,3,0.5,1
"monks-1",0.529411792755127,"cone",512,2,0.5,1
"monks-1",0.529411792755127,"rect",512,2,0.5,1
"monks-1",0.529411792755127,"rect",256,2,0.5,1
"monks-1",0.523529437184334,"rect",1024,3,0.486111164093018,0.01
"monks-1",0.523529437184334,"cone",512,3,0.5,0.1
"monks-1",0.511764726042748,"rect",256,4,0.493055582046509,0.01
"monks-1",0.511764726042748,"cone",512,2,0.393518507480621,0.1
"monks-1",0.511764726042747,"cone",256,32,0.500000059604645,1
"monks-1",0.511764726042747,"cone",1024,8,0.5,1
"monks-1",0.511764726042747,"cone",512,8,0.5,1
"monks-1",0.511764726042747,"cone",256,4,0.500000059604645,1
"monks-1",0.511764726042747,"rect",1024,2,0.5,0.01
"monks-1",0.511764726042747,"rect",1024,2,0.51157408952713,0.1
"monks-1",0.511764726042747,"cone",1024,2,0.456018507480621,1
"monks-1",0.505882370471954,"cone",1024,16,0.502314805984497,0.01
"monks-1",0.505882370471954,"cone",512,3,0.5,1
"monks-1",0.505882370471954,"cone",256,2,0.504629611968994,0.1
"monks-1",0.505882370471954,"rect",1024,2,0.5,1
"monks-1",0.505882370471954,"rect",512,2,0.523148119449615,0.1
"monks-1",0.500000014901161,"cone",512,32,0.5,0.1
"monks-1",0.500000014901161,"cone",1024,32,0.5,1
"monks-1",0.500000014901161,"rect",1024,32,0.5,1
"monks-1",0.500000014901161,"cone",256,8,0.5,1
"monks-1",0.500000014901161,"rect",256,4,0.5,1
"monks-1",0.500000014901161,"cone",256,2,0.555555582046509,1
"monks-1",0.494117659330368,"cone",512,32,0.500000059604645,1
"monks-1",0.494117659330368,"rect",1024,4,0.500000059604645,1
"monks-1",0.494117659330368,"cone",512,4,0.500000059604645,1
"monks-1",0.494117659330368,"cone",256,32,0.500000059604645,0.1
"monks-1",0.494117659330368,"rect",512,4,0.5,1
"monks-1",0.494117659330368,"cone",256,3,0.430555552244186,1
"monks-1",0.470588254928589,"cone",1024,2,0.5,0.1
"monks-1",0.470588237047195,"cone",1024,32,0.500000059604645,0.01
"monks-1",0.470588237047195,"rect",512,32,0.5,0.1
"monks-1",0.470588237047195,"cone",512,16,0.500000059604645,0.01
"monks-1",0.470588237047195,"cone",256,16,0.500000059604645,0.01
"monks-1",0.470588237047195,"cone",512,8,0.500000059604645,0.01
"monks-1",0.470588237047195,"cone",256,8,0.500000059604645,0.01
"monks-1",0.470588237047195,"cone",1024,8,0.500000059604645,0.1
"monks-1",0.470588237047195,"cone",256,8,0.500000059604645,0.1
"monks-1",0.470588237047195,"cone",256,4,0.500000059604645,0.01
"monks-1",0.470588237047195,"cone",512,4,0.500000059604645,0.1
"monks-1",0.470588237047195,"cone",512,3,0.5,0.01
