"dataset","layerForm","nlayers","testAccuracy","nhidden","learningrate","valAccuracy"
"semeion","rect",2,0.9321608543396,512,0.1,0.9296875
"semeion","cone",3,0.909547686576843,512,0.1,0.921875
"semeion","rect",3,0.919597923755646,1024,0.1,0.92109375
"semeion","rect",2,0.929648220539093,1024,0.1,0.9140625
"semeion","rect",3,0.902009963989258,512,0.1,0.91015625
"semeion","cone",2,0.9321608543396,1024,0.1,0.90703125
"semeion","cone",2,0.929648160934448,512,0.1,0.9046875
"semeion","cone",2,0.937185943126678,256,0.1,0.90390625
"semeion","rect",2,0.891959726810455,1024,0.01,0.903125
"semeion","rect",4,0.90452253818512,1024,0.1,0.89921875
"semeion","rect",3,0.914572775363922,1024,0.01,0.8984375
"semeion","rect",2,0.899497449398041,256,0.01,0.8984375
"semeion","rect",3,0.924623072147369,256,0.1,0.89765625
"semeion","rect",4,0.902010023593903,512,0.01,0.890625
"semeion","rect",2,0.904522657394409,512,0.01,0.890625
"semeion","rect",2,0.934673309326172,256,0.1,0.890625
"semeion","cone",4,0.902010023593903,1024,0.01,0.8828125
"semeion","cone",2,0.914572834968567,512,0.01,0.87734375
"semeion","rect",4,0.876884341239929,256,0.01,0.875
"semeion","cone",3,0.856783926486969,256,0.01,0.871875
"semeion","cone",3,0.884422123432159,256,0.1,0.8703125
"semeion","cone",2,0.889447212219238,256,0.01,0.8671875
"semeion","cone",2,0.904522597789764,1024,0.01,0.86640625
"semeion","cone",3,0.93216073513031,1024,0.1,0.86640625
"semeion","cone",4,0.87185925245285,512,0.1,0.86015625
"semeion","cone",4,0.899497389793396,256,0.1,0.86015625
"semeion","rect",3,0.876884341239929,512,0.01,0.859375
"semeion","rect",8,0.861809074878693,1024,0.01,0.85625
"semeion","rect",4,0.894472301006317,1024,0.01,0.84609375
"semeion","rect",3,0.874371886253357,256,0.01,0.84296875
"semeion","cone",4,0.851758778095245,512,0.01,0.8359375
"semeion","cone",3,0.894472360610962,512,0.01,0.8359375
"semeion","cone",4,0.876884400844574,1024,0.1,0.834375
"semeion","rect",8,0.866834104061127,256,0.01,0.81953125
"semeion","rect",8,0.874371886253357,512,0.01,0.81953125
"semeion","cone",4,0.806532621383667,256,0.01,0.81640625
"semeion","cone",3,0.894472360610962,1024,0.01,0.815625
"semeion","cone",8,0.851758778095245,256,0.01,0.765625
"semeion","rect",4,0.829145669937134,256,0.1,0.73515625
"semeion","cone",8,0.879396975040436,1024,0.01,0.734375
"semeion","cone",8,0.625628173351288,512,0.01,0.61875
"semeion","cone",32,0.100502505898476,1024,0.01,0.1328125
"semeion","cone",3,0.100502505898476,1024,1,0.09296875
"semeion","cone",32,0.097989946603775,512,1,0.09296875
"semeion","rect",16,0.097989946603775,512,0.1,0.09140625
"semeion","cone",32,0.097989946603775,1024,1,0.08828125
"semeion","cone",4,0.100502505898476,1024,1,0.08828125
"semeion","rect",2,0.100502505898476,256,1,0.084375
"semeion","rect",2,0.100502505898476,512,1,0.08203125
"semeion","cone",4,0.100502505898476,512,1,0.0796875
"semeion","rect",32,0.100502505898476,1024,0.01,0.078125
"semeion","cone",32,0.100502505898476,512,0.01,0.078125
"semeion","rect",32,0.100502505898476,512,0.01,0.078125
"semeion","cone",32,0.100502505898476,256,0.01,0.078125
"semeion","rect",32,0.100502505898476,256,0.01,0.078125
"semeion","cone",32,0.100502505898476,1024,0.1,0.078125
"semeion","rect",32,0.100502505898476,1024,0.1,0.078125
"semeion","cone",32,0.100502505898476,512,0.1,0.078125
"semeion","rect",32,0.100502505898476,512,0.1,0.078125
