"dataset","testAccuracy","layerForm","nhidden","nlayers","valAccuracy","learningrate"
"glass",0.679245293140411,"cone",512,3,0.757142901420593,0.01
"glass",0.698113203048706,"rect",512,4,0.757142853736878,0.01
"glass",0.415094345808029,"rect",256,2,0.750000035762787,0.1
"glass",0.679245293140411,"cone",512,2,0.742857176065445,0.01
"glass",0.679245352745056,"cone",256,3,0.700000029802322,0.01
"glass",0.622641563415527,"rect",1024,3,0.69285718202591,0.01
"glass",0.603773593902588,"rect",1024,2,0.69285717010498,0.1
"glass",0.584905624389648,"rect",512,2,0.685714328289032,0.01
"glass",0.716981172561646,"rect",512,3,0.671428602933884,0.01
"glass",0.622641503810883,"cone",256,2,0.664285755157471,0.01
"glass",0.547169804573059,"cone",512,2,0.650000029802322,0.1
"glass",0.679245293140411,"rect",1024,2,0.642857182025909,0.01
"glass",0.622641503810883,"rect",256,2,0.628571474552155,0.01
"glass",0.660377383232117,"rect",256,3,0.62857146859169,0.01
"glass",0.679245293140411,"rect",1024,4,0.621428614854813,0.01
"glass",0.641509413719177,"cone",1024,4,0.600000035762787,0.1
"glass",0.660377383232117,"cone",512,4,0.585714316368103,0.01
"glass",0.641509413719177,"cone",256,4,0.585714316368103,0.1
"glass",0.584905624389648,"cone",1024,2,0.578571450710297,0.01
"glass",0.584905683994293,"cone",512,3,0.564285743236542,0.1
"glass",0.566037714481354,"rect",512,2,0.557142877578735,0.1
"glass",0.50943398475647,"cone",1024,8,0.53571429848671,0.01
"glass",0.547169804573059,"cone",1024,3,0.514285731315613,0.01
"glass",0.603773593902588,"cone",1024,2,0.500000017881393,0.1
"glass",0.50943398475647,"rect",256,3,0.5,0.1
"glass",0.528301894664764,"rect",256,4,0.492857158184052,0.01
"glass",0.452830195426941,"rect",512,8,0.492857146263123,0.01
"glass",0.452830195426941,"cone",512,4,0.485714292526245,0.1
"glass",0.471698105335236,"rect",1024,3,0.464285731315613,0.1
"glass",0.471698105335236,"rect",512,3,0.464285731315613,0.1
"glass",0.415094345808029,"cone",1024,3,0.407142877578735,0.1
"glass",0.566037774085999,"cone",256,2,0.407142871618271,0.1
"glass",0.396226435899734,"cone",512,8,0.392857158184052,0.01
"glass",0.377358496189117,"cone",256,32,0.357142865657806,0.01
"glass",0.377358496189117,"cone",256,16,0.357142865657806,0.1
"glass",0.377358496189117,"rect",256,16,0.357142865657806,0.1
