"dataset","nlayers","layerForm","testAccuracy","learningrate","nhidden","valAccuracy"
"adult",4,"cone",0.845340728759766,0.01,1024,0.852012407779694
"adult",4,"cone",0.848411738872528,0.01,256,0.851637989282608
"adult",3,"cone",0.848104596138,0.01,512,0.851138770580292
"adult",3,"cone",0.849210321903229,0.1,256,0.851107585430145
"adult",8,"rect",0.851851284503937,0.01,1024,0.850982791185379
"adult",2,"cone",0.846753478050232,0.1,512,0.850920367240906
"adult",2,"cone",0.852404177188873,0.01,256,0.850483524799347
"adult",2,"rect",0.850745797157288,0.1,1024,0.850389939546585
"adult",2,"cone",0.846937716007233,0.1,1024,0.849953132867813
"adult",3,"rect",0.846200585365295,0.1,1024,0.849547517299652
"adult",4,"cone",0.848718881607056,0.01,512,0.849391484260559
"adult",8,"cone",0.847981810569763,0.01,1024,0.848923498392105
"adult",2,"cone",0.849640250205994,0.01,512,0.848861080408096
"adult",4,"cone",0.844480752944946,0.1,256,0.848455452919006
"adult",4,"cone",0.846507728099823,0.1,512,0.847956246137619
"adult",4,"rect",0.8447265625,0.01,256,0.847925019264221
"adult",3,"cone",0.850745797157288,0.01,256,0.847800254821777
"adult",3,"cone",0.850868582725525,0.1,1024,0.847706639766693
"adult",3,"cone",0.84558641910553,0.01,1024,0.847488224506378
"adult",2,"rect",0.85086864233017,0.1,256,0.847207409143448
"adult",8,"rect",0.848411798477173,0.01,512,0.847176206111908
"adult",2,"rect",0.848411738872528,0.1,512,0.846988987922669
"adult",2,"rect",0.847920417785645,0.01,256,0.846957808732987
"adult",2,"rect",0.83944433927536,0.01,512,0.846895408630371
"adult",4,"rect",0.84896457195282,0.1,512,0.846583390235901
"adult",2,"rect",0.849640190601349,0.01,1024,0.846489763259888
"adult",8,"cone",0.843866586685181,0.01,512,0.84592815041542
"adult",2,"cone",0.845832109451294,0.1,256,0.845616137981415
"adult",8,"rect",0.844480931758881,0.01,256,0.845335328578949
"adult",2,"cone",0.847858905792236,0.01,1024,0.844804924726486
"adult",3,"rect",0.844051003456116,0.1,512,0.844648915529251
"adult",3,"rect",0.84706050157547,0.01,1024,0.844617712497711
"adult",3,"rect",0.841409802436829,0.01,512,0.844555312395096
"adult",2,"cone",0.845770657062531,1,512,0.844243305921555
"adult",4,"rect",0.844542145729065,0.1,1024,0.844212090969086
"adult",3,"rect",0.845954954624176,0.01,256,0.844149702787399
"adult",3,"rect",0.850008726119995,0.1,256,0.8432448387146
"adult",4,"rect",0.837601661682129,0.01,1024,0.843088859319687
"adult",4,"rect",0.841655492782593,0.01,512,0.842839229106903
"adult",4,"rect",0.839690029621124,0.1,256,0.839407116174698
"adult",16,"cone",0.763773381710052,0.01,512,0.756318175792694
"adult",8,"cone",0.763773381710052,1,1024,0.756318175792694
"adult",2,"cone",0.763773381710052,1,256,0.75631816983223
"adult",8,"cone",0.763773322105408,0.1,256,0.75631816983223
"adult",32,"rect",0.763773322105408,0.1,1024,0.756318163871765
"adult",16,"cone",0.763773381710052,1,1024,0.756318163871765
"adult",16,"rect",0.763773322105408,1,256,0.756318163871765
"adult",8,"cone",0.763773381710052,0.1,1024,0.756318163871765
"adult",8,"rect",0.763773381710052,0.1,256,0.756318163871765
"adult",4,"cone",0.763773381710052,0.1,1024,0.756318163871765
"adult",4,"cone",0.763773322105408,1,512,0.756318163871765
"adult",4,"cone",0.763773381710052,1,256,0.756318163871765
"adult",3,"cone",0.763773381710052,0.1,512,0.756318163871765
"adult",32,"cone",0.763773322105408,0.01,512,0.756318157911301
"adult",32,"rect",0.763773381710052,0.01,512,0.756318157911301
"adult",32,"cone",0.763773381710052,0.1,1024,0.756318157911301
"adult",32,"cone",0.763773381710052,1,1024,0.756318157911301
"adult",32,"cone",0.763773381710052,1,512,0.756318157911301
"adult",16,"rect",0.763773381710052,0.01,512,0.756318157911301
"adult",16,"rect",0.763773381710052,0.01,256,0.756318157911301
"adult",16,"cone",0.763773381710052,0.1,1024,0.756318157911301
"adult",4,"cone",0.763773381710052,1,1024,0.756318157911301
"adult",3,"cone",0.763773381710052,1,512,0.756318157911301
"adult",3,"rect",0.763773322105408,1,256,0.756318157911301
"adult",32,"rect",0.763773381710052,0.01,1024,0.756318157911301
"adult",32,"rect",0.763773322105408,0.1,512,0.756318157911301
"adult",3,"rect",0.763773381710052,1,512,0.756318157911301
"adult",32,"cone",0.763773381710052,0.01,1024,0.756318151950836
"adult",32,"cone",0.763773381710052,0.01,256,0.756318151950836
"adult",32,"rect",0.763773381710052,0.01,256,0.756318151950836
"adult",32,"cone",0.763773381710052,0.1,512,0.756318151950836
"adult",32,"cone",0.763773322105408,0.1,256,0.756318151950836
"adult",32,"rect",0.763773381710052,0.1,256,0.756318151950836
"adult",32,"rect",0.763773381710052,1,1024,0.756318151950836
"adult",32,"rect",0.763773381710052,1,512,0.756318151950836
"adult",32,"cone",0.763773381710052,1,256,0.756318151950836
"adult",32,"rect",0.763773381710052,1,256,0.756318151950836
"adult",16,"cone",0.763773381710052,0.01,1024,0.756318151950836
"adult",16,"rect",0.763773381710052,0.01,1024,0.756318151950836
"adult",16,"cone",0.763773381710052,0.01,256,0.756318151950836
"adult",16,"rect",0.763773381710052,0.1,1024,0.756318151950836
"adult",16,"cone",0.763773381710052,0.1,512,0.756318151950836
"adult",16,"rect",0.763773381710052,0.1,512,0.756318151950836
"adult",16,"cone",0.763773381710052,0.1,256,0.756318151950836
"adult",16,"rect",0.763773381710052,0.1,256,0.756318151950836
"adult",16,"rect",0.763773381710052,1,1024,0.756318151950836
"adult",16,"cone",0.763773381710052,1,512,0.756318151950836
"adult",16,"rect",0.763773381710052,1,512,0.756318151950836
"adult",16,"cone",0.763773381710052,1,256,0.756318151950836
"adult",8,"cone",0.763773381710052,0.01,256,0.756318151950836
"adult",8,"rect",0.763773381710052,0.1,1024,0.756318151950836
"adult",8,"cone",0.763773381710052,0.1,512,0.756318151950836
"adult",8,"rect",0.763773322105408,0.1,512,0.756318151950836
"adult",8,"rect",0.763773381710052,1,1024,0.756318151950836
"adult",8,"cone",0.763773381710052,1,512,0.756318151950836
"adult",8,"rect",0.763773381710052,1,512,0.756318151950836
"adult",8,"cone",0.763773381710052,1,256,0.756318151950836
"adult",8,"rect",0.763773381710052,1,256,0.756318151950836
"adult",4,"rect",0.763773381710052,1,1024,0.756318151950836
"adult",4,"rect",0.763773322105408,1,512,0.756318151950836
"adult",4,"rect",0.763773381710052,1,256,0.756318151950836
"adult",3,"cone",0.763773381710052,1,1024,0.756318151950836
"adult",3,"rect",0.763773381710052,1,1024,0.756318151950836
"adult",3,"cone",0.763773381710052,1,256,0.756318151950836
"adult",2,"cone",0.763773381710052,1,1024,0.756318151950836
"adult",2,"rect",0.763773381710052,1,1024,0.756318151950836
"adult",2,"rect",0.763773381710052,1,512,0.756318151950836
"adult",2,"rect",0.763773322105408,1,256,0.756318151950836
