"dataset","nhidden","nlayers","testAccuracy","layerForm","learningrate","valAccuracy"
"lenses",256,4,0.16666667163372,"cone",1,0.5
"lenses",256,4,0.16666667163372,"rect",1,0.5
"lenses",1024,3,0.16666667163372,"cone",0.01,0.5
"lenses",1024,3,0.16666667163372,"rect",0.01,0.5
"lenses",512,3,0.833333373069763,"cone",0.01,0.5
"lenses",256,3,0.16666667163372,"rect",0.01,0.5
"lenses",1024,3,0.16666667163372,"cone",0.1,0.5
"lenses",512,3,0.16666667163372,"cone",0.1,0.5
"lenses",512,3,0.16666667163372,"rect",0.1,0.5
"lenses",256,3,0.16666667163372,"rect",0.1,0.5
"lenses",1024,3,0.16666667163372,"cone",1,0.5
"lenses",1024,3,0.16666667163372,"rect",1,0.5
"lenses",512,3,0.16666667163372,"cone",1,0.5
"lenses",256,3,0.16666667163372,"cone",1,0.5
"lenses",256,3,0.16666667163372,"rect",1,0.5
"lenses",1024,2,0.5,"cone",0.01,0.5
"lenses",512,2,0.16666667163372,"cone",0.01,0.5
"lenses",1024,2,0.16666667163372,"rect",0.1,0.5
"lenses",512,2,0.333333343267441,"cone",0.1,0.5
"lenses",1024,2,0.16666667163372,"cone",1,0.5
"lenses",1024,2,0.16666667163372,"rect",1,0.5
"lenses",512,2,0.16666667163372,"cone",1,0.5
"lenses",512,2,0.16666667163372,"rect",1,0.5
"lenses",256,2,0.16666667163372,"cone",1,0.5
"lenses",1024,2,0.16666667163372,"cone",0.1,0.45
"lenses",512,32,0.16666667163372,"cone",0.01,0.4
"lenses",1024,8,0.16666667163372,"cone",0.1,0.4
"lenses",512,4,0.16666667163372,"rect",0.01,0.4
"lenses",256,2,0.333333343267441,"cone",0.1,0.3
"lenses",512,32,0.16666667163372,"rect",0.1,0.2
"lenses",1024,16,0.16666667163372,"cone",0.1,0.2
"lenses",512,3,0.666666686534882,"rect",1,0.2
"lenses",512,3,0.833333373069763,"rect",0.01,0.15
"lenses",256,3,0.16666667163372,"cone",0.01,0.15
"lenses",256,2,0.333333343267441,"rect",0.01,0.15
"lenses",512,2,0.16666667163372,"rect",0.1,0.15
"lenses",256,2,0.666666686534882,"rect",0.1,0.15
"lenses",256,32,0.16666667163372,"rect",1,0.1
"lenses",1024,4,0.16666667163372,"rect",0.1,0.1
"lenses",256,2,0.16666667163372,"rect",1,0.1
"lenses",1024,32,0.16666667163372,"cone",1,0.05
"lenses",256,16,0.16666667163372,"rect",1,0.05
"lenses",256,8,0.16666667163372,"cone",0.1,0.05
"lenses",1024,8,0.16666667163372,"cone",1,0.05
"lenses",256,8,0.16666667163372,"cone",1,0.05
"lenses",1024,3,0.16666667163372,"rect",0.1,0.05
