"dataset","learningrate","testAccuracy","layerForm","nlayers","nhidden","valAccuracy"
"heart-switzerland",0.01,0.25806450843811,"cone",32,512,0.5
"heart-switzerland",0.01,0.25806450843811,"cone",32,256,0.5
"heart-switzerland",1,0.419354826211929,"rect",32,1024,0.5
"heart-switzerland",1,0.419354826211929,"rect",32,256,0.5
"heart-switzerland",0.01,0.419354826211929,"cone",16,256,0.5
"heart-switzerland",0.1,0.419354826211929,"cone",16,1024,0.5
"heart-switzerland",1,0.419354826211929,"cone",16,512,0.5
"heart-switzerland",0.01,0.419354826211929,"cone",8,512,0.5
"heart-switzerland",0.01,0.25806450843811,"cone",8,256,0.5
"heart-switzerland",0.1,0.419354826211929,"cone",8,512,0.5
"heart-switzerland",0.1,0.419354826211929,"cone",8,256,0.5
"heart-switzerland",0.1,0.451612889766693,"cone",4,1024,0.5
"heart-switzerland",0.1,0.419354826211929,"cone",4,512,0.5
"heart-switzerland",0.1,0.419354826211929,"cone",4,256,0.5
"heart-switzerland",0.1,0.419354826211929,"rect",4,256,0.5
"heart-switzerland",1,0.419354826211929,"rect",4,512,0.5
"heart-switzerland",1,0.419354826211929,"rect",4,256,0.5
"heart-switzerland",0.1,0.419354826211929,"cone",3,256,0.5
"heart-switzerland",1,0.419354826211929,"rect",3,512,0.5
"heart-switzerland",1,0.419354826211929,"rect",3,256,0.5
"heart-switzerland",0.01,0.451612889766693,"cone",2,512,0.5
"heart-switzerland",0.1,0.483870953321457,"cone",2,1024,0.5
"heart-switzerland",0.1,0.419354826211929,"rect",2,1024,0.5
"heart-switzerland",1,0.451612889766693,"cone",2,256,0.5
"heart-switzerland",0.01,0.419354826211929,"cone",3,1024,0.475
"heart-switzerland",0.1,0.354838699102402,"cone",3,1024,0.475
"heart-switzerland",0.01,0.387096762657166,"cone",4,1024,0.45
"heart-switzerland",0.1,0.483870953321457,"cone",2,512,0.45
"heart-switzerland",0.1,0.354838699102402,"rect",3,1024,0.45
"heart-switzerland",0.01,0.516129016876221,"rect",4,256,0.425
"heart-switzerland",0.01,0.354838699102402,"rect",3,256,0.425
"heart-switzerland",0.01,0.322580635547638,"rect",8,1024,0.4
"heart-switzerland",0.01,0.387096762657166,"cone",3,512,0.4
"heart-switzerland",0.1,0.290322571992874,"rect",3,256,0.4
"heart-switzerland",0.1,0.419354826211929,"rect",2,512,0.4
"heart-switzerland",0.01,0.387096762657166,"cone",4,256,0.375
"heart-switzerland",0.01,0.419354826211929,"rect",8,512,0.35
"heart-switzerland",0.1,0.354838699102402,"cone",3,512,0.325
"heart-switzerland",0.01,0.451612889766693,"cone",3,256,0.325
"heart-switzerland",0.01,0.419354826211929,"rect",4,1024,0.3
"heart-switzerland",0.1,0.483870953321457,"rect",2,256,0.275
"heart-switzerland",0.01,0.387096762657166,"rect",3,1024,0.275
"heart-switzerland",0.01,0.516129016876221,"cone",2,1024,0.25
"heart-switzerland",0.1,0.322580635547638,"cone",2,256,0.25
"heart-switzerland",0.01,0.483870953321457,"rect",2,1024,0.175
"heart-switzerland",0.01,0.387096762657166,"rect",2,256,0.175
"heart-switzerland",0.01,0.419354826211929,"rect",4,512,0.15
"heart-switzerland",0.01,0.387096762657166,"cone",4,512,0.125
"heart-switzerland",0.01,0.25806450843811,"cone",2,256,0.1
"heart-switzerland",1,0.322580635547638,"cone",2,512,0.075
"heart-switzerland",0.01,0.25806450843811,"cone",8,1024,0.05
"heart-switzerland",1,0.387096762657166,"cone",4,256,0.05
"heart-switzerland",1,0.161290317773819,"cone",3,512,0.05
"heart-switzerland",0.01,0.451612889766693,"rect",2,512,0.05
"heart-switzerland",1,0.25806450843811,"rect",2,256,0.05
"heart-switzerland",1,0.25806450843811,"rect",2,512,0.025
"heart-switzerland",0.01,0.0645161271095276,"cone",32,1024,0
"heart-switzerland",0.01,0.0645161271095276,"rect",32,1024,0
"heart-switzerland",0.01,0.0645161271095276,"rect",32,512,0
"heart-switzerland",0.01,0.0645161271095276,"rect",32,256,0
"heart-switzerland",0.1,0.0645161271095276,"cone",32,1024,0
"heart-switzerland",0.1,0.0645161271095276,"rect",32,1024,0
"heart-switzerland",0.1,0.0645161271095276,"cone",32,512,0
"heart-switzerland",0.1,0.0645161271095276,"rect",32,512,0
"heart-switzerland",0.1,0.0645161271095276,"cone",32,256,0
"heart-switzerland",0.1,0.0645161271095276,"rect",32,256,0
"heart-switzerland",1,0.0645161271095276,"cone",32,1024,0
"heart-switzerland",1,0.0645161271095276,"cone",32,512,0
"heart-switzerland",1,0.0645161271095276,"rect",32,512,0
"heart-switzerland",1,0.0645161271095276,"cone",32,256,0
