"dataset","layerForm","nhidden","testAccuracy","valAccuracy","nlayers","learningrate"
"oocytes_trisopterus_nucleus_2f","cone",256,0.421052634716034,0.44375,3,1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.421052634716034,0.4375,32,0.01
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052604913712,0.4375,32,0.01
"oocytes_trisopterus_nucleus_2f","cone",256,0.421052634716034,0.4375,32,0.01
"oocytes_trisopterus_nucleus_2f","rect",1024,0.421052634716034,0.4375,32,0.1
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052604913712,0.4375,32,0.1
"oocytes_trisopterus_nucleus_2f","rect",256,0.421052604913712,0.4375,32,0.1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.421052634716034,0.4375,32,1
"oocytes_trisopterus_nucleus_2f","cone",512,0.421052634716034,0.4375,32,1
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052634716034,0.4375,32,1
"oocytes_trisopterus_nucleus_2f","rect",256,0.421052634716034,0.4375,32,1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.421052604913712,0.4375,16,0.01
"oocytes_trisopterus_nucleus_2f","rect",1024,0.421052634716034,0.4375,16,0.01
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052604913712,0.4375,16,0.01
"oocytes_trisopterus_nucleus_2f","cone",256,0.421052634716034,0.4375,16,0.01
"oocytes_trisopterus_nucleus_2f","rect",256,0.421052634716034,0.4375,16,0.01
"oocytes_trisopterus_nucleus_2f","rect",1024,0.421052604913712,0.4375,16,0.1
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052604913712,0.4375,16,0.1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.421052634716034,0.4375,16,1
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052664518356,0.4375,16,1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.421052604913712,0.4375,8,0.1
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052634716034,0.4375,8,0.1
"oocytes_trisopterus_nucleus_2f","rect",256,0.421052634716034,0.4375,8,0.1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.421052634716034,0.4375,8,1
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052634716034,0.4375,8,1
"oocytes_trisopterus_nucleus_2f","rect",256,0.421052664518356,0.4375,8,1
"oocytes_trisopterus_nucleus_2f","cone",256,0.421052634716034,0.4375,4,0.01
"oocytes_trisopterus_nucleus_2f","cone",1024,0.421052634716034,0.4375,4,1
"oocytes_trisopterus_nucleus_2f","cone",512,0.421052604913712,0.4375,4,1
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052604913712,0.4375,4,1
"oocytes_trisopterus_nucleus_2f","cone",256,0.421052604913712,0.4375,4,1
"oocytes_trisopterus_nucleus_2f","rect",256,0.421052604913712,0.4375,4,1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.421052634716034,0.4375,3,1
"oocytes_trisopterus_nucleus_2f","rect",1024,0.421052634716034,0.4375,3,1
"oocytes_trisopterus_nucleus_2f","rect",512,0.421052604913712,0.4375,3,1
"oocytes_trisopterus_nucleus_2f","cone",1024,0.421052634716034,0.4375,2,1
"oocytes_trisopterus_nucleus_2f","cone",256,0.421052604913712,0.4375,2,1
