"dataset","nhidden","learningrate","valAccuracy","nlayers","testAccuracy","layerForm"
"vertebral-column-2clases",512,0.01,0.933333396911621,8,0.66233766078949,"cone"
"vertebral-column-2clases",512,0.01,0.920000064373016,8,0.75324672460556,"rect"
"vertebral-column-2clases",1024,0.01,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",1024,0.01,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",512,0.01,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",512,0.01,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",256,0.01,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",256,0.01,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",1024,0.1,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",1024,0.1,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",512,0.1,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",512,0.1,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",256,0.1,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",256,0.1,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",1024,1,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",1024,1,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",512,1,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",512,1,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",256,1,0.866666734218597,32,0.675324678421021,"cone"
"vertebral-column-2clases",256,1,0.866666734218597,32,0.675324678421021,"rect"
"vertebral-column-2clases",1024,0.01,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",1024,0.01,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",512,0.01,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",512,0.01,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",256,0.01,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",256,0.01,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",1024,0.1,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",1024,0.1,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",512,0.1,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",512,0.1,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",256,0.1,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",256,0.1,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",1024,1,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",1024,1,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",512,1,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",512,1,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",256,1,0.866666734218597,16,0.675324678421021,"cone"
"vertebral-column-2clases",256,1,0.866666734218597,16,0.675324678421021,"rect"
"vertebral-column-2clases",1024,0.01,0.866666734218597,8,0.675324678421021,"cone"
"vertebral-column-2clases",256,0.01,0.866666734218597,8,0.675324678421021,"rect"
"vertebral-column-2clases",1024,0.1,0.866666734218597,8,0.675324678421021,"cone"
"vertebral-column-2clases",1024,0.1,0.866666734218597,8,0.675324678421021,"rect"
"vertebral-column-2clases",512,0.1,0.866666734218597,8,0.675324678421021,"cone"
"vertebral-column-2clases",512,0.1,0.866666734218597,8,0.675324678421021,"rect"
"vertebral-column-2clases",256,0.1,0.866666734218597,8,0.675324678421021,"cone"
"vertebral-column-2clases",256,0.1,0.866666734218597,8,0.675324678421021,"rect"
"vertebral-column-2clases",1024,1,0.866666734218597,8,0.675324678421021,"cone"
"vertebral-column-2clases",1024,1,0.866666734218597,8,0.675324678421021,"rect"
