"dataset","nlayers","nhidden","valAccuracy","testAccuracy","layerForm","learningrate"
"led-display",2,256,0.753750020265579,0.692000031471252,"cone",0.1
"led-display",3,1024,0.743750059604645,0.708000004291534,"cone",0.01
"led-display",2,1024,0.743750023841858,0.708000004291534,"rect",0.01
"led-display",3,256,0.742500001192093,0.723999977111816,"cone",0.01
"led-display",3,1024,0.736250019073486,0.663999974727631,"rect",0.01
"led-display",2,1024,0.733750003576279,0.712000012397766,"cone",0.01
"led-display",2,256,0.732500016689301,0.704000055789948,"rect",0.01
"led-display",3,512,0.730000025033951,0.708000004291534,"cone",0.01
"led-display",3,256,0.726250034570694,0.715999960899353,"rect",0.01
"led-display",2,256,0.725000023841858,0.708000004291534,"cone",0.01
"led-display",2,256,0.720000028610229,0.688000023365021,"rect",0.1
"led-display",4,256,0.718750017881393,0.720000028610229,"cone",0.01
"led-display",4,512,0.716250026226044,0.660000026226044,"cone",0.01
"led-display",3,512,0.713749986886978,0.708000004291534,"rect",0.01
"led-display",4,256,0.712500011920929,0.728000044822693,"rect",0.01
"led-display",2,512,0.706250029802322,0.704000055789948,"rect",0.01
"led-display",2,512,0.70625,0.704000055789948,"cone",0.01
"led-display",4,1024,0.70375000834465,0.695999979972839,"rect",0.01
"led-display",4,512,0.698750007152557,0.695999979972839,"rect",0.01
"led-display",4,1024,0.690000039339066,0.691999971866608,"cone",0.01
"led-display",8,512,0.688750022649765,0.684000015258789,"cone",0.01
"led-display",2,512,0.658750015497208,0.620000004768372,"cone",0.1
"led-display",2,512,0.629999995231628,0.648000001907349,"rect",0.1
"led-display",2,1024,0.617500001192093,0.656000018119812,"cone",0.1
"led-display",8,1024,0.596250021457672,0.628000020980835,"rect",0.01
"led-display",3,1024,0.580000025033951,0.560000061988831,"cone",0.1
"led-display",3,1024,0.57124999165535,0.559999942779541,"rect",0.1
"led-display",2,1024,0.553750014305115,0.532000005245209,"rect",0.1
"led-display",8,256,0.512500005960465,0.439999997615814,"cone",0.01
"led-display",3,256,0.256250004470348,0.260000020265579,"rect",0.1
"led-display",3,512,0.2375,0.212000012397766,"rect",0.1
"led-display",3,512,0.208750005066395,0.180000007152557,"cone",0.1
"led-display",4,1024,0.196250012516975,0.187999993562698,"cone",0.1
"led-display",8,1024,0.147500005364418,0.112000003457069,"cone",0.01
"led-display",4,512,0.138750003278255,0.187999978661537,"cone",0.1
"led-display",32,1024,0.137500002980232,0.0960000082850456,"cone",0.01
"led-display",32,1024,0.137500002980232,0.096000000834465,"rect",0.01
"led-display",32,512,0.137500002980232,0.0960000082850456,"rect",0.01
"led-display",32,256,0.137500002980232,0.0960000082850456,"cone",0.01
"led-display",32,256,0.137500002980232,0.096000000834465,"rect",0.01
"led-display",32,1024,0.137500002980232,0.0960000082850456,"rect",0.1
"led-display",32,512,0.137500002980232,0.096000000834465,"cone",0.1
"led-display",32,512,0.137500002980232,0.096000000834465,"rect",0.1
"led-display",32,256,0.137500002980232,0.096000000834465,"cone",0.1
"led-display",32,256,0.137500002980232,0.0960000082850456,"rect",0.1
"led-display",32,1024,0.137500002980232,0.0960000082850456,"cone",1
"led-display",32,1024,0.137500002980232,0.0960000082850456,"rect",1
"led-display",32,512,0.137500002980232,0.0960000082850456,"cone",1
"led-display",32,512,0.137500002980232,0.096000000834465,"rect",1
"led-display",32,256,0.137500002980232,0.096000000834465,"cone",1
"led-display",16,1024,0.137500002980232,0.096000000834465,"cone",0.01
"led-display",16,1024,0.137500002980232,0.0960000082850456,"rect",0.01
"led-display",16,512,0.137500002980232,0.096000000834465,"cone",0.01
"led-display",16,512,0.137500002980232,0.096000000834465,"rect",0.01
"led-display",16,256,0.137500002980232,0.0960000082850456,"cone",0.01
"led-display",16,256,0.137500002980232,0.096000000834465,"rect",0.01
"led-display",16,1024,0.137500002980232,0.0960000082850456,"cone",0.1
"led-display",16,1024,0.137500002980232,0.0960000082850456,"rect",0.1
"led-display",16,512,0.137500002980232,0.096000000834465,"cone",0.1
"led-display",16,512,0.137500002980232,0.100000008940697,"rect",0.1
"led-display",16,256,0.137500002980232,0.096000000834465,"cone",0.1
"led-display",16,256,0.137500002980232,0.096000000834465,"rect",0.1
"led-display",16,1024,0.137500002980232,0.0960000082850456,"cone",1
"led-display",16,512,0.137500002980232,0.0960000082850456,"cone",1
"led-display",16,512,0.137500002980232,0.096000000834465,"rect",1
"led-display",16,256,0.137500002980232,0.0960000082850456,"cone",1
"led-display",16,256,0.137500002980232,0.096000000834465,"rect",1
"led-display",8,512,0.137500002980232,0.0960000082850456,"rect",0.01
"led-display",8,256,0.137500002980232,0.096000000834465,"rect",0.01
"led-display",8,1024,0.137500002980232,0.100000008940697,"cone",0.1
"led-display",8,1024,0.137500002980232,0.096000000834465,"rect",0.1
"led-display",8,512,0.137500002980232,0.096000000834465,"cone",0.1
"led-display",8,512,0.137500002980232,0.0960000082850456,"rect",0.1
"led-display",8,256,0.137500002980232,0.096000000834465,"cone",0.1
"led-display",8,256,0.137500002980232,0.096000000834465,"rect",0.1
"led-display",8,1024,0.137500002980232,0.0960000082850456,"cone",1
"led-display",8,1024,0.137500002980232,0.096000000834465,"rect",1
"led-display",8,512,0.137500002980232,0.096000000834465,"rect",1
"led-display",8,256,0.137500002980232,0.0960000082850456,"cone",1
"led-display",8,256,0.137500002980232,0.096000000834465,"rect",1
"led-display",4,1024,0.137500002980232,0.096000000834465,"rect",0.1
"led-display",4,1024,0.137500002980232,0.0960000082850456,"cone",1
"led-display",4,1024,0.137500002980232,0.0960000082850456,"rect",1
"led-display",4,512,0.137500002980232,0.0960000082850456,"cone",1
"led-display",4,512,0.137500002980232,0.0960000082850456,"rect",1
"led-display",4,256,0.137500002980232,0.096000000834465,"cone",1
"led-display",4,256,0.137500002980232,0.096000000834465,"rect",1
"led-display",3,1024,0.137500002980232,0.0960000082850456,"rect",1
"led-display",3,512,0.137500002980232,0.096000000834465,"cone",1
"led-display",3,256,0.137500002980232,0.096000000834465,"cone",1
