"dataset","testAccuracy","layerForm","valAccuracy","nlayers","nhidden","learningrate"
"image-segmentation",0.142857134342194,"rect",0.185185194015503,2,1024,1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,2,512,1
"image-segmentation",0.142857134342194,"cone",0.185185194015503,2,256,1
"image-segmentation",0.142857134342194,"rect",0.185185194015503,2,256,1
"image-segmentation",0.142857134342194,"rect",0.151851853728294,4,1024,0.1
"image-segmentation",0.142857134342194,"cone",0.133333334326744,2,512,1
"image-segmentation",0.142857149243355,"cone",0.129629630595446,4,512,0.1
"image-segmentation",0.142857149243355,"rect",0.125925928354263,4,512,1
"image-segmentation",0.142857149243355,"cone",0.122222226113081,3,1024,1
"image-segmentation",0.142857149243355,"rect",0.122222224622965,3,256,1
"image-segmentation",0.142857149243355,"rect",0.118518520146608,3,512,0.1
"image-segmentation",0.142857149243355,"rect",0.107407409697771,16,1024,1
"image-segmentation",0.142857149243355,"rect",0.100000001490116,4,1024,1
"image-segmentation",0.142857149243355,"rect",0.100000000745058,8,1024,1
"image-segmentation",0.142857134342194,"cone",0.0888888895511627,16,1024,1
"image-segmentation",0.142857134342194,"rect",0.0851851865649224,16,256,1
"image-segmentation",0.142857134342194,"cone",0.0740740746259689,32,512,0.01
"image-segmentation",0.142857134342194,"cone",0.0740740746259689,8,512,0.1
"image-segmentation",0.142857149243355,"cone",0.0740740746259689,8,256,0.1
"image-segmentation",0.142857149243355,"cone",0.0740740746259689,4,1024,0.01
