"dataset","nlayers","nhidden","testAccuracy","layerForm","learningrate","valAccuracy"
"zoo",3,256,0.959999978542328,"cone",0.01,0.909090936183929
"zoo",2,256,1,"cone",0.01,0.909090936183929
"zoo",2,256,0.959999978542328,"cone",0.1,0.909090936183929
"zoo",2,512,1,"cone",0.01,0.900000029802322
"zoo",4,256,0.959999978542328,"rect",0.01,0.836363661289215
"zoo",3,1024,1,"rect",0.01,0.818181872367859
"zoo",3,256,0.959999978542328,"rect",0.01,0.818181872367859
"zoo",2,1024,1,"cone",0.01,0.818181872367859
"zoo",2,512,1,"rect",0.01,0.818181872367859
"zoo",2,256,0.959999978542328,"rect",0.01,0.818181872367859
"zoo",2,512,0.959999978542328,"rect",0.1,0.818181872367859
"zoo",3,1024,1,"cone",0.01,0.800000047683716
"zoo",3,512,0.879999995231628,"cone",0.01,0.781818222999573
"zoo",2,1024,0.959999978542328,"cone",0.1,0.745454573631287
"zoo",4,1024,0.919999957084656,"cone",0.01,0.736363661289215
"zoo",2,512,0.959999978542328,"cone",0.1,0.736363661289215
"zoo",4,512,0.919999957084656,"rect",0.01,0.727272748947143
"zoo",4,256,0.959999978542328,"cone",0.01,0.727272748947143
"zoo",4,512,0.839999973773956,"cone",0.1,0.727272748947143
"zoo",3,512,0.879999995231628,"cone",0.1,0.727272748947143
"zoo",3,256,0.879999995231628,"cone",0.1,0.727272748947143
"zoo",2,1024,0.959999978542328,"rect",0.01,0.727272748947143
"zoo",2,1024,0.919999957084656,"rect",0.1,0.727272748947143
"zoo",2,256,0.919999957084656,"rect",0.1,0.727272748947143
"zoo",4,1024,0.919999957084656,"rect",0.01,0.718181836605072
"zoo",3,512,0.919999957084656,"rect",0.01,0.718181836605072
"zoo",32,1024,0.439999967813492,"rect",0.01,0.272727280855179
"zoo",32,512,0.439999967813492,"cone",0.01,0.272727280855179
"zoo",32,256,0.439999967813492,"cone",0.01,0.272727280855179
"zoo",32,256,0.439999967813492,"rect",0.01,0.272727280855179
"zoo",32,1024,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",32,1024,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",32,512,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",32,512,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",32,256,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",32,256,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",32,1024,0.439999967813492,"cone",1,0.272727280855179
"zoo",32,1024,0.439999967813492,"rect",1,0.272727280855179
"zoo",32,512,0.439999967813492,"cone",1,0.272727280855179
"zoo",32,512,0.439999967813492,"rect",1,0.272727280855179
"zoo",32,256,0.439999967813492,"cone",1,0.272727280855179
"zoo",32,256,0.439999967813492,"rect",1,0.272727280855179
"zoo",16,1024,0.439999967813492,"cone",0.01,0.272727280855179
"zoo",16,1024,0.439999967813492,"rect",0.01,0.272727280855179
"zoo",16,512,0.439999967813492,"cone",0.01,0.272727280855179
"zoo",16,256,0.439999967813492,"rect",0.01,0.272727280855179
"zoo",16,1024,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",16,1024,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",16,512,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",16,512,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",16,256,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",16,256,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",16,1024,0.439999967813492,"cone",1,0.272727280855179
"zoo",16,1024,0.439999967813492,"rect",1,0.272727280855179
"zoo",16,512,0.439999967813492,"cone",1,0.272727280855179
"zoo",16,512,0.439999967813492,"rect",1,0.272727280855179
"zoo",16,256,0.439999967813492,"cone",1,0.272727280855179
"zoo",16,256,0.439999967813492,"rect",1,0.272727280855179
"zoo",8,1024,0.439999967813492,"cone",0.01,0.272727280855179
