"dataset","valAccuracy","nlayers","layerForm","learningrate","nhidden","testAccuracy"
"pittsburg-bridges-MATERIAL",0.420000007748604,2,"cone",1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000007450581,3,"rect",0.1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"cone",0.01,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"rect",0.01,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"rect",0.01,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"rect",0.01,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"cone",0.1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"rect",0.1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"rect",0.1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"cone",0.1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"rect",0.1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"cone",1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"rect",1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,32,"rect",1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"cone",0.01,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"rect",0.01,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"cone",0.01,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"rect",0.01,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"cone",0.01,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"cone",0.1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"rect",0.1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"rect",0.1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"cone",0.1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"rect",0.1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"rect",1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"rect",1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,16,"rect",1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",0.01,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",0.01,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"cone",0.01,256,0.807692408561707
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",0.01,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"cone",0.1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",0.1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"cone",0.1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",0.1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"cone",0.1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",0.1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"cone",1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,8,"rect",1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,4,"rect",0.1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,4,"rect",0.1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,4,"cone",1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,4,"cone",1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,4,"rect",1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,3,"rect",1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,3,"cone",1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,3,"rect",1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,2,"cone",1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,2,"rect",1,1024,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,2,"rect",1,512,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,2,"cone",1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0.400000005960465,2,"rect",1,256,0.15384615957737
"pittsburg-bridges-MATERIAL",0,32,"cone",0.01,512,0.0769230797886848
"pittsburg-bridges-MATERIAL",0,32,"cone",0.01,256,0.0769230797886848
