"dataset","learningrate","nlayers","nhidden","testAccuracy","valAccuracy","layerForm"
"steel-plates",1,8,256,0.0804123729467392,0.0625,"cone"
"steel-plates",1,8,256,0.0804123729467392,0.0625,"rect"
"steel-plates",0.1,4,1024,0.0804123729467392,0.0625,"rect"
"steel-plates",0.1,4,512,0.0804123729467392,0.0625,"rect"
"steel-plates",0.1,4,256,0.0804123729467392,0.0625,"rect"
"steel-plates",1,4,1024,0.0804123729467392,0.0625,"cone"
"steel-plates",1,4,512,0.0804123729467392,0.0625,"cone"
"steel-plates",1,4,512,0.0804123729467392,0.0625,"rect"
"steel-plates",1,4,256,0.0804123729467392,0.0625,"cone"
"steel-plates",1,4,256,0.0804123729467392,0.0625,"rect"
"steel-plates",1,3,512,0.0804123729467392,0.0625,"rect"
"steel-plates",1,3,256,0.0804123729467392,0.0625,"cone"
"steel-plates",1,3,256,0.0804123729467392,0.0625,"rect"
"steel-plates",1,2,1024,0.0804123729467392,0.0625,"cone"
"steel-plates",1,2,512,0.0804123729467392,0.0625,"cone"
"steel-plates",1,2,512,0.0804123729467392,0.0625,"rect"
"steel-plates",1,2,256,0.0804123729467392,0.0625,"cone"
"steel-plates",1,2,256,0.0804123729467392,0.0625,"rect"
