"dataset","testAccuracy","learningrate","valAccuracy","layerForm","nhidden","nlayers"
"statlog-image",0.142114385962486,1,0.137572254985571,"cone",256,4
"statlog-image",0.142114385962486,0.01,0.132947981357574,"cone",256,32
"statlog-image",0.142114385962486,0.1,0.132947981357574,"cone",512,32
"statlog-image",0.142114385962486,0.1,0.132947981357574,"cone",1024,8
"statlog-image",0.142114371061325,1,0.132947977632284,"cone",1024,8
"statlog-image",0.142114385962486,1,0.130057803541422,"rect",512,2
"statlog-image",0.142114385962486,1,0.130057802051306,"cone",512,8
"statlog-image",0.142114385962486,0.1,0.13005780056119,"cone",512,8
"statlog-image",0.142114385962486,1,0.128323701024055,"rect",512,3
"statlog-image",0.142114385962486,0.01,0.127167627215385,"cone",1024,32
"statlog-image",0.142114385962486,0.1,0.127167627215385,"rect",256,4
"statlog-image",0.142114385962486,1,0.126589596271515,"cone",512,3
"statlog-image",0.142114385962486,1,0.125433526188135,"rect",512,4
"statlog-image",0.142114371061325,1,0.122543352842331,"cone",1024,4
"statlog-image",0.142114371061325,1,0.122543352842331,"rect",1024,4
"statlog-image",0.142114371061325,1,0.122543350607157,"rect",256,3
"statlog-image",0.142114371061325,1,0.121387284249067,"cone",256,8
"statlog-image",0.142114371061325,1,0.116763005405664,"cone",1024,3
