"dataset","testAccuracy","layerForm","nlayers","nhidden","valAccuracy","learningrate"
"ilpd-indian-liver",0.691780745983124,"cone",2,1024,0.864285761117935,0.01
"ilpd-indian-liver",0.705479383468628,"rect",2,256,0.850000047683716,0.1
"ilpd-indian-liver",0.705479443073273,"cone",8,256,0.838095277547836,0.01
"ilpd-indian-liver",0.739726006984711,"rect",2,512,0.833333379030228,0.1
"ilpd-indian-liver",0.684931516647339,"cone",2,256,0.82857146859169,0.1
"ilpd-indian-liver",0.719178080558777,"cone",2,512,0.823809576034546,0.01
"ilpd-indian-liver",0.719178080558777,"rect",2,256,0.816666698455811,0.01
"ilpd-indian-liver",0.726027369499207,"cone",3,1024,0.816666686534882,0.1
"ilpd-indian-liver",0.732876658439636,"cone",3,512,0.814285743236542,0.01
"ilpd-indian-liver",0.712328791618347,"rect",8,1024,0.811904788017273,0.01
"ilpd-indian-liver",0.726027369499207,"rect",3,1024,0.809523844718933,0.01
"ilpd-indian-liver",0.719178020954132,"cone",32,1024,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"rect",32,1024,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",32,512,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"rect",32,512,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",32,256,0.809523820877075,0.01
"ilpd-indian-liver",0.719178020954132,"cone",32,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"rect",32,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"cone",32,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"rect",32,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"cone",32,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"rect",32,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",32,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",32,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"cone",32,512,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",32,512,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",32,256,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",32,256,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",16,1024,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",16,512,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"rect",16,512,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",16,256,0.809523820877075,0.01
"ilpd-indian-liver",0.719178020954132,"rect",16,256,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",16,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"rect",16,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"cone",16,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"rect",16,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",16,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"rect",16,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",16,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",16,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",16,512,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",16,512,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",16,256,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",16,256,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"cone",8,1024,0.809523820877075,0.01
"ilpd-indian-liver",0.719178020954132,"rect",8,256,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",8,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"rect",8,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",8,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"rect",8,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"cone",8,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"rect",8,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",8,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",8,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"cone",8,512,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",8,512,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",8,256,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",8,256,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"cone",4,1024,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",4,512,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",4,256,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",4,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"rect",4,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",4,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"rect",4,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"cone",4,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"rect",4,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"cone",4,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",4,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",4,512,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",4,512,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",4,256,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",4,256,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",3,1024,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"cone",3,256,0.809523820877075,0.01
"ilpd-indian-liver",0.719178080558777,"rect",3,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",3,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",3,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"rect",3,256,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",3,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",3,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"cone",3,512,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",3,512,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"cone",3,256,0.809523820877075,1
"ilpd-indian-liver",0.719178020954132,"rect",3,256,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",2,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"rect",2,1024,0.809523820877075,0.1
"ilpd-indian-liver",0.719178080558777,"cone",2,512,0.809523820877075,0.1
"ilpd-indian-liver",0.719178020954132,"cone",2,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",2,1024,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",2,512,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",2,512,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"cone",2,256,0.809523820877075,1
"ilpd-indian-liver",0.719178080558777,"rect",2,256,0.809523820877075,1
"ilpd-indian-liver",0.691780805587769,"rect",3,512,0.800000047683716,0.01
"ilpd-indian-liver",0.664383590221405,"rect",2,512,0.797619080543518,0.01
"ilpd-indian-liver",0.726027488708496,"rect",2,1024,0.795238131284714,0.01
"ilpd-indian-liver",0.705479443073273,"cone",2,256,0.795238119363785,0.01
"ilpd-indian-liver",0.719178080558777,"rect",8,512,0.79523811340332,0.01
"ilpd-indian-liver",0.719178080558777,"cone",8,512,0.790476202964783,0.01
"ilpd-indian-liver",0.657534301280975,"rect",4,1024,0.759523838758469,0.01
"ilpd-indian-liver",0.698630213737488,"rect",3,256,0.759523832798004,0.01
"ilpd-indian-liver",0.726027369499207,"rect",4,256,0.7571428835392,0.01
"ilpd-indian-liver",0.719178020954132,"rect",3,512,0.757142868638039,0.1
"ilpd-indian-liver",0.726027369499207,"rect",4,512,0.750000029802322,0.01
"ilpd-indian-liver",0.280821919441223,"rect",32,256,0.190476194024086,0.01
"ilpd-indian-liver",0.280821919441223,"cone",16,1024,0.190476194024086,0.01
