"dataset","layerForm","testAccuracy","valAccuracy","nhidden","nlayers","learningrate"
"statlog-shuttle","cone",0.791586458683014,0.784882438182831,512,3,1
"statlog-shuttle","cone",0.791586458683014,0.784882438182831,512,2,1
"statlog-shuttle","rect",0.791586399078369,0.784882432222366,256,32,0.01
"statlog-shuttle","cone",0.791586458683014,0.784882432222366,256,32,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882432222366,256,32,0.1
"statlog-shuttle","cone",0.791586399078369,0.784882432222366,512,32,1
"statlog-shuttle","rect",0.791586399078369,0.784882432222366,512,16,0.01
"statlog-shuttle","rect",0.791586458683014,0.784882432222366,256,16,0.01
"statlog-shuttle","cone",0.791586458683014,0.784882432222366,512,16,0.1
"statlog-shuttle","rect",0.791586399078369,0.784882432222366,256,16,0.1
"statlog-shuttle","rect",0.791586399078369,0.784882432222366,256,8,0.01
"statlog-shuttle","rect",0.791586458683014,0.784882432222366,256,8,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882432222366,1024,8,1
"statlog-shuttle","rect",0.791586399078369,0.784882432222366,1024,4,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882432222366,1024,4,1
"statlog-shuttle","cone",0.791586399078369,0.784882432222366,256,3,1
"statlog-shuttle","rect",0.791586399078369,0.784882432222366,256,3,1
"statlog-shuttle","cone",0.791586458683014,0.784882432222366,256,2,1
"statlog-shuttle","rect",0.791586518287659,0.784882432222366,1024,32,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882432222366,256,16,0.01
"statlog-shuttle","rect",0.791586518287659,0.784882432222366,1024,3,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882432222366,512,3,0.1
"statlog-shuttle","cone",0.791586399078369,0.784882432222366,1024,2,1
"statlog-shuttle","cone",0.791586518287659,0.784882426261902,1024,32,0.01
"statlog-shuttle","cone",0.791586518287659,0.784882426261902,512,32,0.01
"statlog-shuttle","rect",0.791586518287659,0.784882426261902,512,32,0.01
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,1024,32,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,512,32,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,512,32,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,1024,32,1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,1024,32,1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,512,32,1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,256,32,1
"statlog-shuttle","rect",0.791586518287659,0.784882426261902,1024,16,0.01
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,1024,16,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,1024,16,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,256,16,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,1024,16,1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,1024,16,1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,256,16,1
"statlog-shuttle","rect",0.791586399078369,0.784882426261902,512,8,0.01
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,1024,8,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,512,8,0.1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,256,8,1
"statlog-shuttle","rect",0.791586399078369,0.784882426261902,256,4,0.1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,512,4,1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,256,4,1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,256,4,1
"statlog-shuttle","cone",0.791586458683014,0.784882426261902,1024,3,1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,1024,3,1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,512,3,1
"statlog-shuttle","rect",0.791586458683014,0.784882426261902,1024,2,1
