"dataset","nlayers","layerForm","nhidden","testAccuracy","valAccuracy","learningrate"
"lymphography",2,"rect",512,0.756756782531738,0.92352945804596,0.1
"lymphography",2,"cone",256,0.81081086397171,0.888235306739807,0.1
"lymphography",2,"rect",256,0.783783853054047,0.888235306739807,0.1
"lymphography",3,"rect",1024,0.837837874889374,0.882352960109711,0.1
"lymphography",3,"cone",1024,0.837837874889374,0.882352948188782,0.01
"lymphography",2,"cone",1024,0.756756782531738,0.882352948188782,0.01
"lymphography",2,"rect",512,0.756756782531738,0.882352948188782,0.01
"lymphography",4,"rect",512,0.783783793449402,0.841176480054855,0.01
"lymphography",3,"rect",512,0.756756842136383,0.841176480054855,0.01
"lymphography",2,"rect",256,0.81081086397171,0.835294139385223,0.01
"lymphography",2,"cone",1024,0.756756782531738,0.835294127464294,0.1
"lymphography",2,"cone",256,0.729729771614075,0.829411774873733,0.01
"lymphography",2,"cone",512,0.81081086397171,0.829411774873733,0.1
"lymphography",4,"cone",512,0.81081086397171,0.823529422283172,0.01
"lymphography",4,"cone",256,0.837837874889374,0.823529422283172,0.1
"lymphography",3,"cone",512,0.675675690174103,0.823529422283172,0.1
"lymphography",3,"cone",256,0.783783793449402,0.823529422283172,0.1
"lymphography",2,"rect",1024,0.837837874889374,0.823529422283172,0.01
"lymphography",2,"cone",512,0.81081086397171,0.823529422283172,0.01
"lymphography",2,"rect",1024,0.783783853054047,0.823529422283172,0.1
"lymphography",4,"cone",512,0.756756842136383,0.817647069692612,0.1
"lymphography",3,"rect",256,0.783783853054047,0.80588236451149,0.01
"lymphography",4,"rect",256,0.81081086397171,0.794117671251297,0.01
"lymphography",4,"cone",1024,0.864864945411682,0.794117659330368,0.01
"lymphography",3,"cone",256,0.756756782531738,0.770588248968124,0.01
"lymphography",4,"rect",1024,0.81081086397171,0.764705896377563,0.01
"lymphography",3,"rect",1024,0.81081086397171,0.764705896377563,0.01
"lymphography",3,"cone",512,0.810810923576355,0.747058838605881,0.01
"lymphography",8,"cone",256,0.729729771614075,0.641176488995552,0.01
"lymphography",32,"cone",512,0.405405431985855,0.529411792755127,0.01
"lymphography",8,"rect",1024,0.405405431985855,0.529411792755127,0.01
"lymphography",3,"rect",256,0.513513505458832,0.517647081613541,0.1
"lymphography",4,"cone",1024,0.405405431985855,0.458823549747467,0.1
"lymphography",4,"rect",1024,0.405405431985855,0.441176488995552,1
"lymphography",8,"cone",512,0.567567646503448,0.441176488995552,0.1
"lymphography",3,"cone",1024,0.567567646503448,0.405882367491722,0.1
"lymphography",16,"cone",512,0.567567646503448,0.370588245987892,1
"lymphography",3,"cone",256,0.567567646503448,0.370588245987892,1
"lymphography",32,"rect",256,0.567567646503448,0.370588245987892,1
"lymphography",8,"cone",1024,0.567567646503448,0.370588245987892,0.1
"lymphography",4,"cone",256,0.567567646503448,0.370588245987892,1
"lymphography",3,"rect",1024,0.567567646503448,0.370588245987892,1
"lymphography",32,"rect",512,0.567567646503448,0.352941185235977,0.1
"lymphography",32,"cone",1024,0.567567646503448,0.352941185235977,1
"lymphography",32,"rect",512,0.567567646503448,0.352941185235977,1
"lymphography",16,"cone",1024,0.567567646503448,0.352941185235977,0.01
"lymphography",16,"cone",1024,0.567567646503448,0.352941185235977,0.1
"lymphography",16,"rect",256,0.567567646503448,0.352941185235977,0.1
"lymphography",16,"cone",1024,0.567567646503448,0.352941185235977,1
"lymphography",16,"rect",1024,0.567567646503448,0.352941185235977,1
"lymphography",8,"cone",1024,0.567567646503448,0.352941185235977,0.01
"lymphography",8,"cone",256,0.567567646503448,0.352941185235977,0.1
"lymphography",4,"cone",256,0.567567646503448,0.352941185235977,0.01
"lymphography",4,"rect",256,0,0.105882355943322,0.1
"lymphography",3,"rect",512,0,0.105882355943322,0.1
"lymphography",2,"rect",256,0,0.105882355943322,1
"lymphography",2,"rect",1024,0,0.0882352951914072,1
"lymphography",2,"rect",512,0,0.0882352951914072,1
"lymphography",2,"cone",256,0,0.0882352951914072,1
"lymphography",32,"cone",1024,0,0.0588235296308994,0.01
"lymphography",32,"rect",1024,0,0.0588235296308994,0.01
"lymphography",32,"rect",512,0,0.0588235296308994,0.01
"lymphography",32,"cone",256,0,0.0588235296308994,0.01
"lymphography",32,"rect",256,0,0.0588235296308994,0.01
"lymphography",32,"cone",1024,0,0.0588235296308994,0.1
"lymphography",32,"rect",1024,0,0.0588235296308994,0.1
"lymphography",32,"cone",512,0,0.0588235296308994,0.1
"lymphography",32,"cone",256,0,0.0588235296308994,0.1
"lymphography",32,"rect",256,0,0.0588235296308994,0.1
"lymphography",32,"rect",1024,0,0.0588235296308994,1
"lymphography",32,"cone",512,0,0.0588235296308994,1
"lymphography",32,"cone",256,0,0.0588235296308994,1
"lymphography",16,"rect",1024,0,0.0588235296308994,0.01
"lymphography",16,"cone",512,0,0.0588235296308994,0.01
"lymphography",16,"rect",512,0,0.0588235296308994,0.01
"lymphography",16,"cone",256,0,0.0588235296308994,0.01
"lymphography",16,"rect",256,0,0.0588235296308994,0.01
"lymphography",16,"rect",1024,0,0.0588235296308994,0.1
"lymphography",16,"cone",512,0,0.0588235296308994,0.1
"lymphography",16,"rect",512,0,0.0588235296308994,0.1
"lymphography",16,"cone",256,0,0.0588235296308994,0.1
"lymphography",16,"rect",512,0,0.0588235296308994,1
"lymphography",16,"cone",256,0,0.0588235296308994,1
"lymphography",16,"rect",256,0,0.0588235296308994,1
"lymphography",8,"cone",512,0.0270270276814699,0.0588235296308994,0.01
"lymphography",8,"rect",512,0,0.0588235296308994,0.01
"lymphography",8,"rect",256,0,0.0588235296308994,0.01
"lymphography",8,"rect",1024,0,0.0588235296308994,0.1
"lymphography",8,"rect",512,0,0.0588235296308994,0.1
"lymphography",8,"rect",256,0,0.0588235296308994,0.1
"lymphography",8,"cone",1024,0,0.0588235296308994,1
"lymphography",8,"rect",1024,0,0.0588235296308994,1
"lymphography",8,"cone",512,0,0.0588235296308994,1
"lymphography",8,"rect",512,0,0.0588235296308994,1
"lymphography",8,"cone",256,0,0.0588235296308994,1
"lymphography",8,"rect",256,0,0.0588235296308994,1
"lymphography",4,"rect",1024,0,0.0588235296308994,0.1
"lymphography",4,"rect",512,0,0.0588235296308994,0.1
"lymphography",4,"cone",1024,0,0.0588235296308994,1
"lymphography",4,"cone",512,0,0.0588235296308994,1
"lymphography",4,"rect",512,0,0.0588235296308994,1
"lymphography",4,"rect",256,0,0.0588235296308994,1
"lymphography",3,"cone",1024,0,0.0588235296308994,1
"lymphography",3,"cone",512,0,0.0588235296308994,1
"lymphography",3,"rect",512,0,0.0588235296308994,1
"lymphography",3,"rect",256,0,0.0588235296308994,1
"lymphography",2,"cone",1024,0,0.0588235296308994,1
"lymphography",2,"cone",512,0,0.0588235296308994,1
