"dataset","nlayers","nhidden","learningrate","testAccuracy","valAccuracy","layerForm"
"wall-following",2,1024,0.1,0.927419364452362,0.943703699111939,"rect"
"wall-following",2,512,0.01,0.902492702007294,0.931111115217209,"rect"
"wall-following",2,512,0.1,0.927419364452362,0.928888899087906,"cone"
"wall-following",4,256,0.1,0.917888581752777,0.928641980886459,"cone"
"wall-following",3,1024,0.1,0.923020541667938,0.928395086526871,"cone"
"wall-following",4,512,0.01,0.92521995306015,0.928148180246353,"cone"
"wall-following",3,512,0.1,0.92521995306015,0.927407449483872,"cone"
"wall-following",3,1024,0.01,0.909824073314667,0.925925970077515,"rect"
"wall-following",3,256,0.1,0.914956033229828,0.925925958156586,"cone"
"wall-following",2,1024,0.01,0.925953090190887,0.923456823825836,"rect"
"wall-following",2,256,0.01,0.923020541667938,0.922962975502014,"rect"
"wall-following",3,256,0.01,0.915689170360565,0.921728408336639,"rect"
"wall-following",3,256,0.01,0.916422247886658,0.920740765333176,"cone"
"wall-following",4,1024,0.01,0.91715544462204,0.919506192207337,"rect"
"wall-following",2,1024,0.01,0.922287404537201,0.919506174325943,"cone"
"wall-following",8,256,0.01,0.894428193569183,0.916543239355087,"rect"
"wall-following",2,256,0.01,0.901026427745819,0.915802496671677,"cone"
"wall-following",2,512,0.01,0.915689170360565,0.915802490711212,"cone"
"wall-following",2,1024,0.1,0.923753678798676,0.915555572509766,"cone"
"wall-following",2,256,0.1,0.900293290615082,0.912839508056641,"rect"
"wall-following",2,256,0.1,0.910557150840759,0.912592613697052,"cone"
"wall-following",3,1024,0.01,0.915689170360565,0.911851894855499,"cone"
"wall-following",4,1024,0.01,0.906891524791718,0.911111116409302,"cone"
"wall-following",4,512,0.1,0.906891524791718,0.910617327690125,"cone"
"wall-following",8,1024,0.01,0.910557210445404,0.909876590967178,"cone"
"wall-following",4,256,0.01,0.927419364452362,0.909876537322998,"cone"
"wall-following",2,512,0.1,0.914956033229828,0.909629654884339,"rect"
"wall-following",4,512,0.01,0.917888581752777,0.906666666269302,"rect"
"wall-following",3,256,0.1,0.916422247886658,0.905679017305374,"rect"
"wall-following",8,512,0.01,0.893695056438446,0.904197549819946,"cone"
"wall-following",3,512,0.01,0.886363685131073,0.903703713417053,"cone"
"wall-following",4,256,0.01,0.909824073314667,0.903456813097,"rect"
"wall-following",8,1024,0.01,0.906891524791718,0.90271607041359,"rect"
"wall-following",3,512,0.01,0.901759505271912,0.897777795791626,"rect"
"wall-following",3,1024,0.1,0.901026427745819,0.889135789871216,"rect"
"wall-following",8,512,0.01,0.874633491039276,0.886666685342788,"rect"
"wall-following",3,512,0.1,0.826979517936707,0.821975326538086,"rect"
"wall-following",16,1024,0.01,0.384164243936539,0.402469140291214,"cone"
"wall-following",16,1024,1,0.404692053794861,0.395555567741394,"cone"
"wall-following",32,256,0.01,0.384164243936539,0.393827173113823,"cone"
"wall-following",32,256,1,0.404692053794861,0.393827170133591,"cone"
"wall-following",2,1024,1,0.384164243936539,0.393827167153358,"cone"
"wall-following",3,1024,1,0.404692053794861,0.392098781466484,"rect"
"wall-following",3,256,1,0.384164243936539,0.392098778486252,"cone"
"wall-following",3,1024,1,0.404692053794861,0.390370389819145,"cone"
"wall-following",8,256,1,0.404692053794861,0.390370386838913,"cone"
"wall-following",4,1024,0.1,0.404692053794861,0.390370386838913,"cone"
"wall-following",32,1024,0.1,0.404692053794861,0.390370383858681,"cone"
"wall-following",4,1024,1,0.404692053794861,0.388641995191574,"cone"
"wall-following",4,1024,0.1,0.404692053794861,0.388641995191574,"rect"
"wall-following",4,256,0.1,0.404692053794861,0.388641995191574,"rect"
"wall-following",32,512,1,0.404692053794861,0.386913600564003,"cone"
"wall-following",32,512,0.01,0.404692053794861,0.385185211896896,"cone"
"wall-following",32,512,0.01,0.404692053794861,0.385185211896896,"rect"
"wall-following",32,256,0.1,0.404692053794861,0.385185211896896,"cone"
"wall-following",32,256,0.1,0.404692053794861,0.385185211896896,"rect"
"wall-following",32,1024,1,0.404692053794861,0.385185211896896,"rect"
"wall-following",32,512,1,0.404692053794861,0.385185211896896,"rect"
"wall-following",32,256,1,0.404692113399506,0.385185211896896,"rect"
"wall-following",16,1024,0.01,0.404692113399506,0.385185211896896,"rect"
"wall-following",16,512,0.01,0.404692113399506,0.385185211896896,"cone"
"wall-following",16,256,0.01,0.404692113399506,0.385185211896896,"cone"
"wall-following",16,1024,0.1,0.404692053794861,0.385185211896896,"cone"
"wall-following",16,512,0.1,0.404692053794861,0.385185211896896,"cone"
"wall-following",16,256,0.1,0.404692053794861,0.385185211896896,"rect"
