"dataset","layerForm","nlayers","valAccuracy","nhidden","learningrate","testAccuracy"
"optical","rect",4,0.989610373973846,256,0.1,0.963828504085541
"optical","cone",4,0.988831156492233,512,0.1,0.955481290817261
"optical","cone",4,0.987013041973114,1024,0.1,0.961602568626404
"optical","rect",2,0.987013006210327,256,0.01,0.959933221340179
"optical","cone",2,0.98701297044754,512,0.01,0.956037819385529
"optical","cone",4,0.987012964487076,512,0.01,0.959933161735535
"optical","rect",2,0.987012922763825,512,0.1,0.967723846435547
"optical","cone",2,0.984675359725952,512,0.1,0.960489630699158
"optical","rect",4,0.984675335884094,512,0.1,0.955481290817261
"optical","rect",4,0.984415590763092,256,0.01,0.958820223808289
"optical","rect",2,0.984415590763092,1024,0.01,0.966054499149323
"optical","rect",2,0.984415590763092,512,0.01,0.956037878990173
"optical","cone",2,0.984415590763092,256,0.01,0.957150757312775
"optical","rect",3,0.984155857563019,512,0.1,0.961602628231049
"optical","rect",3,0.98415584564209,256,0.1,0.964385032653809
"optical","cone",2,0.98415584564209,256,0.1,0.96382862329483
"optical","rect",2,0.984155821800232,1024,0.1,0.963828563690186
"optical","cone",3,0.983636355400086,512,0.01,0.948803544044495
"optical","rect",2,0.982857137918472,256,0.1,0.961046040058136
"optical","cone",3,0.982857131958008,1024,0.1,0.954368352890015
"optical","cone",3,0.982337653636932,512,0.1,0.962715685367584
"optical","cone",4,0.982337641716004,256,0.1,0.949916481971741
"optical","cone",3,0.981818163394928,256,0.1,0.958820223808289
"optical","cone",3,0.981558418273926,256,0.01,0.956037878990173
"optical","cone",3,0.981038999557495,1024,0.01,0.959933161735535
"optical","cone",2,0.981038999557495,1024,0.1,0.962715566158295
"optical","cone",8,0.981038951873779,1024,0.01,0.932665467262268
"optical","cone",2,0.980519515275955,1024,0.01,0.961046099662781
"optical","rect",8,0.979740226268768,1024,0.01,0.953255414962769
"optical","rect",8,0.979220807552338,512,0.01,0.949916541576385
"optical","cone",4,0.979220807552338,1024,0.01,0.964385092258453
"optical","rect",3,0.979220747947693,256,0.01,0.959376752376556
"optical","rect",3,0.979220736026764,512,0.01,0.954368233680725
"optical","cone",4,0.978181827068329,256,0.01,0.947134077548981
"optical","rect",3,0.977402579784393,1024,0.1,0.960489630699158
"optical","rect",4,0.976623356342316,1024,0.01,0.959933161735535
"optical","rect",3,0.976623356342316,1024,0.01,0.953255414962769
"optical","rect",4,0.974805188179016,512,0.01,0.957707285881042
"optical","rect",8,0.974025982618332,256,0.01,0.942125737667084
"optical","cone",8,0.971688306331635,256,0.01,0.930439591407776
"optical","cone",8,0.971688294410705,512,0.01,0.932665526866913
"optical","cone",16,0.127272720634937,256,0.01,0.100723437964916
"optical","rect",4,0.117142850905657,1024,0.1,0.100723423063755
"optical","cone",8,0.116883105039597,512,0.1,0.0996104627847672
"optical","rect",4,0.1041558355093,1024,1,0.1012799218297
"optical","cone",32,0.103896096348763,1024,0.01,0.0968280434608459
"optical","cone",32,0.10389609336853,512,0.01,0.0968280434608459
"optical","cone",3,0.102857135236263,1024,1,0.0968280434608459
"optical","rect",3,0.097922071069479,256,1,0.0996104627847672
"optical","cone",32,0.0961038880050182,1024,1,0.0984975025057793
"optical","cone",16,0.0950649283826351,256,1,0.1012799218297
"optical","rect",2,0.0935064911842346,512,1,0.100723430514336
"optical","cone",32,0.0909090906381607,256,0.1,0.1012799218297
"optical","rect",8,0.0909090884029865,512,0.1,0.1012799218297
"optical","rect",8,0.0909090884029865,256,0.1,0.1012799218297
"optical","rect",16,0.089610380679369,512,0.1,0.100166946649551
"optical","rect",32,0.08051947504282,256,0.01,0.0990539863705635
"optical","cone",32,0.08051947504282,1024,0.1,0.0990539863705635
"optical","rect",32,0.08051947504282,512,0.1,0.0990539863705635
"optical","rect",32,0.08051947504282,256,0.1,0.0990539938211441
"optical","cone",32,0.08051947504282,512,1,0.0990539863705635
"optical","cone",32,0.08051947504282,256,1,0.0990539938211441
"optical","cone",16,0.08051947504282,1024,0.01,0.0990539863705635
"optical","cone",16,0.08051947504282,256,0.1,0.0990539863705635
"optical","rect",16,0.08051947504282,1024,1,0.0990539863705635
"optical","cone",16,0.08051947504282,512,1,0.0990539863705635
"optical","rect",8,0.08051947504282,1024,0.1,0.0990539863705635
"optical","cone",8,0.08051947504282,1024,1,0.0990539863705635
"optical","rect",8,0.08051947504282,1024,1,0.0990539863705635
"optical","rect",8,0.08051947504282,256,1,0.0990539863705635
"optical","rect",4,0.08051947504282,512,1,0.0990539863705635
"optical","cone",4,0.08051947504282,256,1,0.0990539863705635
"optical","rect",3,0.08051947504282,1024,1,0.0990539863705635
"optical","cone",3,0.08051947504282,512,1,0.0990539863705635
"optical","rect",3,0.08051947504282,512,1,0.0990539863705635
"optical","rect",2,0.08051947504282,256,1,0.0990539863705635
"optical","rect",32,0.0805194742977619,1024,0.01,0.0990539863705635
"optical","rect",32,0.0805194742977619,512,0.01,0.0990539863705635
"optical","cone",32,0.0805194742977619,256,0.01,0.0990539863705635
"optical","rect",32,0.0805194742977619,1024,0.1,0.0990539863705635
"optical","cone",32,0.0805194742977619,512,0.1,0.0990539863705635
"optical","rect",32,0.0805194742977619,1024,1,0.0990539863705635
"optical","rect",32,0.0805194742977619,512,1,0.0990539863705635
"optical","rect",32,0.0805194742977619,256,1,0.0990539863705635
"optical","rect",16,0.0805194742977619,1024,0.01,0.0990539938211441
"optical","cone",16,0.0805194742977619,512,0.01,0.0990539863705635
"optical","cone",16,0.0805194742977619,1024,0.1,0.0990539863705635
"optical","rect",16,0.0805194742977619,1024,0.1,0.0990539863705635
"optical","rect",16,0.0805194742977619,512,1,0.0990539938211441
"optical","cone",8,0.0805194742977619,1024,0.1,0.0990539863705635
"optical","cone",8,0.0805194742977619,256,0.1,0.0990539863705635
"optical","rect",8,0.0805194742977619,512,1,0.0990539863705635
"optical","cone",4,0.0805194742977619,512,1,0.0990539863705635
"optical","cone",2,0.0805194742977619,1024,1,0.0990539938211441
"optical","cone",2,0.0805194742977619,256,1,0.0990539863705635
"optical","rect",16,0.0805194735527038,256,0.01,0.0990539863705635
"optical","rect",16,0.0805194735527038,256,0.1,0.0990539863705635
"optical","cone",16,0.0805194735527038,1024,1,0.0990539863705635
"optical","cone",8,0.0805194735527038,512,1,0.0990539863705635
"optical","cone",8,0.0805194735527038,256,1,0.0990539863705635
"optical","cone",4,0.0805194735527038,1024,1,0.0990539863705635
"optical","cone",3,0.0805194735527038,256,1,0.0990539938211441
"optical","rect",16,0.0805194728076458,512,0.01,0.0990539863705635
"optical","rect",16,0.0805194728076458,256,1,0.0990539938211441
"optical","rect",4,0.0805194728076458,256,1,0.0990539863705635
"optical","rect",2,0.0805194728076458,1024,1,0.0990539863705635
"optical","cone",2,0.0805194728076458,512,1,0.0990539863705635
"optical","cone",16,0.0779220759868622,512,0.1,0.100166946649551
