"dataset","learningrate","valAccuracy","nlayers","nhidden","testAccuracy","layerForm"
"nursery",1,0.336372855305672,2,1024,0.333641976118088,"cone"
"nursery",0.1,0.336372852325439,16,512,0.333641976118088,"cone"
"nursery",0.1,0.336372852325439,16,256,0.33364200592041,"cone"
"nursery",0.1,0.336372852325439,8,512,0.333641976118088,"rect"
"nursery",1,0.336372852325439,3,1024,0.333641976118088,"cone"
"nursery",1,0.336372852325439,3,256,0.333641976118088,"rect"
"nursery",0.1,0.33525837957859,8,1024,0.333641976118088,"rect"
"nursery",0.1,0.335258370637894,8,1024,0.333641976118088,"cone"
"nursery",0.1,0.335258370637894,8,256,0.333641976118088,"cone"
"nursery",0.1,0.33414389193058,4,1024,0.33364200592041,"rect"
"nursery",0.1,0.334143888950348,32,256,0.333641976118088,"cone"
"nursery",0.1,0.334143885970116,8,512,0.329012334346771,"cone"
"nursery",1,0.334143880009651,8,512,0.33364200592041,"cone"
"nursery",1,0.332522818446159,2,512,0.333641976118088,"cone"
"nursery",1,0.330800426006317,32,512,0.329012364149094,"cone"
"nursery",1,0.329685941338539,8,256,0.329012334346771,"cone"
"nursery",0.01,0.325227996706963,32,512,0.329012364149094,"cone"
"nursery",0.01,0.325227975845337,32,256,0.329012364149094,"rect"
