"dataset","learningrate","valAccuracy","nlayers","nhidden","testAccuracy","layerForm"
"nursery",0.1,0.998784309625626,4,512,0.996604919433594,"cone"
"nursery",0.1,0.998682993650436,3,256,0.992283940315247,"cone"
"nursery",0.01,0.998277717828751,2,512,0.996913552284241,"cone"
"nursery",0.01,0.997264552116394,8,512,0.995678961277008,"cone"
"nursery",0.01,0.996960586309433,3,512,0.997222304344177,"cone"
"nursery",0.01,0.995440834760666,3,512,0.993209779262543,"rect"
"nursery",0.1,0.995339500904083,2,256,0.998456835746765,"rect"
"nursery",0.01,0.995035547018051,3,256,0.992901206016541,"cone"
"nursery",0.01,0.994731587171555,4,256,0.994444489479065,"rect"
"nursery",0.01,0.994630265235901,4,1024,0.992283880710602,"rect"
"nursery",0.01,0.994224971532822,3,1024,0.996604859828949,"cone"
"nursery",0.01,0.993617111444474,2,512,0.991357922554016,"rect"
"nursery",0.01,0.993313121795654,3,256,0.992592453956604,"rect"
"nursery",0.1,0.993211799860001,3,256,0.990123331546783,"rect"
"nursery",0.01,0.992502599954605,2,1024,0.994444370269775,"rect"
"nursery",0.01,0.99159072637558,4,256,0.995061695575714,"cone"
"nursery",0.01,0.991489446163178,4,512,0.991049289703369,"rect"
"nursery",0.01,0.989868372678757,4,512,0.990740656852722,"cone"
"nursery",0.01,0.98986833691597,8,1024,0.992592513561249,"cone"
"nursery",0.1,0.988551211357117,3,512,0.980246901512146,"cone"
"nursery",0.01,0.987639361619949,4,1024,0.983641862869263,"cone"
"nursery",0.01,0.98733543753624,2,1024,0.987345516681671,"cone"
"nursery",0.01,0.987031471729279,2,256,0.985185027122498,"rect"
"nursery",0.01,0.986220932006836,2,256,0.986728310585022,"cone"
"nursery",0.1,0.98429594039917,2,1024,0.985493779182434,"cone"
"nursery",0.1,0.983282715082169,4,256,0.98240739107132,"cone"
"nursery",0.01,0.983181434869766,8,256,0.974999904632568,"cone"
"nursery",0.01,0.978520834445954,8,1024,0.976234555244446,"rect"
"nursery",0.01,0.97771024107933,3,1024,0.972530722618103,"rect"
"nursery",0.1,0.975582641363144,2,512,0.966975212097168,"cone"
"nursery",0.01,0.965552258491516,8,256,0.961419582366943,"rect"
"nursery",0.1,0.952684956789017,4,256,0.953395009040833,"rect"
"nursery",0.1,0.933029454946518,2,512,0.927469074726105,"rect"
"nursery",0.1,0.927051734924316,3,1024,0.926851749420166,"cone"
"nursery",0.1,0.926139855384827,2,256,0.936419725418091,"cone"
"nursery",0.1,0.923809599876404,2,1024,0.91635799407959,"rect"
"nursery",0.1,0.918034511804581,3,512,0.917592525482178,"rect"
"nursery",0.01,0.909726512432098,16,256,0.913271605968475,"cone"
"nursery",0.1,0.89240128993988,3,1024,0.909567832946777,"rect"
"nursery",0.01,0.88439724445343,8,512,0.889814734458923,"rect"
"nursery",0.1,0.658358681201935,4,1024,0.662654280662537,"cone"
"nursery",0.01,0.33637287914753,16,1024,0.333641976118088,"rect"
"nursery",0.1,0.336372873187065,32,512,0.33364200592041,"cone"
"nursery",1,0.336372873187065,3,1024,0.333641976118088,"rect"
"nursery",0.1,0.336372870206833,32,512,0.333641976118088,"rect"
"nursery",0.1,0.336372870206833,8,256,0.333641976118088,"rect"
"nursery",1,0.336372870206833,8,512,0.333641976118088,"rect"
"nursery",1,0.336372870206833,4,256,0.333641976118088,"rect"
"nursery",1,0.336372870206833,3,512,0.33364200592041,"cone"
"nursery",1,0.336372870206833,2,256,0.333641976118088,"rect"
"nursery",0.1,0.336372867226601,16,512,0.33364200592041,"rect"
"nursery",1,0.336372867226601,16,1024,0.333641976118088,"cone"
"nursery",1,0.336372867226601,8,256,0.33364200592041,"rect"
"nursery",1,0.336372867226601,4,1024,0.333641976118088,"rect"
"nursery",0.01,0.336372864246368,32,256,0.333641976118088,"cone"
"nursery",1,0.336372864246368,32,256,0.333641976118088,"rect"
"nursery",0.01,0.336372864246368,16,512,0.333641976118088,"rect"
"nursery",1,0.336372864246368,16,1024,0.333641976118088,"rect"
"nursery",1,0.336372864246368,16,512,0.333641976118088,"cone"
"nursery",1,0.336372864246368,16,512,0.333641976118088,"rect"
"nursery",1,0.336372864246368,4,1024,0.333641976118088,"cone"
"nursery",1,0.336372864246368,4,256,0.33364200592041,"cone"
"nursery",1,0.336372864246368,3,256,0.33364200592041,"cone"
"nursery",1,0.336372864246368,2,1024,0.333641976118088,"rect"
"nursery",1,0.336372864246368,2,256,0.333641976118088,"cone"
"nursery",1,0.336372864246368,32,256,0.333641976118088,"cone"
"nursery",0.01,0.336372861266136,16,1024,0.333641976118088,"cone"
"nursery",0.01,0.336372861266136,16,512,0.33364200592041,"cone"
"nursery",0.01,0.336372861266136,32,1024,0.333641976118088,"cone"
"nursery",0.01,0.336372861266136,32,1024,0.333641976118088,"rect"
"nursery",0.1,0.336372861266136,32,1024,0.333641976118088,"cone"
"nursery",1,0.336372861266136,8,1024,0.333641976118088,"rect"
"nursery",1,0.336372861266136,3,512,0.33364200592041,"rect"
"nursery",1,0.336372861266136,2,512,0.333641976118088,"rect"
"nursery",0.01,0.336372858285904,32,512,0.33364200592041,"rect"
"nursery",0.1,0.336372858285904,32,1024,0.33364200592041,"rect"
"nursery",1,0.336372858285904,32,512,0.333641976118088,"rect"
"nursery",0.01,0.336372858285904,16,256,0.33364200592041,"rect"
"nursery",0.1,0.336372858285904,16,1024,0.333641976118088,"rect"
"nursery",0.1,0.336372858285904,16,256,0.333641976118088,"rect"
"nursery",1,0.336372858285904,16,256,0.333641976118088,"cone"
"nursery",1,0.336372858285904,16,256,0.333641976118088,"rect"
"nursery",0.1,0.336372858285904,4,512,0.33364200592041,"rect"
"nursery",1,0.336372858285904,4,512,0.333641976118088,"cone"
"nursery",1,0.336372858285904,4,512,0.333641976118088,"rect"
"nursery",0.1,0.336372855305672,32,256,0.333641976118088,"rect"
"nursery",1,0.336372855305672,32,1024,0.333641976118088,"cone"
"nursery",1,0.336372855305672,32,1024,0.333641976118088,"rect"
"nursery",0.1,0.336372855305672,16,1024,0.333641976118088,"cone"
"nursery",1,0.336372855305672,8,1024,0.333641976118088,"cone"
