"dataset","nhidden","nlayers","learningrate","layerForm","testAccuracy","valAccuracy"
"pittsburg-bridges-T-OR-D",512,4,1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,4,1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,4,1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",1024,3,0.1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",1024,3,0.1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",512,3,0.1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,3,0.1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",1024,3,1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",1024,3,1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",512,3,1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",512,3,1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,3,1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,3,1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",1024,2,0.1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",512,2,0.1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,2,0.1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",1024,2,1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",1024,2,1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",512,2,1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",512,2,1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,2,1,"cone",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,2,1,"rect",0.879999995231628,0.833333373069763
"pittsburg-bridges-T-OR-D",256,3,0.1,"cone",0.879999995231628,0.825000035762787
"pittsburg-bridges-T-OR-D",1024,2,0.01,"cone",0.919999957084656,0.816666698455811
"pittsburg-bridges-T-OR-D",512,3,0.1,"cone",0.879999995231628,0.816666698455811
"pittsburg-bridges-T-OR-D",256,3,0.01,"rect",0.919999957084656,0.816666686534882
"pittsburg-bridges-T-OR-D",256,2,0.01,"cone",0.879999995231628,0.808333361148834
"pittsburg-bridges-T-OR-D",1024,3,0.01,"cone",0.919999957084656,0.800000023841858
"pittsburg-bridges-T-OR-D",512,2,0.01,"cone",0.879999995231628,0.775000017881393
"pittsburg-bridges-T-OR-D",256,4,0.01,"rect",0.879999995231628,0.766666692495346
"pittsburg-bridges-T-OR-D",256,2,0.1,"cone",0.879999995231628,0.766666674613953
"pittsburg-bridges-T-OR-D",1024,2,0.1,"rect",0.799999952316284,0.733333349227905
"pittsburg-bridges-T-OR-D",1024,2,0.01,"rect",0.799999952316284,0.733333349227905
"pittsburg-bridges-T-OR-D",256,2,0.01,"rect",0.879999995231628,0.725000035762787
"pittsburg-bridges-T-OR-D",512,3,0.01,"rect",0.879999995231628,0.716666680574417
"pittsburg-bridges-T-OR-D",512,8,0.01,"rect",0.119999997317791,0.300000011920929
"pittsburg-bridges-T-OR-D",512,16,0.01,"cone",0.119999997317791,0.16666667163372
"pittsburg-bridges-T-OR-D",256,16,0.01,"cone",0.119999997317791,0.16666667163372
"pittsburg-bridges-T-OR-D",1024,8,0.01,"cone",0.119999997317791,0.16666667163372
