"dataset","testAccuracy","nlayers","learningrate","nhidden","layerForm","valAccuracy"
"vertebral-column-3clases",0.194805204868317,16,0.01,256,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,16,0.01,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,16,0.1,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,16,0.1,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,16,1,1024,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,16,1,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,16,1,512,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,16,1,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,0.01,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,0.01,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,0.1,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,0.1,512,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,0.1,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,1,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,1,512,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,1,512,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,1,256,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,8,1,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,4,0.1,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,4,1,1024,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,4,1,512,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,4,1,256,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,4,1,256,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,3,0.1,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,3,1,1024,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,3,1,512,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,2,1,1024,"cone",0.142857149243355
"vertebral-column-3clases",0.194805204868317,2,1,1024,"rect",0.142857149243355
"vertebral-column-3clases",0.194805204868317,2,1,512,"rect",0.142857149243355
