"dataset","testAccuracy","layerForm","nhidden","valAccuracy","nlayers","learningrate"
"fertility",0.679999947547913,"cone",512,1,3,0.01
"fertility",0.799999952316284,"cone",1024,0.925,3,0.01
"fertility",0.879999995231628,"rect",256,0.9,2,0.1
"fertility",0.879999995231628,"cone",1024,0.875,32,0.01
"fertility",0.879999995231628,"rect",1024,0.875,32,0.01
"fertility",0.879999995231628,"cone",512,0.875,32,0.01
"fertility",0.879999995231628,"rect",512,0.875,32,0.01
"fertility",0.879999995231628,"cone",256,0.875,32,0.01
"fertility",0.879999995231628,"rect",256,0.875,32,0.01
"fertility",0.879999995231628,"cone",1024,0.875,32,0.1
"fertility",0.879999995231628,"rect",1024,0.875,32,0.1
"fertility",0.879999995231628,"cone",512,0.875,32,0.1
"fertility",0.879999995231628,"rect",512,0.875,32,0.1
"fertility",0.879999995231628,"cone",256,0.875,32,0.1
"fertility",0.879999995231628,"rect",256,0.875,32,0.1
"fertility",0.879999995231628,"cone",1024,0.875,32,1
"fertility",0.879999995231628,"rect",1024,0.875,32,1
"fertility",0.879999995231628,"cone",512,0.875,32,1
"fertility",0.879999995231628,"rect",512,0.875,32,1
"fertility",0.879999995231628,"cone",256,0.875,32,1
"fertility",0.879999995231628,"rect",256,0.875,32,1
"fertility",0.879999995231628,"cone",1024,0.875,16,0.01
"fertility",0.879999995231628,"rect",1024,0.875,16,0.01
"fertility",0.879999995231628,"cone",512,0.875,16,0.01
"fertility",0.879999995231628,"rect",512,0.875,16,0.01
"fertility",0.879999995231628,"cone",256,0.875,16,0.01
"fertility",0.879999995231628,"rect",256,0.875,16,0.01
"fertility",0.879999995231628,"cone",1024,0.875,16,0.1
"fertility",0.879999995231628,"rect",1024,0.875,16,0.1
"fertility",0.879999995231628,"cone",512,0.875,16,0.1
"fertility",0.879999995231628,"rect",512,0.875,16,0.1
"fertility",0.879999995231628,"cone",256,0.875,16,0.1
"fertility",0.879999995231628,"rect",256,0.875,16,0.1
"fertility",0.879999995231628,"cone",1024,0.875,16,1
"fertility",0.879999995231628,"rect",1024,0.875,16,1
"fertility",0.879999995231628,"cone",512,0.875,16,1
"fertility",0.879999995231628,"rect",512,0.875,16,1
"fertility",0.879999995231628,"cone",256,0.875,16,1
"fertility",0.879999995231628,"rect",256,0.875,16,1
"fertility",0.879999995231628,"cone",1024,0.875,8,0.01
"fertility",0.879999995231628,"rect",1024,0.875,8,0.01
"fertility",0.879999995231628,"cone",512,0.875,8,0.01
"fertility",0.879999995231628,"rect",512,0.875,8,0.01
"fertility",0.879999995231628,"cone",256,0.875,8,0.01
"fertility",0.879999995231628,"rect",256,0.875,8,0.01
"fertility",0.879999995231628,"cone",1024,0.875,8,0.1
"fertility",0.879999995231628,"rect",1024,0.875,8,0.1
"fertility",0.879999995231628,"cone",512,0.875,8,0.1
"fertility",0.879999995231628,"rect",512,0.875,8,0.1
"fertility",0.879999995231628,"cone",256,0.875,8,0.1
"fertility",0.879999995231628,"rect",256,0.875,8,0.1
"fertility",0.879999995231628,"cone",1024,0.875,8,1
"fertility",0.879999995231628,"rect",1024,0.875,8,1
"fertility",0.879999995231628,"cone",512,0.875,8,1
"fertility",0.879999995231628,"rect",512,0.875,8,1
"fertility",0.879999995231628,"cone",256,0.875,8,1
"fertility",0.879999995231628,"rect",256,0.875,8,1
"fertility",0.839999973773956,"cone",1024,0.875,4,0.01
