"dataset","valAccuracy","learningrate","layerForm","nhidden","testAccuracy","nlayers"
"planning",0.855555605888367,0.01,"rect",256,0.644444465637207,2
"planning",0.83888892531395,0.1,"cone",1024,0.644444465637207,4
"planning",0.83888892531395,1,"rect",512,0.711111128330231,2
"planning",0.838888919353485,0.01,"rect",1024,0.622222244739532,4
"planning",0.833333373069763,0.01,"cone",1024,0.711111128330231,32
"planning",0.833333373069763,0.01,"rect",1024,0.711111128330231,32
"planning",0.833333373069763,0.01,"cone",512,0.711111128330231,32
"planning",0.833333373069763,0.01,"rect",512,0.711111128330231,32
"planning",0.833333373069763,0.01,"rect",256,0.711111128330231,32
"planning",0.833333373069763,0.1,"cone",1024,0.711111128330231,32
"planning",0.833333373069763,0.1,"rect",1024,0.711111128330231,32
"planning",0.833333373069763,0.1,"cone",512,0.711111128330231,32
"planning",0.833333373069763,0.1,"rect",512,0.711111128330231,32
"planning",0.833333373069763,0.1,"cone",256,0.711111128330231,32
"planning",0.833333373069763,0.1,"rect",256,0.711111128330231,32
"planning",0.833333373069763,1,"cone",1024,0.711111128330231,32
"planning",0.833333373069763,1,"rect",1024,0.711111128330231,32
"planning",0.833333373069763,1,"cone",512,0.711111128330231,32
"planning",0.833333373069763,1,"rect",512,0.711111128330231,32
"planning",0.833333373069763,1,"cone",256,0.711111128330231,32
"planning",0.833333373069763,1,"rect",256,0.711111128330231,32
"planning",0.833333373069763,0.01,"rect",1024,0.711111128330231,16
"planning",0.833333373069763,0.01,"cone",512,0.711111128330231,16
"planning",0.833333373069763,0.01,"rect",512,0.711111128330231,16
"planning",0.833333373069763,0.01,"cone",256,0.711111128330231,16
"planning",0.833333373069763,0.01,"rect",256,0.711111128330231,16
"planning",0.833333373069763,0.1,"cone",1024,0.711111128330231,16
"planning",0.833333373069763,0.1,"rect",1024,0.711111128330231,16
"planning",0.833333373069763,0.1,"cone",512,0.711111128330231,16
"planning",0.833333373069763,0.1,"rect",512,0.711111128330231,16
"planning",0.833333373069763,0.1,"cone",256,0.711111128330231,16
"planning",0.833333373069763,0.1,"rect",256,0.711111128330231,16
"planning",0.833333373069763,1,"cone",1024,0.711111128330231,16
"planning",0.833333373069763,1,"rect",1024,0.711111128330231,16
"planning",0.833333373069763,1,"cone",512,0.711111128330231,16
"planning",0.833333373069763,1,"rect",512,0.711111128330231,16
"planning",0.833333373069763,1,"cone",256,0.711111128330231,16
"planning",0.833333373069763,1,"rect",256,0.711111128330231,16
"planning",0.833333373069763,0.01,"rect",1024,0.711111128330231,8
"planning",0.833333373069763,0.01,"cone",512,0.711111128330231,8
"planning",0.833333373069763,0.01,"cone",256,0.711111128330231,8
"planning",0.833333373069763,0.01,"rect",256,0.711111128330231,8
"planning",0.833333373069763,0.1,"cone",1024,0.711111128330231,8
"planning",0.833333373069763,0.1,"rect",1024,0.711111128330231,8
"planning",0.833333373069763,0.1,"cone",512,0.711111128330231,8
"planning",0.833333373069763,0.1,"rect",512,0.711111128330231,8
"planning",0.833333373069763,0.1,"cone",256,0.711111128330231,8
"planning",0.833333373069763,0.1,"rect",256,0.711111128330231,8
"planning",0.833333373069763,1,"cone",1024,0.711111128330231,8
"planning",0.833333373069763,1,"rect",1024,0.711111128330231,8
"planning",0.833333373069763,1,"cone",512,0.711111128330231,8
"planning",0.833333373069763,1,"rect",512,0.711111128330231,8
"planning",0.833333373069763,1,"cone",256,0.711111128330231,8
"planning",0.833333373069763,1,"rect",256,0.711111128330231,8
"planning",0.833333373069763,0.01,"cone",256,0.711111128330231,4
"planning",0.833333373069763,0.1,"rect",1024,0.711111128330231,4
"planning",0.833333373069763,0.1,"cone",512,0.711111128330231,4
"planning",0.833333373069763,0.1,"rect",512,0.711111128330231,4
"planning",0.833333373069763,0.1,"cone",256,0.711111128330231,4
"planning",0.833333373069763,0.1,"rect",256,0.711111128330231,4
"planning",0.833333373069763,1,"cone",1024,0.711111128330231,4
"planning",0.833333373069763,1,"rect",1024,0.711111128330231,4
"planning",0.833333373069763,1,"cone",512,0.711111128330231,4
"planning",0.833333373069763,1,"rect",512,0.711111128330231,4
"planning",0.833333373069763,1,"cone",256,0.711111128330231,4
"planning",0.833333373069763,1,"rect",256,0.711111128330231,4
"planning",0.833333373069763,0.1,"cone",1024,0.711111128330231,3
"planning",0.833333373069763,0.1,"rect",1024,0.711111128330231,3
"planning",0.833333373069763,0.1,"cone",512,0.711111128330231,3
"planning",0.833333373069763,0.1,"cone",256,0.711111128330231,3
"planning",0.833333373069763,1,"cone",1024,0.711111128330231,3
"planning",0.833333373069763,1,"rect",1024,0.711111128330231,3
"planning",0.833333373069763,1,"cone",512,0.711111128330231,3
"planning",0.833333373069763,1,"rect",512,0.711111128330231,3
"planning",0.833333373069763,1,"cone",256,0.711111128330231,3
"planning",0.833333373069763,1,"rect",256,0.711111128330231,3
"planning",0.833333373069763,0.1,"cone",1024,0.711111128330231,2
"planning",0.833333373069763,1,"cone",1024,0.711111128330231,2
"planning",0.833333373069763,1,"rect",1024,0.711111128330231,2
"planning",0.833333373069763,1,"cone",512,0.711111128330231,2
"planning",0.833333373069763,1,"cone",256,0.711111128330231,2
"planning",0.833333373069763,1,"rect",256,0.711111128330231,2
"planning",0.833333367109299,0.01,"cone",512,0.688888907432556,4
"planning",0.833333367109299,0.1,"rect",256,0.622222244739532,2
"planning",0.822222256660462,0.1,"cone",512,0.644444465637207,2
"planning",0.816666698455811,0.01,"rect",512,0.533333361148834,4
"planning",0.811111122369766,0.01,"rect",256,0.711111128330231,3
"planning",0.805555576086044,0.01,"cone",256,0.688888907432556,2
"planning",0.800000035762787,0.1,"rect",512,0.688888907432556,3
"planning",0.800000023841858,0.1,"cone",256,0.711111128330231,2
"planning",0.794444471597672,0.01,"cone",256,0.688888907432556,3
"planning",0.766666686534882,0.01,"rect",512,0.555555582046509,8
"planning",0.766666686534882,0.1,"rect",256,0.666666686534882,3
"planning",0.750000011920929,0.01,"cone",512,0.555555582046509,2
"planning",0.744444477558136,0.1,"rect",1024,0.688888907432556,2
"planning",0.744444447755814,0.01,"rect",256,0.577777802944183,4
"planning",0.738888907432556,0.01,"rect",512,0.644444465637207,2
"planning",0.727777796983719,0.01,"rect",512,0.666666686534882,3
"planning",0.72777778506279,0.01,"cone",512,0.622222244739532,3
"planning",0.722222244739533,0.01,"cone",1024,0.622222244739532,2
"planning",0.694444471597672,0.01,"rect",1024,0.711111128330231,3
"planning",0.683333361148834,0.01,"cone",1024,0.711111128330231,3
"planning",0.683333352208138,0.01,"rect",1024,0.333333373069763,2
"planning",0.677777808904648,0.1,"rect",512,0.622222244739532,2
"planning",0.16666667163372,0.01,"cone",256,0.288888901472092,32
"planning",0.16666667163372,0.01,"cone",1024,0.288888901472092,16
"planning",0.16666667163372,0.01,"cone",1024,0.288888901472092,8
"planning",0.16666667163372,0.01,"cone",1024,0.288888901472092,4
