"dataset","layerForm","learningrate","nhidden","nlayers","testAccuracy","valAccuracy"
"statlog-australian-credit","cone",0.1,256,2,0.686046540737152,0.69491525888443
"statlog-australian-credit","rect",0.1,256,3,0.680232584476471,0.68644067645073
"statlog-australian-credit","rect",0.1,1024,2,0.686046540737152,0.679661023616791
"statlog-australian-credit","rect",1,256,2,0.662790715694427,0.677966117858887
"statlog-australian-credit","rect",0.01,1024,3,0.680232584476471,0.676271176338196
"statlog-australian-credit","cone",0.1,256,4,0.691860496997833,0.674576288461685
"statlog-australian-credit","cone",0.1,256,3,0.662790715694427,0.672881352901459
"statlog-australian-credit","rect",0.1,512,4,0.639534890651703,0.671186429262161
"statlog-australian-credit","cone",0.01,256,2,0.627906978130341,0.669491523504257
"statlog-australian-credit","cone",0.01,256,8,0.680232584476471,0.664406776428223
"statlog-australian-credit","cone",0.01,256,4,0.656976759433746,0.664406770467758
"statlog-australian-credit","rect",0.01,1024,8,0.680232584476471,0.66271185874939
"statlog-australian-credit","rect",0.01,512,8,0.680232584476471,0.66271185874939
"statlog-australian-credit","cone",0.01,256,3,0.680232584476471,0.66271185874939
"statlog-australian-credit","rect",0.1,256,2,0.668604671955109,0.662711846828461
"statlog-australian-credit","cone",0.01,1024,32,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.01,256,32,0.680232584476471,0.661016941070557
"statlog-australian-credit","rect",0.01,256,32,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,1024,32,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,512,32,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,1024,32,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,256,32,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.01,1024,16,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.01,256,16,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,512,16,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,256,16,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,512,16,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,256,16,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.01,1024,8,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,1024,8,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,512,8,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,256,8,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,512,8,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,256,8,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.01,1024,4,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.01,512,4,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,1024,4,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,512,4,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,1024,4,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,512,4,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,256,4,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,1024,3,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,512,3,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,512,3,0.680232584476471,0.661016941070557
"statlog-australian-credit","rect",1,512,3,0.680232584476471,0.661016941070557
"statlog-australian-credit","rect",1,256,3,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",0.1,1024,2,0.680232584476471,0.661016941070557
"statlog-australian-credit","rect",0.1,512,2,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,512,2,0.680232584476471,0.661016941070557
"statlog-australian-credit","cone",1,256,2,0.680232584476471,0.661016941070557
"statlog-australian-credit","rect",0.1,512,3,0.680232584476471,0.657627105712891
"statlog-australian-credit","rect",0.01,256,3,0.680232584476471,0.654237282276154
"statlog-australian-credit","rect",0.01,256,8,0.668604671955109,0.652542352676392
"statlog-australian-credit","rect",0.1,1024,3,0.593023240566254,0.650847440958023
"statlog-australian-credit","cone",0.01,1024,2,0.680232584476471,0.650847440958023
"statlog-australian-credit","cone",0.01,512,2,0.668604671955109,0.647457617521286
"statlog-australian-credit","rect",0.01,512,4,0.639534890651703,0.645762705802918
"statlog-australian-credit","rect",0.01,512,3,0.604651153087616,0.645762693881989
"statlog-australian-credit","rect",0.01,256,4,0.627906978130341,0.642372882366181
"statlog-australian-credit","rect",0.01,512,2,0.575581431388855,0.642372864484787
"statlog-australian-credit","cone",0.1,512,2,0.686046540737152,0.635593223571777
"statlog-australian-credit","rect",0.01,256,2,0.680232584476471,0.63389829993248
"statlog-australian-credit","cone",0.01,512,3,0.680232584476471,0.630508488416672
"statlog-australian-credit","rect",0.01,1024,2,0.616279065608978,0.627118653059006
"statlog-australian-credit","cone",0.01,1024,3,0.67441862821579,0.622033900022507
"statlog-australian-credit","rect",0.01,1024,4,0.627906978130341,0.606779649853706
"statlog-australian-credit","rect",0.1,1024,4,0.319767445325851,0.371186447143555
"statlog-australian-credit","rect",1,1024,2,0.319767445325851,0.371186447143555
"statlog-australian-credit","rect",1,512,2,0.319767445325851,0.371186447143555
"statlog-australian-credit","rect",0.1,256,4,0.319767445325851,0.367796617746353
"statlog-australian-credit","cone",1,256,3,0.319767445325851,0.355932211875916
"statlog-australian-credit","rect",0.01,1024,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",0.01,512,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.01,512,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,1024,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,512,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",0.1,256,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,256,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,1024,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",1,512,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,512,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,256,32,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.01,1024,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",0.01,512,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.01,512,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.01,256,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",0.1,1024,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,1024,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,512,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,256,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",1,1024,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,1024,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,512,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,256,16,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",0.01,512,8,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,1024,8,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,512,8,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",0.1,256,8,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",1,1024,8,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,1024,8,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,512,8,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,256,8,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,1024,4,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,512,4,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,256,4,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",1,1024,3,0.319767445325851,0.338983058929443
"statlog-australian-credit","rect",1,1024,3,0.319767445325851,0.338983058929443
"statlog-australian-credit","cone",1,1024,2,0.319767445325851,0.338983058929443
