"dataset","nhidden","layerForm","testAccuracy","valAccuracy","learningrate","nlayers"
"congressional-voting",1024,"cone",0.587155938148499,0.694594645500183,0.1,2
"congressional-voting",1024,"cone",0.587155878543854,0.691891956329346,0.01,4
"congressional-voting",512,"cone",0.587155878543854,0.689189213514328,0.1,2
"congressional-voting",256,"cone",0.577981650829315,0.683783829212189,0.01,4
"congressional-voting",256,"cone",0.587155878543854,0.670270347595215,0.01,2
"congressional-voting",512,"cone",0.57798159122467,0.670270341634751,0.01,4
"congressional-voting",1024,"rect",0.605504512786865,0.670270335674286,0.1,2
"congressional-voting",512,"cone",0.596330225467682,0.664864933490753,0.01,3
"congressional-voting",1024,"cone",0.596330225467682,0.664864897727966,0.01,3
"congressional-voting",256,"rect",0.568807303905487,0.656756806373596,0.1,2
"congressional-voting",512,"cone",0.57798159122467,0.651351422071457,0.1,3
"congressional-voting",512,"rect",0.522935748100281,0.648648715019226,0.01,3
"congressional-voting",512,"cone",0.587155878543854,0.640540611743927,0.01,2
"congressional-voting",1024,"cone",0.587155878543854,0.640540564060211,0.01,2
"congressional-voting",512,"cone",0.587155878543854,0.632432508468628,0.1,4
"congressional-voting",512,"rect",0.550458669662476,0.632432472705841,0.01,2
"congressional-voting",512,"rect",0.587155938148499,0.621621680259705,0.1,2
"congressional-voting",1024,"rect",0.623853206634521,0.618918967247009,0.01,2
"congressional-voting",1024,"rect",0.57798159122467,0.616216260194778,0.1,3
"congressional-voting",1024,"rect",0.614678859710693,0.616216254234314,0.01,8
"congressional-voting",256,"rect",0.596330225467682,0.613513547182083,0.01,4
"congressional-voting",256,"rect",0.550458669662476,0.61081086397171,0.01,2
"congressional-voting",512,"rect",0.541284382343292,0.610810852050781,0.1,3
"congressional-voting",256,"rect",0.596330225467682,0.610810852050781,0.1,3
"congressional-voting",1024,"rect",0.522935748100281,0.608108156919479,0.01,4
"congressional-voting",256,"rect",0.60550457239151,0.608108121156693,0.01,3
