"dataset","nlayers","valAccuracy","layerForm","learningrate","testAccuracy","nhidden"
"hayes-roth",4,0.366666680574417,"rect",1,0.464285731315613,1024
"hayes-roth",2,0.358333346247673,"cone",1,0.464285731315613,1024
"hayes-roth",3,0.358333343267441,"cone",0.1,0.464285731315613,1024
"hayes-roth",16,0.333333343267441,"cone",0.1,0.464285731315613,1024
"hayes-roth",8,0.333333343267441,"cone",0.1,0.464285731315613,256
"hayes-roth",3,0.333333343267441,"cone",0.01,0.464285731315613,256
"hayes-roth",3,0.333333343267441,"cone",0.1,0.464285731315613,256
"hayes-roth",2,0.325000008940697,"rect",0.1,0.464285731315613,512
"hayes-roth",8,0.266666668653488,"cone",0.01,0.0357142873108387,512
"hayes-roth",32,0.25,"cone",0.01,0.0357142873108387,512
"hayes-roth",4,0.25,"cone",0.01,0.0357142873108387,512
