"dataset","nlayers","layerForm","nhidden","learningrate","valAccuracy","testAccuracy"
"molec-biol-splice",8,"cone",512,1,0.547085225582123,0.519447922706604
"molec-biol-splice",8,"cone",256,1,0.547085225582123,0.519447922706604
"molec-biol-splice",4,"rect",1024,1,0.547085225582123,0.519447922706604
"molec-biol-splice",3,"cone",512,1,0.547085225582123,0.519447922706604
"molec-biol-splice",3,"rect",512,1,0.547085225582123,0.519447922706604
"molec-biol-splice",3,"cone",256,1,0.547085225582123,0.519447922706604
"molec-biol-splice",2,"cone",512,1,0.547085225582123,0.519447922706604
"molec-biol-splice",2,"rect",512,1,0.547085225582123,0.519447922706604
"molec-biol-splice",32,"rect",1024,0.01,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"rect",512,0.01,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"rect",1024,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"cone",512,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"rect",512,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"rect",256,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"cone",1024,1,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"rect",1024,1,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"rect",512,1,0.215246647596359,0.239648699760437
"molec-biol-splice",32,"rect",256,1,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"rect",1024,0.01,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"cone",512,0.01,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"rect",512,0.01,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"rect",256,0.01,0.215246647596359,0.239648684859276
"molec-biol-splice",16,"cone",1024,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"rect",1024,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"cone",512,0.1,0.215246647596359,0.239648684859276
"molec-biol-splice",16,"rect",512,0.1,0.215246647596359,0.239648684859276
"molec-biol-splice",16,"rect",256,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"rect",1024,1,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"cone",512,1,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"rect",512,1,0.215246647596359,0.239648699760437
"molec-biol-splice",16,"rect",256,1,0.215246647596359,0.239648699760437
"molec-biol-splice",8,"cone",1024,0.1,0.215246647596359,0.239648684859276
"molec-biol-splice",8,"cone",512,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",8,"rect",512,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",8,"rect",256,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",8,"rect",1024,1,0.215246647596359,0.239648684859276
"molec-biol-splice",8,"rect",512,1,0.215246647596359,0.239648699760437
"molec-biol-splice",8,"rect",256,1,0.215246647596359,0.239648699760437
"molec-biol-splice",4,"rect",1024,0.1,0.215246647596359,0.239648699760437
"molec-biol-splice",4,"cone",1024,1,0.215246647596359,0.239648699760437
"molec-biol-splice",4,"cone",512,1,0.215246647596359,0.239648684859276
"molec-biol-splice",4,"rect",512,1,0.215246647596359,0.239648699760437
"molec-biol-splice",4,"cone",256,1,0.215246647596359,0.239648684859276
"molec-biol-splice",4,"rect",256,1,0.215246647596359,0.239648699760437
"molec-biol-splice",3,"cone",1024,1,0.215246647596359,0.239648699760437
"molec-biol-splice",3,"rect",1024,1,0.215246647596359,0.239648699760437
"molec-biol-splice",3,"rect",256,1,0.215246647596359,0.239648699760437
"molec-biol-splice",2,"cone",1024,1,0.215246647596359,0.239648699760437
"molec-biol-splice",2,"rect",1024,1,0.215246647596359,0.239648699760437
"molec-biol-splice",2,"cone",256,1,0.215246647596359,0.239648699760437
"molec-biol-splice",2,"rect",256,1,0.215246647596359,0.239648699760437
