"dataset","nlayers","layerForm","nhidden","learningrate","valAccuracy","testAccuracy"
"molec-biol-splice",3,"rect",1024,0.1,0.917488861083984,0.849435389041901
"molec-biol-splice",2,"cone",256,0.1,0.893273562192917,0.84567129611969
"molec-biol-splice",3,"cone",256,0.1,0.882062846422196,0.874529480934143
"molec-biol-splice",4,"rect",512,0.01,0.878475379943848,0.810539484024048
"molec-biol-splice",2,"cone",1024,0.1,0.876233237981796,0.861982345581055
"molec-biol-splice",2,"rect",1024,0.1,0.876233232021332,0.850690066814423
"molec-biol-splice",3,"cone",1024,0.1,0.875784778594971,0.87578421831131
"molec-biol-splice",3,"cone",1024,0.01,0.875336337089539,0.82559597492218
"molec-biol-splice",2,"cone",512,0.1,0.874439495801926,0.854454219341278
"molec-biol-splice",4,"cone",256,0.1,0.874439489841461,0.833124279975891
"molec-biol-splice",3,"rect",256,0.1,0.871300494670868,0.864491820335388
"molec-biol-splice",2,"rect",256,0.01,0.866367834806442,0.830614805221558
"molec-biol-splice",4,"cone",512,0.1,0.866367745399475,0.863237142562866
"molec-biol-splice",3,"cone",512,0.1,0.865022492408753,0.853199481964111
"molec-biol-splice",2,"rect",512,0.1,0.863677167892456,0.858218312263489
"molec-biol-splice",4,"rect",512,0.1,0.86008974313736,0.863237142562866
"molec-biol-splice",8,"rect",1024,0.01,0.859192872047424,0.823086559772491
"molec-biol-splice",2,"rect",512,0.01,0.857847583293915,0.823086559772491
"molec-biol-splice",8,"rect",256,0.01,0.857399141788483,0.826850652694702
"molec-biol-splice",4,"cone",1024,0.1,0.853811722993851,0.874529480934143
"molec-biol-splice",2,"rect",1024,0.01,0.853811722993851,0.838142991065979
"molec-biol-splice",2,"cone",512,0.01,0.853363281488419,0.826850712299347
"molec-biol-splice",3,"rect",256,0.01,0.852018022537231,0.840652465820312
"molec-biol-splice",4,"rect",256,0.01,0.848430550098419,0.809284806251526
"molec-biol-splice",3,"cone",256,0.01,0.847085273265839,0.830614805221558
"molec-biol-splice",2,"rect",256,0.1,0.847085249423981,0.859472990036011
"molec-biol-splice",4,"rect",1024,0.01,0.846188414096832,0.816812992095947
"molec-biol-splice",3,"rect",1024,0.01,0.844843107461929,0.808030128479004
"molec-biol-splice",3,"rect",512,0.1,0.841255688667297,0.851944804191589
"molec-biol-splice",4,"cone",256,0.01,0.841255658864975,0.834378957748413
"molec-biol-splice",2,"cone",256,0.01,0.840807193517685,0.853199481964111
"molec-biol-splice",2,"cone",1024,0.01,0.838116657733917,0.83563357591629
"molec-biol-splice",3,"rect",512,0.01,0.834080797433853,0.826850712299347
"molec-biol-splice",8,"rect",512,0.01,0.826009011268616,0.848180711269379
"molec-biol-splice",4,"cone",1024,0.01,0.825560575723648,0.839397788047791
"molec-biol-splice",3,"cone",512,0.01,0.817937272787094,0.836888313293457
"molec-biol-splice",4,"rect",256,0.1,0.726009041070938,0.799247145652771
"molec-biol-splice",4,"cone",512,0.01,0.70224221944809,0.670012533664703
"molec-biol-splice",8,"cone",256,0.01,0.665470904111862,0.64742785692215
"molec-biol-splice",32,"cone",1024,0.01,0.547085225582123,0.519447922706604
"molec-biol-splice",32,"cone",512,0.01,0.547085225582123,0.519447922706604
"molec-biol-splice",32,"cone",256,0.01,0.547085225582123,0.519447922706604
"molec-biol-splice",32,"rect",256,0.01,0.547085225582123,0.519447922706604
"molec-biol-splice",32,"cone",1024,0.1,0.547085225582123,0.519447922706604
"molec-biol-splice",32,"cone",256,0.1,0.547085225582123,0.519447922706604
"molec-biol-splice",32,"cone",512,1,0.547085225582123,0.519447922706604
"molec-biol-splice",32,"cone",256,1,0.547085225582123,0.519447922706604
"molec-biol-splice",16,"cone",1024,0.01,0.547085225582123,0.519447922706604
"molec-biol-splice",16,"cone",256,0.01,0.547085225582123,0.519447922706604
"molec-biol-splice",16,"cone",256,0.1,0.547085225582123,0.519447922706604
"molec-biol-splice",16,"cone",1024,1,0.547085225582123,0.519447922706604
"molec-biol-splice",16,"cone",256,1,0.547085225582123,0.519447922706604
"molec-biol-splice",8,"cone",1024,0.01,0.547085225582123,0.519447922706604
"molec-biol-splice",8,"cone",512,0.01,0.547085225582123,0.519447922706604
"molec-biol-splice",8,"rect",1024,0.1,0.547085225582123,0.519447922706604
"molec-biol-splice",8,"cone",256,0.1,0.547085225582123,0.519447922706604
"molec-biol-splice",8,"cone",1024,1,0.547085225582123,0.519447922706604
