"dataset","learningrate","valAccuracy","layerForm","nhidden","testAccuracy","nlayers"
"breast-cancer-wisc-prog",0.01,0.825000029802323,"rect",512,0.836734652519226,2
"breast-cancer-wisc-prog",0.01,0.800000023841858,"cone",256,0.816326498985291,2
"breast-cancer-wisc-prog",0.01,0.791666680574417,"cone",1024,0.877551019191742,3
"breast-cancer-wisc-prog",0.01,0.758333337306976,"rect",1024,0.775510132312775,3
"breast-cancer-wisc-prog",0.01,0.750000011920929,"rect",256,0.755102038383484,2
"breast-cancer-wisc-prog",0.01,0.75,"rect",1024,0.795918345451355,2
"breast-cancer-wisc-prog",0.01,0.75,"cone",512,0.775510191917419,2
"breast-cancer-wisc-prog",0.1,0.741666680574417,"rect",1024,0.775510191917419,3
"breast-cancer-wisc-prog",0.1,0.725000017881393,"rect",512,0.816326498985291,2
"breast-cancer-wisc-prog",0.01,0.716666680574417,"cone",512,0.795918345451355,3
"breast-cancer-wisc-prog",0.01,0.700000011920929,"cone",1024,0.734693884849548,2
"breast-cancer-wisc-prog",0.01,0.691666680574417,"rect",512,0.816326498985291,3
"breast-cancer-wisc-prog",0.01,0.683333349227905,"rect",256,0.836734652519226,4
"breast-cancer-wisc-prog",0.1,0.683333349227905,"cone",256,0.795918345451355,2
"breast-cancer-wisc-prog",0.01,0.675000017881393,"rect",512,0.755102038383484,4
"breast-cancer-wisc-prog",0.01,0.675000017881393,"cone",256,0.795918345451355,3
"breast-cancer-wisc-prog",0.1,0.675000017881393,"rect",1024,0.857142806053162,2
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",1024,0.775510191917419,32
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",1024,0.775510191917419,32
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",512,0.775510191917419,32
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",512,0.775510191917419,32
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",256,0.775510191917419,32
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",256,0.775510191917419,32
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",1024,0.775510191917419,32
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",1024,0.775510191917419,32
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",512,0.775510191917419,32
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",512,0.775510191917419,32
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",256,0.775510191917419,32
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",256,0.775510191917419,32
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",1024,0.775510191917419,32
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",1024,0.775510191917419,32
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",512,0.775510191917419,32
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",512,0.775510191917419,32
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",256,0.775510191917419,32
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",256,0.775510191917419,32
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",1024,0.775510191917419,16
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",1024,0.775510191917419,16
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",512,0.775510191917419,16
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",512,0.775510191917419,16
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",256,0.775510191917419,16
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",256,0.775510191917419,16
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",1024,0.775510191917419,16
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",1024,0.775510191917419,16
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",512,0.775510191917419,16
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",512,0.775510191917419,16
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",256,0.775510191917419,16
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",256,0.775510191917419,16
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",1024,0.775510191917419,16
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",1024,0.775510191917419,16
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",512,0.775510191917419,16
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",512,0.775510191917419,16
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",256,0.775510191917419,16
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",256,0.775510191917419,16
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",1024,0.775510191917419,8
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",1024,0.775510191917419,8
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",512,0.775510191917419,8
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",256,0.775510191917419,8
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",1024,0.775510191917419,8
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",1024,0.775510191917419,8
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",512,0.775510191917419,8
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",512,0.775510191917419,8
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",256,0.775510191917419,8
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",256,0.775510191917419,8
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",1024,0.775510191917419,8
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",1024,0.775510191917419,8
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",512,0.775510191917419,8
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",512,0.775510191917419,8
"breast-cancer-wisc-prog",1,0.666666686534881,"cone",256,0.775510191917419,8
"breast-cancer-wisc-prog",1,0.666666686534881,"rect",256,0.775510191917419,8
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",1024,0.775510191917419,4
"breast-cancer-wisc-prog",0.01,0.666666686534881,"rect",1024,0.775510191917419,4
"breast-cancer-wisc-prog",0.01,0.666666686534881,"cone",512,0.775510191917419,4
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",1024,0.775510191917419,4
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",1024,0.775510191917419,4
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",512,0.775510191917419,4
"breast-cancer-wisc-prog",0.1,0.666666686534881,"rect",512,0.775510191917419,4
"breast-cancer-wisc-prog",0.1,0.666666686534881,"cone",256,0.775510191917419,4
