"dataset","learningrate","nhidden","testAccuracy","valAccuracy","layerForm","nlayers"
"iris",0.01,256,1,1,"rect",2
"iris",0.01,1024,1,0.990909093618393,"rect",3
"iris",0.1,256,0.864864945411682,0.990909093618393,"rect",2
"iris",0.01,512,0.972972989082336,0.981818187236786,"cone",2
"iris",0.01,512,0.945945918560028,0.981818187236786,"rect",2
"iris",0.01,512,0.918918907642365,0.972727280855179,"rect",3
"iris",0.1,1024,0.972972989082336,0.963636374473572,"cone",3
"iris",0.01,256,0.918918967247009,0.963636374473572,"rect",4
"iris",0.1,1024,0.972972989082336,0.936363655328751,"rect",2
"iris",0.1,512,0.918918907642365,0.936363655328751,"cone",2
"iris",0.01,256,1,0.927272748947144,"cone",3
"iris",0.01,1024,0.918918967247009,0.927272748947144,"rect",2
"iris",0.01,512,0.675675749778748,0.927272737026215,"rect",4
"iris",0.1,256,1,0.918181842565536,"cone",2
"iris",0.01,1024,1,0.890909123420715,"cone",3
"iris",0.01,256,0.783783853054047,0.890909123420715,"cone",2
"iris",0.01,1024,0.810810804367065,0.863636404275894,"rect",4
"iris",0.01,256,0.675675749778748,0.818181872367859,"cone",4
"iris",0.01,1024,0.675675749778748,0.800000047683716,"cone",2
"iris",0.01,256,0.756756782531738,0.718181836605072,"rect",3
"iris",0.1,256,0.702702760696411,0.709090948104859,"cone",3
"iris",0.1,512,0.675675749778748,0.681818217039108,"rect",2
"iris",0.1,1024,0.675675749778748,0.654545485973358,"cone",2
"iris",0.01,512,0.675675749778748,0.545454561710358,"cone",8
"iris",0.01,512,0.32432433962822,0.454545468091965,"rect",32
"iris",0.1,1024,0.32432433962822,0.454545468091965,"cone",32
"iris",0.01,512,0.32432433962822,0.454545468091965,"rect",16
"iris",0.01,256,0.32432433962822,0.454545468091965,"cone",8
"iris",0.01,512,0.32432433962822,0.454545468091965,"cone",4
"iris",0.1,1024,0.32432433962822,0.454545468091965,"cone",4
"iris",0.1,256,0.32432433962822,0.454545468091965,"cone",4
"iris",1,1024,0.351351380348206,0.409090924263,"rect",2
"iris",0.1,512,0.351351380348206,0.372727283835411,"cone",4
"iris",0.1,512,0.351351380348206,0.372727283835411,"rect",3
"iris",0.1,256,0.351351380348206,0.372727283835411,"rect",3
"iris",1,256,0.351351380348206,0.372727283835411,"cone",2
"iris",0.01,1024,0.351351380348206,0.363636374473572,"cone",32
"iris",0.01,1024,0.351351380348206,0.363636374473572,"rect",32
"iris",0.01,512,0.351351380348206,0.363636374473572,"cone",32
"iris",0.01,256,0.351351380348206,0.363636374473572,"cone",32
"iris",0.01,256,0.351351380348206,0.363636374473572,"rect",32
"iris",0.1,1024,0.351351380348206,0.363636374473572,"rect",32
"iris",0.1,512,0.351351380348206,0.363636374473572,"cone",32
"iris",0.1,512,0.351351380348206,0.363636374473572,"rect",32
"iris",0.1,256,0.351351380348206,0.363636374473572,"cone",32
"iris",0.1,256,0.351351380348206,0.363636374473572,"rect",32
"iris",1,1024,0.351351380348206,0.363636374473572,"cone",32
"iris",1,512,0.351351380348206,0.363636374473572,"cone",32
"iris",1,512,0.351351380348206,0.363636374473572,"rect",32
"iris",0.01,1024,0.351351380348206,0.363636374473572,"cone",16
"iris",0.01,1024,0.351351380348206,0.363636374473572,"rect",16
"iris",0.01,512,0.351351380348206,0.363636374473572,"cone",16
"iris",0.01,256,0.351351380348206,0.363636374473572,"rect",16
"iris",0.1,1024,0.351351380348206,0.363636374473572,"cone",16
"iris",0.1,1024,0.351351380348206,0.363636374473572,"rect",16
