"dataset","layerForm","learningrate","testAccuracy","nhidden","valAccuracy","nlayers"
"monks-3","rect",1,0.472222238779068,1024,0.454545468091965,16
"monks-3","rect",1,0.472222238779068,512,0.454545468091965,16
"monks-3","rect",1,0.472222238779068,256,0.454545468091965,16
"monks-3","cone",0.01,0.472222238779068,1024,0.454545468091965,8
"monks-3","rect",0.01,0.472222238779068,1024,0.454545468091965,8
"monks-3","rect",0.01,0.472222238779068,256,0.454545468091965,8
"monks-3","cone",0.1,0.472222238779068,1024,0.454545468091965,8
"monks-3","rect",0.1,0.472222238779068,1024,0.454545468091965,8
"monks-3","rect",0.1,0.472222238779068,512,0.454545468091965,8
"monks-3","rect",0.1,0.472222238779068,256,0.454545468091965,8
"monks-3","cone",1,0.472222238779068,512,0.454545468091965,8
"monks-3","cone",1,0.472222238779068,256,0.454545468091965,8
"monks-3","cone",0.1,0.472222238779068,1024,0.454545468091965,4
"monks-3","rect",0.1,0.472222238779068,1024,0.454545468091965,4
"monks-3","rect",0.1,0.472222238779068,512,0.454545468091965,4
"monks-3","rect",0.1,0.472222238779068,256,0.454545468091965,4
"monks-3","cone",1,0.472222238779068,1024,0.454545468091965,4
"monks-3","cone",1,0.472222238779068,512,0.454545468091965,4
"monks-3","cone",0.1,0.472222238779068,1024,0.454545468091965,3
"monks-3","cone",1,0.472222238779068,1024,0.454545468091965,3
"monks-3","rect",1,0.472222238779068,1024,0.454545468091965,3
"monks-3","rect",1,0.472222238779068,512,0.454545468091965,3
"monks-3","rect",1,0.472222238779068,256,0.454545468091965,3
"monks-3","rect",1,0.472222238779068,1024,0.454545468091965,2
"monks-3","rect",1,0.472222238779068,512,0.454545468091965,2
