"dataset","nlayers","testAccuracy","nhidden","valAccuracy","layerForm","learningrate"
"ozone",16,0.971608877182007,1024,0.981132048368454,"rect",0.1
"ozone",8,0.971608877182007,1024,0.981132048368454,"cone",1
"ozone",4,0.971608877182007,1024,0.981132048368454,"rect",0.1
"ozone",4,0.971608877182007,256,0.981132048368454,"cone",0.1
"ozone",4,0.971608936786652,1024,0.981132048368454,"rect",1
"ozone",3,0.971608877182007,256,0.981132048368454,"rect",1
"ozone",32,0.971608877182007,256,0.98113204240799,"rect",0.01
"ozone",32,0.971608877182007,1024,0.98113204240799,"rect",1
"ozone",32,0.971608996391296,256,0.98113204240799,"cone",1
"ozone",16,0.971608877182007,1024,0.98113204240799,"cone",0.01
"ozone",8,0.971608877182007,256,0.98113204240799,"cone",0.1
"ozone",4,0.971608877182007,512,0.98113204240799,"cone",0.01
"ozone",3,0.971608877182007,512,0.98113204240799,"cone",1
"ozone",3,0.971608877182007,512,0.98113204240799,"rect",1
"ozone",2,0.971608877182007,512,0.98113204240799,"cone",0.1
"ozone",8,0.971608877182007,256,0.98113204240799,"cone",0.01
"ozone",2,0.971608877182007,256,0.98113204240799,"cone",1
"ozone",16,0.971608877182007,1024,0.981132036447525,"rect",0.01
"ozone",16,0.971608996391296,256,0.981132036447525,"rect",0.01
"ozone",16,0.971608877182007,256,0.981132036447525,"rect",0.1
"ozone",8,0.971608936786652,512,0.981132036447525,"cone",0.1
"ozone",3,0.971608877182007,256,0.981132036447525,"cone",0.01
"ozone",16,0.971608877182007,512,0.981132030487061,"rect",0.1
"ozone",3,0.971608996391296,512,0.981132030487061,"cone",0.1
"ozone",2,0.971608877182007,512,0.981132030487061,"rect",1
"ozone",2,0.971608996391296,512,0.980660343170166,"cone",0.01
"ozone",2,0.971608877182007,1024,0.980188673734665,"rect",0.1
"ozone",8,0.971608877182007,512,0.980188655853272,"rect",0.01
"ozone",3,0.971608877182007,512,0.979245263338089,"cone",0.01
"ozone",2,0.971608877182007,512,0.978773552179337,"rect",0.1
"ozone",2,0.973186254501343,256,0.978301846981049,"rect",0.01
"ozone",8,0.971608877182007,1024,0.977830195426941,"rect",0.01
"ozone",8,0.971608877182007,256,0.97783015370369,"rect",0.01
"ozone",3,0.971608877182007,1024,0.97783015370369,"rect",0.1
"ozone",4,0.973186254501343,512,0.977830147743225,"rect",0.01
