"dataset","nhidden","layerForm","learningrate","testAccuracy","valAccuracy","nlayers"
"tic-tac-toe",512,"rect",0.01,0.970711290836334,0.984615385532379,4
"tic-tac-toe",1024,"rect",0.01,0.974895417690277,0.984615385532379,3
"tic-tac-toe",256,"cone",0.01,0.983263611793518,0.984615385532379,3
"tic-tac-toe",1024,"cone",0.1,0.974895417690277,0.984615385532379,3
"tic-tac-toe",1024,"rect",0.01,0.97907954454422,0.984615385532379,2
"tic-tac-toe",512,"cone",0.01,0.974895417690277,0.984615385532379,2
"tic-tac-toe",256,"cone",0.01,0.974895417690277,0.984615385532379,2
"tic-tac-toe",256,"rect",0.01,0.983263611793518,0.984615385532379,2
"tic-tac-toe",1024,"rect",0.1,0.970711350440979,0.984615385532379,2
"tic-tac-toe",512,"rect",0.1,0.970711350440979,0.984615385532379,2
"tic-tac-toe",256,"cone",0.1,0.970711350440979,0.984615385532379,2
"tic-tac-toe",256,"rect",0.1,0.970711350440979,0.984615385532379,2
"tic-tac-toe",256,"rect",0.01,0.937238395214081,0.981538462638855,4
"tic-tac-toe",512,"cone",0.1,0.970711350440979,0.981538462638855,4
"tic-tac-toe",256,"rect",0.01,0.970711350440979,0.981538462638855,3
"tic-tac-toe",512,"cone",0.01,0.97907954454422,0.980000001192093,3
"tic-tac-toe",1024,"cone",0.01,0.974895417690277,0.980000001192093,2
"tic-tac-toe",512,"cone",0.01,0.949790775775909,0.978461539745331,4
"tic-tac-toe",512,"cone",0.1,0.941422581672668,0.978461539745331,3
"tic-tac-toe",512,"rect",0.01,0.970711290836334,0.973846155405045,2
"tic-tac-toe",512,"rect",0.01,0.912133872509003,0.966153848171234,3
"tic-tac-toe",1024,"cone",0.01,0.970711290836334,0.958461540937424,3
"tic-tac-toe",1024,"rect",0.01,0.895397365093231,0.920000004768371,4
"tic-tac-toe",1024,"rect",0.01,0.690376460552216,0.81538462638855,8
"tic-tac-toe",1024,"cone",0.1,0.673640131950378,0.807692319154739,4
"tic-tac-toe",256,"rect",0.1,0.682008326053619,0.776923090219498,4
"tic-tac-toe",512,"cone",0.01,0.652719616889954,0.753846168518066,32
"tic-tac-toe",256,"cone",0.01,0.652719616889954,0.753846168518066,32
"tic-tac-toe",1024,"cone",0.1,0.652719616889954,0.753846168518066,32
"tic-tac-toe",512,"cone",0.1,0.652719616889954,0.753846168518066,32
"tic-tac-toe",256,"cone",0.1,0.652719616889954,0.753846168518066,32
"tic-tac-toe",512,"cone",1,0.652719616889954,0.753846168518066,32
"tic-tac-toe",256,"cone",1,0.652719616889954,0.753846168518066,32
"tic-tac-toe",512,"cone",0.01,0.652719676494598,0.753846168518066,16
"tic-tac-toe",1024,"cone",0.1,0.652719616889954,0.753846168518066,16
"tic-tac-toe",512,"cone",0.1,0.652719616889954,0.753846168518066,16
"tic-tac-toe",256,"cone",0.1,0.652719616889954,0.753846168518066,16
