"dataset","nhidden","layerForm","nlayers","valAccuracy","learningrate","testAccuracy"
"statlog-heart",512,"rect",3,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"cone",3,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"rect",3,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"cone",2,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"rect",2,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"cone",2,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"rect",2,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"rect",2,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"cone",2,0.623529431223869,1,0.58208954334259
"statlog-heart",256,"cone",32,0.617647078633308,1,0.552238821983337
"statlog-heart",512,"cone",2,0.594117671251297,0.01,0.820895493030548
"statlog-heart",256,"rect",16,0.382352951169014,0.01,0.447761207818985
"statlog-heart",512,"cone",16,0.352941185235977,0.01,0.447761207818985
"statlog-heart",256,"cone",16,0.352941185235977,0.01,0.447761207818985
"statlog-heart",512,"cone",8,0.352941185235977,0.01,0.447761207818985
"statlog-heart",256,"cone",8,0.352941185235977,0.01,0.447761207818985
