"dataset","nhidden","layerForm","nlayers","valAccuracy","learningrate","testAccuracy"
"statlog-heart",256,"cone",4,0.882352948188782,0.01,0.865671634674072
"statlog-heart",256,"cone",3,0.858823537826538,0.01,0.805970072746277
"statlog-heart",1024,"cone",2,0.858823537826538,0.1,0.820895493030548
"statlog-heart",256,"cone",2,0.835294127464294,0.01,0.805970132350922
"statlog-heart",1024,"cone",4,0.817647069692612,0.01,0.850746273994446
"statlog-heart",512,"cone",3,0.788235306739807,0.01,0.820895552635193
"statlog-heart",1024,"rect",3,0.776470601558685,0.1,0.776119351387024
"statlog-heart",1024,"rect",4,0.770588248968124,0.01,0.835820913314819
"statlog-heart",1024,"cone",2,0.770588248968124,0.01,0.850746273994446
"statlog-heart",256,"rect",4,0.764705896377563,0.01,0.776119351387024
"statlog-heart",512,"cone",2,0.764705896377563,0.1,0.820895552635193
"statlog-heart",256,"rect",8,0.758823543787002,0.01,0.850746273994446
"statlog-heart",1024,"cone",3,0.747058838605881,0.01,0.820895552635193
"statlog-heart",1024,"rect",3,0.747058838605881,0.01,0.835820913314819
"statlog-heart",1024,"rect",2,0.747058838605881,0.1,0.79104471206665
"statlog-heart",512,"cone",8,0.74117648601532,0.1,0.850746273994446
"statlog-heart",512,"rect",2,0.74117648601532,0.1,0.835820913314819
"statlog-heart",512,"cone",3,0.735294133424759,1,0.835820853710175
"statlog-heart",512,"rect",2,0.735294133424759,0.01,0.776119351387024
"statlog-heart",256,"cone",3,0.723529428243637,0.1,0.835820913314819
"statlog-heart",256,"rect",3,0.723529428243637,0.1,0.79104471206665
"statlog-heart",256,"rect",2,0.717647075653076,0.1,0.805970072746277
"statlog-heart",512,"rect",3,0.711764723062515,0.01,0.835820913314819
"statlog-heart",256,"cone",2,0.711764723062515,0.1,0.835820913314819
"statlog-heart",256,"cone",4,0.705882370471954,0.1,0.731343269348145
"statlog-heart",256,"rect",3,0.700000017881393,0.01,0.820895493030548
"statlog-heart",512,"rect",4,0.694117665290832,0.01,0.805970132350922
"statlog-heart",512,"rect",8,0.688235312700271,0.01,0.731343269348145
"statlog-heart",512,"cone",3,0.682352960109711,0.1,0.880596995353699
"statlog-heart",512,"rect",3,0.67647060751915,0.1,0.820895493030548
"statlog-heart",256,"rect",2,0.67647060751915,0.01,0.79104471206665
"statlog-heart",1024,"rect",2,0.652941197156906,0.01,0.835820853710175
"statlog-heart",1024,"cone",32,0.647058844566345,0.01,0.552238821983337
"statlog-heart",1024,"rect",32,0.647058844566345,0.01,0.552238821983337
"statlog-heart",512,"cone",32,0.647058844566345,0.01,0.552238821983337
"statlog-heart",512,"rect",32,0.647058844566345,0.01,0.552238821983337
"statlog-heart",256,"cone",32,0.647058844566345,0.01,0.552238821983337
"statlog-heart",256,"rect",32,0.647058844566345,0.01,0.552238821983337
"statlog-heart",1024,"cone",32,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"rect",32,0.647058844566345,0.1,0.552238821983337
"statlog-heart",512,"cone",32,0.647058844566345,0.1,0.552238821983337
"statlog-heart",512,"rect",32,0.647058844566345,0.1,0.552238821983337
"statlog-heart",256,"cone",32,0.647058844566345,0.1,0.552238821983337
"statlog-heart",256,"rect",32,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"cone",32,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"rect",32,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"cone",32,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"rect",32,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"rect",32,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"cone",16,0.647058844566345,0.01,0.552238821983337
"statlog-heart",1024,"rect",16,0.647058844566345,0.01,0.552238821983337
"statlog-heart",512,"rect",16,0.647058844566345,0.01,0.552238821983337
"statlog-heart",1024,"cone",16,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"rect",16,0.647058844566345,0.1,0.552238821983337
"statlog-heart",512,"cone",16,0.647058844566345,0.1,0.552238821983337
"statlog-heart",512,"rect",16,0.647058844566345,0.1,0.552238821983337
"statlog-heart",256,"cone",16,0.647058844566345,0.1,0.552238821983337
"statlog-heart",256,"rect",16,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"cone",16,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"rect",16,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"cone",16,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"rect",16,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"cone",16,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"rect",16,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"cone",8,0.647058844566345,0.01,0.552238821983337
"statlog-heart",1024,"rect",8,0.647058844566345,0.01,0.552238821983337
"statlog-heart",1024,"cone",8,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"rect",8,0.647058844566345,0.1,0.552238821983337
"statlog-heart",512,"rect",8,0.647058844566345,0.1,0.552238821983337
"statlog-heart",256,"cone",8,0.647058844566345,0.1,0.552238821983337
"statlog-heart",256,"rect",8,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"cone",8,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"rect",8,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"cone",8,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"rect",8,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"cone",8,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"rect",8,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"cone",4,0.647058844566345,0.01,0.552238821983337
"statlog-heart",1024,"cone",4,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"rect",4,0.647058844566345,0.1,0.552238821983337
"statlog-heart",512,"cone",4,0.647058844566345,0.1,0.552238821983337
"statlog-heart",512,"rect",4,0.647058844566345,0.1,0.552238821983337
"statlog-heart",256,"rect",4,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"cone",4,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"rect",4,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"cone",4,0.647058844566345,1,0.552238821983337
"statlog-heart",512,"rect",4,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"cone",4,0.647058844566345,1,0.552238821983337
"statlog-heart",256,"rect",4,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"cone",3,0.647058844566345,0.1,0.552238821983337
"statlog-heart",1024,"cone",3,0.647058844566345,1,0.552238821983337
"statlog-heart",1024,"rect",3,0.647058844566345,1,0.552238821983337
