"dataset","testAccuracy","nlayers","learningrate","valAccuracy","nhidden","layerForm"
"monks-2",0.416666656732559,4,0.01,0.538461565971374,1024,"cone"
"monks-2",0.671296298503876,4,0.01,0.538461565971374,512,"cone"
"monks-2",0.46064817905426,4,0.01,0.538461565971374,256,"cone"
"monks-2",0.564814805984497,4,0.1,0.538461565971374,1024,"cone"
"monks-2",0.671296298503876,4,0.1,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,4,0.1,0.538461565971374,512,"cone"
"monks-2",0.671296358108521,4,0.1,0.538461565971374,512,"rect"
"monks-2",0.671296298503876,4,0.1,0.538461565971374,256,"cone"
"monks-2",0.671296298503876,4,0.1,0.538461565971374,256,"rect"
"monks-2",0.671296298503876,4,1,0.538461565971374,1024,"cone"
"monks-2",0.671296298503876,4,1,0.538461565971374,1024,"rect"
"monks-2",0.671296298503876,4,1,0.538461565971374,512,"cone"
"monks-2",0.671296298503876,4,1,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,4,1,0.538461565971374,256,"cone"
"monks-2",0.671296358108521,4,1,0.538461565971374,256,"rect"
"monks-2",0.671296358108521,3,0.01,0.538461565971374,512,"cone"
"monks-2",0.671296358108521,3,0.1,0.538461565971374,1024,"rect"
"monks-2",0.451388895511627,3,0.1,0.538461565971374,512,"cone"
"monks-2",0.671296358108521,3,0.1,0.538461565971374,512,"rect"
"monks-2",0.59722226858139,3,0.1,0.538461565971374,256,"cone"
"monks-2",0.671296298503876,3,0.1,0.538461565971374,256,"rect"
"monks-2",0.671296298503876,3,1,0.538461565971374,1024,"cone"
"monks-2",0.671296298503876,3,1,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,3,1,0.538461565971374,512,"cone"
"monks-2",0.671296298503876,3,1,0.538461565971374,512,"rect"
"monks-2",0.671296298503876,3,1,0.538461565971374,256,"cone"
"monks-2",0.671296358108521,3,1,0.538461565971374,256,"rect"
"monks-2",0.657407402992249,2,0.1,0.538461565971374,1024,"cone"
"monks-2",0.671296358108521,2,0.1,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,2,0.1,0.538461565971374,512,"cone"
"monks-2",0.458333343267441,2,0.1,0.538461565971374,512,"rect"
"monks-2",0.671296298503876,2,0.1,0.538461565971374,256,"cone"
"monks-2",0.671296298503876,2,1,0.538461565971374,1024,"cone"
"monks-2",0.655092597007751,2,1,0.538461565971374,1024,"rect"
"monks-2",0.671296298503876,2,1,0.538461565971374,512,"cone"
"monks-2",0.671296358108521,2,1,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,2,1,0.538461565971374,256,"cone"
"monks-2",0.671296298503876,2,1,0.538461565971374,256,"rect"
"monks-2",0.483796298503876,4,0.01,0.530769258737564,1024,"rect"
"monks-2",0.423611104488373,3,0.01,0.530769258737564,256,"rect"
"monks-2",0.671296358108521,2,0.01,0.530769258737564,1024,"rect"
"monks-2",0.671296358108521,2,0.01,0.530769258737564,256,"rect"
"monks-2",0.671296358108521,4,0.01,0.523076951503754,256,"rect"
"monks-2",0.520833373069763,3,0.1,0.523076951503754,1024,"cone"
"monks-2",0.481481462717056,2,0.1,0.523076951503754,256,"rect"
"monks-2",0.442129641771317,3,0.01,0.523076948523521,1024,"cone"
"monks-2",0.328703731298447,32,0.01,0.46153849363327,512,"cone"
"monks-2",0.328703701496124,16,0.01,0.46153849363327,256,"cone"
"monks-2",0.328703701496124,8,0.01,0.46153849363327,256,"cone"
"monks-2",0.328703731298447,3,0.01,0.46153849363327,256,"cone"
