"dataset","testAccuracy","nlayers","learningrate","valAccuracy","nhidden","layerForm"
"monks-2",0.664351880550385,3,0.01,0.653846198320389,1024,"rect"
"monks-2",0.671296298503876,2,0.01,0.623076963424683,256,"cone"
"monks-2",0.662037014961243,2,0.01,0.623076963424683,1024,"cone"
"monks-2",0.671296358108521,3,0.01,0.615384638309479,512,"rect"
"monks-2",0.650462985038757,4,0.01,0.592307728528976,512,"rect"
"monks-2",0.655092597007751,2,0.01,0.56153849363327,512,"rect"
"monks-2",0.668981552124023,2,0.01,0.546153873205185,512,"cone"
"monks-2",0.671296358108521,32,0.01,0.538461565971374,1024,"cone"
"monks-2",0.671296358108521,32,0.01,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,32,0.01,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,32,0.01,0.538461565971374,256,"cone"
"monks-2",0.671296298503876,32,0.01,0.538461565971374,256,"rect"
"monks-2",0.671296298503876,32,0.1,0.538461565971374,1024,"cone"
"monks-2",0.671296358108521,32,0.1,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,32,0.1,0.538461565971374,512,"cone"
"monks-2",0.671296298503876,32,0.1,0.538461565971374,512,"rect"
"monks-2",0.671296298503876,32,0.1,0.538461565971374,256,"cone"
"monks-2",0.671296298503876,32,0.1,0.538461565971374,256,"rect"
"monks-2",0.671296298503876,32,1,0.538461565971374,1024,"cone"
"monks-2",0.671296298503876,32,1,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,32,1,0.538461565971374,512,"cone"
"monks-2",0.671296298503876,32,1,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,32,1,0.538461565971374,256,"cone"
"monks-2",0.671296358108521,32,1,0.538461565971374,256,"rect"
"monks-2",0.671296358108521,16,0.01,0.538461565971374,1024,"cone"
"monks-2",0.671296358108521,16,0.01,0.538461565971374,1024,"rect"
"monks-2",0.671296298503876,16,0.01,0.538461565971374,512,"cone"
"monks-2",0.671296298503876,16,0.01,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,16,0.01,0.538461565971374,256,"rect"
"monks-2",0.671296358108521,16,0.1,0.538461565971374,1024,"cone"
"monks-2",0.671296358108521,16,0.1,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,16,0.1,0.538461565971374,512,"cone"
"monks-2",0.671296298503876,16,0.1,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,16,0.1,0.538461565971374,256,"cone"
"monks-2",0.671296358108521,16,0.1,0.538461565971374,256,"rect"
"monks-2",0.671296298503876,16,1,0.538461565971374,1024,"cone"
"monks-2",0.671296298503876,16,1,0.538461565971374,1024,"rect"
"monks-2",0.671296298503876,16,1,0.538461565971374,512,"cone"
"monks-2",0.671296358108521,16,1,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,16,1,0.538461565971374,256,"cone"
"monks-2",0.671296358108521,16,1,0.538461565971374,256,"rect"
"monks-2",0.671296358108521,8,0.01,0.538461565971374,1024,"cone"
"monks-2",0.671296358108521,8,0.01,0.538461565971374,1024,"rect"
"monks-2",0.671296298503876,8,0.01,0.538461565971374,512,"cone"
"monks-2",0.671296358108521,8,0.01,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,8,0.01,0.538461565971374,256,"rect"
"monks-2",0.671296358108521,8,0.1,0.538461565971374,1024,"cone"
"monks-2",0.671296358108521,8,0.1,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,8,0.1,0.538461565971374,512,"cone"
"monks-2",0.671296358108521,8,0.1,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,8,0.1,0.538461565971374,256,"cone"
"monks-2",0.671296298503876,8,0.1,0.538461565971374,256,"rect"
"monks-2",0.671296298503876,8,1,0.538461565971374,1024,"cone"
"monks-2",0.671296358108521,8,1,0.538461565971374,1024,"rect"
"monks-2",0.671296358108521,8,1,0.538461565971374,512,"cone"
"monks-2",0.671296358108521,8,1,0.538461565971374,512,"rect"
"monks-2",0.671296358108521,8,1,0.538461565971374,256,"cone"
"monks-2",0.671296298503876,8,1,0.538461565971374,256,"rect"
