"dataset","testAccuracy","nhidden","nlayers","learningrate","layerForm","valAccuracy"
"breast-cancer-wisc-diag",0.97183096408844,1024,4,0.01,"cone",1
"breast-cancer-wisc-diag",0.978873193264008,1024,4,0.01,"rect",1
"breast-cancer-wisc-diag",0.97183096408844,512,4,0.1,"cone",1
"breast-cancer-wisc-diag",0.97183096408844,1024,3,0.01,"rect",1
"breast-cancer-wisc-diag",0.97183096408844,512,3,0.01,"cone",1
"breast-cancer-wisc-diag",0.964788794517517,256,3,0.01,"cone",1
"breast-cancer-wisc-diag",0.97183096408844,1024,2,0.01,"cone",1
"breast-cancer-wisc-diag",0.978873133659363,1024,2,0.01,"rect",1
"breast-cancer-wisc-diag",0.978873193264008,1024,2,0.1,"rect",1
"breast-cancer-wisc-diag",0.978873252868652,256,2,0.1,"rect",0.997674417495727
"breast-cancer-wisc-diag",0.978873252868652,1024,3,0.01,"cone",0.981395339965821
"breast-cancer-wisc-diag",0.978873252868652,256,8,0.01,"cone",0.976744174957276
"breast-cancer-wisc-diag",0.964788675308228,512,4,0.01,"rect",0.976744174957276
"breast-cancer-wisc-diag",0.950704216957092,256,4,0.01,"rect",0.976744174957276
"breast-cancer-wisc-diag",0.97183096408844,512,3,0.01,"rect",0.976744174957276
"breast-cancer-wisc-diag",0.978873193264008,256,3,0.01,"rect",0.976744174957276
"breast-cancer-wisc-diag",0.992957711219788,512,3,0.1,"cone",0.976744174957276
"breast-cancer-wisc-diag",0.98591548204422,512,2,0.01,"cone",0.976744174957276
"breast-cancer-wisc-diag",0.94366192817688,512,2,0.01,"rect",0.976744174957276
"breast-cancer-wisc-diag",0.985915422439575,1024,2,0.1,"cone",0.976744174957276
"breast-cancer-wisc-diag",0.978873133659363,512,2,0.1,"rect",0.976744174957276
"breast-cancer-wisc-diag",0.97183096408844,256,2,0.1,"cone",0.976744174957276
"breast-cancer-wisc-diag",0.964788675308228,256,2,0.01,"rect",0.974418592453003
"breast-cancer-wisc-diag",0.978873193264008,256,8,0.01,"rect",0.969767427444458
"breast-cancer-wisc-diag",0.95774644613266,1024,4,0.1,"cone",0.953488349914551
"breast-cancer-wisc-diag",0.978873193264008,256,2,0.01,"cone",0.953488349914551
"breast-cancer-wisc-diag",0.978873193264008,512,2,0.1,"cone",0.953488349914551
"breast-cancer-wisc-diag",0.964788734912872,1024,8,0.01,"rect",0.86744179725647
"breast-cancer-wisc-diag",0.626760601997375,256,2,1,"cone",0.734883713722229
"breast-cancer-wisc-diag",0.626760601997375,1024,32,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,32,0.01,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,32,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,32,0.01,"rect",0.720930218696594
