"dataset","nhidden","testAccuracy","layerForm","learningrate","valAccuracy","nlayers"
"musk-2",256,0.992722809314728,"rect",0.1,0.998969197273254,3
"musk-2",512,0.98665851354599,"rect",0.1,0.998350632190705,3
"musk-2",512,0.993329405784607,"cone",0.1,0.997938221693039,2
"musk-2",512,0.993329286575317,"cone",0.1,0.997525876760483,3
"musk-2",1024,0.993935704231262,"rect",0.1,0.997319674491882,2
"musk-2",256,0.993935704231262,"cone",0.1,0.997113513946533,2
"musk-2",1024,0.991509974002838,"cone",0.1,0.995876407623291,3
"musk-2",1024,0.991510093212128,"cone",0.1,0.995257842540741,2
"musk-2",256,0.993329286575317,"rect",0.1,0.995257824659348,2
"musk-2",512,0.992722928524017,"rect",0.1,0.994845497608185,2
"musk-2",1024,0.990297198295593,"rect",0.1,0.993814516067505,3
"musk-2",256,0.989084362983704,"rect",0.01,0.993814492225647,2
"musk-2",256,0.984232902526855,"rect",0.01,0.991752642393112,4
"musk-2",512,0.987871408462524,"cone",0.01,0.991752630472183,3
"musk-2",512,0.989084362983704,"cone",0.01,0.989896976947784,2
"musk-2",256,0.985445737838745,"rect",0.01,0.989072227478027,8
"musk-2",256,0.984232842922211,"cone",0.01,0.98886604309082,2
"musk-2",1024,0.984839260578156,"rect",0.01,0.988659858703613,4
"musk-2",1024,0.980594277381897,"cone",0.01,0.988453680276871,2
"musk-2",1024,0.989084243774414,"cone",0.01,0.985360884666443,3
"musk-2",512,0.986052095890045,"rect",0.01,0.984536164999008,2
"musk-2",512,0.981200695037842,"rect",0.01,0.983711397647858,8
"musk-2",512,0.983626484870911,"rect",0.01,0.983505207300186,4
"musk-2",1024,0.98726499080658,"rect",0.01,0.983299016952515,2
"musk-2",256,0.977562129497528,"cone",0.01,0.983092850446701,3
"musk-2",512,0.978168606758118,"cone",0.01,0.982886683940887,4
"musk-2",1024,0.984232902526855,"rect",0.01,0.981030988693237,3
"musk-2",256,0.98605215549469,"rect",0.01,0.980824834108353,3
"musk-2",1024,0.982413530349731,"rect",0.01,0.980206274986267,8
"musk-2",1024,0.983626365661621,"cone",0.01,0.979381519556046,4
"musk-2",256,0.976955711841583,"cone",0.01,0.977525848150253,4
"musk-2",512,0.979381442070007,"cone",0.01,0.97731968164444,8
"musk-2",512,0.985445737838745,"rect",0.01,0.977319639921189,3
"musk-2",512,0.845967233181,"cone",0.01,0.872165083885193,32
"musk-2",512,0.845967233181,"rect",0.01,0.872165083885193,32
"musk-2",1024,0.845967292785645,"cone",0.1,0.872165083885193,32
"musk-2",512,0.845967292785645,"cone",0.1,0.872165083885193,32
"musk-2",1024,0.845967292785645,"cone",1,0.872165083885193,32
"musk-2",512,0.845967233181,"cone",1,0.872165083885193,32
"musk-2",256,0.845967233181,"cone",1,0.872165083885193,32
"musk-2",1024,0.845967292785645,"cone",0.01,0.872165083885193,16
"musk-2",1024,0.845967233181,"rect",0.01,0.872165083885193,16
"musk-2",1024,0.845967233181,"cone",0.1,0.872165083885193,16
"musk-2",256,0.845967292785645,"rect",0.1,0.872165083885193,16
"musk-2",256,0.845967233181,"cone",1,0.872165083885193,16
"musk-2",256,0.845967233181,"cone",0.01,0.872165083885193,8
"musk-2",512,0.845967233181,"cone",0.1,0.872165083885193,8
"musk-2",512,0.845967292785645,"rect",0.1,0.872165083885193,8
"musk-2",512,0.845967233181,"cone",1,0.872165083885193,8
"musk-2",512,0.845967233181,"rect",1,0.872165083885193,8
"musk-2",512,0.845967292785645,"rect",0.1,0.872165083885193,4
"musk-2",256,0.845967233181,"cone",0.1,0.872165083885193,4
