"dataset","testAccuracy","nhidden","learningrate","valAccuracy","nlayers","layerForm"
"heart-cleveland",0.565789461135864,256,0.1,0.594736838340759,4,"cone"
"heart-cleveland",0.578947365283966,1024,0.01,0.57368420958519,3,"cone"
"heart-cleveland",0.526315808296204,512,0.01,0.542105269432068,3,"rect"
"heart-cleveland",0.526315808296204,512,0.1,0.542105266451836,3,"rect"
"heart-cleveland",0.578947365283966,1024,0.01,0.53157896399498,8,"cone"
"heart-cleveland",0.565789461135864,1024,0.01,0.531578961014748,4,"cone"
"heart-cleveland",0.578947365283966,512,0.1,0.531578952074051,3,"cone"
"heart-cleveland",0.592105269432068,512,0.1,0.531578949093819,2,"cone"
"heart-cleveland",0.539473712444305,512,0.01,0.521052649617195,2,"rect"
"heart-cleveland",0.592105209827423,256,0.01,0.521052643656731,2,"cone"
"heart-cleveland",0.513157904148102,512,0.01,0.510526332259178,4,"rect"
"heart-cleveland",0.592105209827423,1024,0.01,0.510526329278946,4,"rect"
"heart-cleveland",0.539473712444305,256,0.01,0.50526317358017,2,"rect"
"heart-cleveland",0.605263113975525,256,0.1,0.500000005960465,3,"rect"
"heart-cleveland",0.552631556987762,512,0.01,0.489473697543144,3,"cone"
"heart-cleveland",0.552631616592407,1024,0.1,0.484210538864136,2,"cone"
"heart-cleveland",0.539473712444305,1024,0.01,0.484210535883904,8,"rect"
"heart-cleveland",0.565789461135864,512,0.01,0.484210535883904,8,"rect"
"heart-cleveland",0.671052634716034,256,0.1,0.484210532903671,2,"rect"
"heart-cleveland",0.592105269432068,512,0.01,0.484210523962975,2,"cone"
"heart-cleveland",0.618421018123627,256,1,0.48421051800251,2,"cone"
"heart-cleveland",0.565789461135864,512,0.1,0.478947380185127,4,"cone"
"heart-cleveland",0.605263113975525,256,0.01,0.478947377204895,3,"cone"
"heart-cleveland",0.473684191703796,256,0.01,0.46842106282711,3,"rect"
"heart-cleveland",0.64473682641983,256,0.01,0.468421059846878,4,"cone"
"heart-cleveland",0.60526317358017,1024,0.01,0.457894745469093,3,"rect"
"heart-cleveland",0.539473712444305,512,0.1,0.457894745469093,2,"rect"
"heart-cleveland",0.60526317358017,512,0.01,0.442105266451836,8,"cone"
"heart-cleveland",0.526315808296204,256,0.01,0.436842110753059,4,"rect"
"heart-cleveland",0.552631556987762,1024,0.01,0.426315793395042,2,"rect"
"heart-cleveland",0.565789461135864,256,1,0.426315793395042,3,"cone"
"heart-cleveland",0.539473712444305,256,0.01,0.421052640676498,8,"rect"
"heart-cleveland",0.565789461135864,1024,0.01,0.421052634716034,32,"rect"
"heart-cleveland",0.565789461135864,512,0.01,0.421052634716034,32,"cone"
"heart-cleveland",0.565789461135864,512,0.01,0.421052634716034,32,"rect"
"heart-cleveland",0.565789461135864,256,0.01,0.421052634716034,32,"cone"
"heart-cleveland",0.565789461135864,256,0.01,0.421052634716034,32,"rect"
"heart-cleveland",0.565789461135864,1024,0.1,0.421052634716034,32,"cone"
"heart-cleveland",0.565789461135864,1024,0.1,0.421052634716034,32,"rect"
"heart-cleveland",0.565789461135864,512,0.1,0.421052634716034,32,"cone"
"heart-cleveland",0.565789461135864,512,0.1,0.421052634716034,32,"rect"
"heart-cleveland",0.565789461135864,256,0.1,0.421052634716034,32,"cone"
"heart-cleveland",0.565789461135864,256,0.1,0.421052634716034,32,"rect"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,32,"cone"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,32,"rect"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,32,"cone"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,32,"rect"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,32,"cone"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,32,"rect"
