"dataset","valAccuracy","nlayers","testAccuracy","learningrate","nhidden","layerForm"
"plant-texture",0.799253767728806,2,0.817499995231628,0.1,512,"cone"
"plant-texture",0.793283617496491,2,0.809999942779541,0.1,512,"rect"
"plant-texture",0.791044771671295,2,0.810000061988831,0.1,256,"cone"
"plant-texture",0.785820889472961,2,0.810000002384186,0.1,1024,"cone"
"plant-texture",0.78358211517334,2,0.792500019073486,0.01,512,"rect"
"plant-texture",0.776865667104721,3,0.764999985694885,0.01,1024,"rect"
"plant-texture",0.773880583047867,3,0.807500004768372,0.1,512,"rect"
"plant-texture",0.768656694889069,3,0.795000076293945,0.1,1024,"rect"
"plant-texture",0.767164176702499,3,0.769999980926514,0.01,512,"rect"
"plant-texture",0.764179104566574,3,0.774999976158142,0.01,256,"rect"
"plant-texture",0.761194026470184,4,0.769999980926514,0.1,1024,"rect"
"plant-texture",0.761194008588791,2,0.782500028610229,0.01,1024,"rect"
"plant-texture",0.757462674379349,2,0.799999952316284,0.1,256,"rect"
"plant-texture",0.75447763800621,2,0.764999985694885,0.01,256,"rect"
"plant-texture",0.752985072135925,3,0.789999961853027,0.01,1024,"cone"
"plant-texture",0.747761178016663,3,0.782500028610229,0.1,512,"cone"
"plant-texture",0.744776153564453,3,0.774999976158142,0.01,512,"cone"
"plant-texture",0.739552229642868,3,0.789999961853027,0.1,256,"rect"
"plant-texture",0.737313425540924,4,0.737499952316284,0.01,512,"rect"
"plant-texture",0.737313401699066,3,0.789999961853027,0.01,256,"cone"
"plant-texture",0.733582097291946,2,0.782499969005585,0.01,256,"cone"
"plant-texture",0.726865655183792,4,0.727499961853027,0.01,1024,"rect"
"plant-texture",0.726865655183792,3,0.779999971389771,0.1,256,"cone"
"plant-texture",0.726119381189346,4,0.742500007152557,0.1,512,"rect"
"plant-texture",0.720149272680283,2,0.809999942779541,0.1,1024,"rect"
"plant-texture",0.717910450696945,2,0.732500016689301,0.01,1024,"cone"
"plant-texture",0.714925366640091,4,0.767500042915344,0.1,1024,"cone"
"plant-texture",0.714179086685181,4,0.742499947547913,0.01,1024,"cone"
"plant-texture",0.70671638250351,3,0.774999976158142,0.1,1024,"cone"
"plant-texture",0.705223888158798,8,0.699999988079071,0.01,1024,"rect"
"plant-texture",0.702985084056854,4,0.759999990463257,0.01,256,"rect"
"plant-texture",0.696268647909164,4,0.747499942779541,0.01,512,"cone"
"plant-texture",0.692537295818329,4,0.732499957084656,0.1,256,"rect"
"plant-texture",0.68731341958046,8,0.722500026226044,0.01,512,"rect"
"plant-texture",0.686567175388336,4,0.767500042915344,0.01,256,"cone"
"plant-texture",0.685074627399444,2,0.762499928474426,0.01,512,"cone"
"plant-texture",0.662686574459076,2,0.712499976158142,1,256,"cone"
"plant-texture",0.656716418266296,4,0.772500038146973,0.1,256,"cone"
"plant-texture",0.647761183977127,8,0.664999961853027,0.01,256,"rect"
"plant-texture",0.644029843807221,8,0.714999973773956,0.01,1024,"cone"
"plant-texture",0.628358215093613,4,0.692499995231628,0.1,512,"cone"
"plant-texture",0.620895510911942,8,0.644999980926514,0.01,512,"cone"
"plant-texture",0.564179104566574,8,0.679999947547913,0.01,256,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.01,1024,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.01,1024,"rect"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.01,512,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.01,512,"rect"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.01,256,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.1,1024,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.1,1024,"rect"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.1,512,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.1,512,"rect"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.1,256,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,0.1,256,"rect"
"plant-texture",0.0149253727868199,32,0.00999999977648258,1,1024,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,1,1024,"rect"
"plant-texture",0.0149253727868199,32,0.00999999977648258,1,512,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,1,512,"rect"
"plant-texture",0.0149253727868199,32,0.00999999977648258,1,256,"cone"
"plant-texture",0.0149253727868199,32,0.00999999977648258,1,256,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.01,1024,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.01,1024,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.01,512,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.01,512,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.01,256,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.01,256,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.1,1024,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.1,1024,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.1,512,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.1,512,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.1,256,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,0.1,256,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,1,1024,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,1,1024,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,1,512,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,1,512,"rect"
"plant-texture",0.0149253727868199,16,0.00999999977648258,1,256,"cone"
"plant-texture",0.0149253727868199,16,0.00999999977648258,1,256,"rect"
"plant-texture",0.0149253727868199,8,0.00999999977648258,0.1,1024,"cone"
"plant-texture",0.0149253727868199,8,0.00999999977648258,0.1,1024,"rect"
"plant-texture",0.0149253727868199,8,0.00999999977648258,0.1,512,"cone"
"plant-texture",0.0149253727868199,8,0.00999999977648258,0.1,512,"rect"
"plant-texture",0.0149253727868199,8,0.00999999977648258,0.1,256,"cone"
"plant-texture",0.0149253727868199,8,0.00999999977648258,0.1,256,"rect"
"plant-texture",0.0149253727868199,8,0.00999999977648258,1,1024,"cone"
"plant-texture",0.0149253727868199,8,0.00999999977648258,1,1024,"rect"
"plant-texture",0.0149253727868199,8,0.00999999977648258,1,512,"cone"
"plant-texture",0.0149253727868199,8,0.00999999977648258,1,512,"rect"
"plant-texture",0.0149253727868199,8,0.00999999977648258,1,256,"cone"
"plant-texture",0.0149253727868199,8,0.00999999977648258,1,256,"rect"
"plant-texture",0.0149253727868199,4,0.00999999977648258,1,1024,"cone"
"plant-texture",0.0149253727868199,4,0.00999999977648258,1,512,"cone"
"plant-texture",0.0149253727868199,4,0.00999999977648258,1,512,"rect"
"plant-texture",0.0149253727868199,4,0.00999999977648258,1,256,"cone"
"plant-texture",0.0149253727868199,4,0.00999999977648258,1,256,"rect"
"plant-texture",0.0149253727868199,3,0.00999999977648258,1,1024,"cone"
"plant-texture",0.0149253727868199,3,0.00999999977648258,1,1024,"rect"
"plant-texture",0.0149253727868199,3,0.00999999977648258,1,512,"rect"
"plant-texture",0.0149253727868199,3,0.00999999977648258,1,256,"cone"
"plant-texture",0.0149253727868199,3,0.00999999977648258,1,256,"rect"
"plant-texture",0.0149253727868199,2,0.00999999977648258,1,1024,"cone"
"plant-texture",0.0149253727868199,2,0.00999999977648258,1,1024,"rect"
"plant-texture",0.0149253727868199,2,0.00999999977648258,1,512,"rect"
"plant-texture",0.0149253727868199,2,0.00999999977648258,1,256,"rect"
"plant-texture",0.00746268639340997,2,0.00999999977648258,1,512,"cone"
"plant-texture",0,32,0.00999999977648258,0.01,256,"rect"
"plant-texture",0,4,0.00999999977648258,1,1024,"rect"
"plant-texture",0,3,0.00999999977648258,1,512,"cone"
