"dataset","testAccuracy","nhidden","nlayers","learningrate","layerForm","valAccuracy"
"plant-shape",0.00999999977648258,256,4,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,1024,3,0.1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,1024,3,0.1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,512,3,0.1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,512,3,0.1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,256,3,0.1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,1024,3,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,512,3,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,512,3,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,256,3,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,256,3,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,1024,2,0.1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,1024,2,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,1024,2,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,512,2,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,512,2,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,256,2,1,"cone",0.00869565177708864
"plant-shape",0.00999999977648258,256,2,1,"rect",0.00869565177708864
"plant-shape",0.00999999977648258,512,4,1,"rect",0.00521739106625319
"plant-shape",0.00999999977648258,1024,16,1,"rect",0.00173913035541773
"plant-shape",0.00999999977648258,512,4,1,"cone",0
