"dataset","testAccuracy","valAccuracy","nhidden","nlayers","learningrate","layerForm"
"conn-bench-vowel-deterding",0.952380895614624,0.996296298503876,512,2,0.01,"cone"
"conn-bench-vowel-deterding",0.993506491184235,0.990740746259689,256,3,0.01,"rect"
"conn-bench-vowel-deterding",0.993506491184235,0.985185194015503,1024,2,0.01,"rect"
"conn-bench-vowel-deterding",0.963203370571136,0.983333343267441,1024,2,0.1,"rect"
"conn-bench-vowel-deterding",0.958874464035034,0.981481492519379,256,2,0.01,"cone"
"conn-bench-vowel-deterding",0.993506491184235,0.981481492519379,512,4,0.01,"rect"
"conn-bench-vowel-deterding",0.989177525043488,0.981481492519379,512,3,0.01,"cone"
"conn-bench-vowel-deterding",0.963203489780426,0.981481486558914,1024,8,0.01,"rect"
"conn-bench-vowel-deterding",0.991342008113861,0.979629641771317,1024,3,0.01,"rect"
"conn-bench-vowel-deterding",0.978354930877686,0.979629641771316,256,3,0.01,"cone"
"conn-bench-vowel-deterding",0.961039006710052,0.979629635810852,512,2,0.01,"rect"
"conn-bench-vowel-deterding",0.993506491184235,0.977777791023254,512,4,0.01,"cone"
"conn-bench-vowel-deterding",0.984848499298096,0.96481483578682,256,2,0.01,"rect"
"conn-bench-vowel-deterding",0.958874464035034,0.959259277582169,256,4,0.01,"rect"
"conn-bench-vowel-deterding",0.974025964736938,0.95925926566124,1024,2,0.01,"cone"
"conn-bench-vowel-deterding",0.958874464035034,0.957407426834107,1024,4,0.01,"cone"
"conn-bench-vowel-deterding",0.989177465438843,0.957407426834107,256,2,0.1,"rect"
"conn-bench-vowel-deterding",0.987012982368469,0.955555582046509,512,3,0.01,"rect"
"conn-bench-vowel-deterding",0.98484855890274,0.951851862668991,1024,2,0.1,"cone"
"conn-bench-vowel-deterding",0.982683956623077,0.951851862668991,1024,3,0.01,"cone"
"conn-bench-vowel-deterding",0.969696998596191,0.940740758180619,256,2,0.1,"cone"
"conn-bench-vowel-deterding",0.991342008113861,0.938888919353485,512,2,0.1,"cone"
"conn-bench-vowel-deterding",0.991341888904572,0.937037056684494,256,4,0.01,"cone"
"conn-bench-vowel-deterding",0.94372296333313,0.93333335518837,512,2,0.1,"rect"
"conn-bench-vowel-deterding",0.893939435482025,0.927777820825577,256,8,0.01,"rect"
"conn-bench-vowel-deterding",0.984848439693451,0.922222244739533,1024,4,0.01,"rect"
"conn-bench-vowel-deterding",0.911255419254303,0.885185205936432,1024,3,0.1,"cone"
"conn-bench-vowel-deterding",0.926406919956207,0.881481498479843,512,3,0.1,"cone"
"conn-bench-vowel-deterding",0.846320331096649,0.870370382070541,1024,3,0.1,"rect"
"conn-bench-vowel-deterding",0.93722939491272,0.835185217857361,512,8,0.01,"rect"
"conn-bench-vowel-deterding",0.867965459823608,0.820370370149613,512,3,0.1,"rect"
"conn-bench-vowel-deterding",0.471861451864243,0.788888913393021,256,3,0.1,"cone"
"conn-bench-vowel-deterding",0.811688303947449,0.738888901472092,256,3,0.1,"rect"
"conn-bench-vowel-deterding",0.755411267280579,0.737037044763565,256,4,0.1,"cone"
"conn-bench-vowel-deterding",0.634199142456055,0.61481482386589,512,4,0.1,"cone"
"conn-bench-vowel-deterding",0.452380955219269,0.472222229838371,256,8,0.01,"cone"
"conn-bench-vowel-deterding",0.300865799188614,0.233333344757557,512,8,0.01,"cone"
"conn-bench-vowel-deterding",0.132034629583359,0.175925925374031,1024,4,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.148148149251938,256,32,0.01,"cone"
"conn-bench-vowel-deterding",0.155844151973724,0.142592595890164,256,4,0.1,"rect"
"conn-bench-vowel-deterding",0.103896103799343,0.142592593282461,1024,8,0.01,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.105555556342006,256,16,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0888888943940401,1024,3,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0796296320855618,256,2,1,"rect"
"conn-bench-vowel-deterding",0.125541105866432,0.0703703720122576,1024,4,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0685185190290213,1024,3,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0648148152977228,512,32,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0611111115664244,512,4,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090936183929,0.0592592600733042,1024,2,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0592592597007752,512,16,1,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0574074078351259,256,2,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,32,0.01,"cone"
